,P9_A-vs-C,P9_C-vs-A,P3_A-vs-C,P3_C-vs-A,P4_A-vs-C,P4_C-vs-A,P5_A-vs-C,P5_C-vs-A,P6_A-vs-C,P6_C-vs-A,P2_A-vs-C,P2_C-vs-A,P7_A-vs-C,P7_C-vs-A
0,Ccl5,,Ccl5,Pglyrp1,Ccl5,,Hmgb1,Pglyrp1,Ccl5,Pglyrp1,Ifng,,Ccl5,Ifng
1,Ltb,,Cmtm7,Ccl3,Ltb,,Ccl5,Crlf2,Mif,Ccl3,Ccl5,,,Pglyrp1
2,Fasl,,Ltb,Crlf2,Tgfb1,,Mif,Xcl1,Cmtm7,Crlf2,Ltb,,,Aimp1
3,Tgfb1,,Fasl,Cxcl10,Flt3l,,Cmtm7,,Ltb,Tnfsf8,Cklf,,,Xcl1
4,Cklf,,Tnfsf10,Xcl1,Tnf,,Tnf,,Tnf,,Il16,,,Tnfsf8
5,Tnfsf10,,Tnf,Tnfsf8,Tnfsf10,,Ccl27a,,Tnfsf9,,Tnf,,,Cxcl10
6,Gdf11,,,Cd40lg,Clcf1,,Wnt10b,,Il2,,Flt3l,,,Crlf2
7,Tnfsf14,,,Csf1,,,,,Il10,,Grn,,,Nampt
8,Tnf,,,Il21,,,,,,,Lta,,,Il21
9,C1qtnf4,,,,,,,,,,Wnt11,,,Lif
10,Ccl9,,,,,,,,,,Bmp8a,,,Areg
11,Ccl6,,,,,,,,,,Vegfa,,,Wnt3
12,Cd40lg,,,,,,,,,,,,,
13,Xcl1,,,,,,,,,,,,,
14,Il15,,,,,,,,,,,,,
15,Il10,,,,,,,,,,,,,
16,Il2,,,,,,,,,,,,,
17,Wnt4,,,,,,,,,,,,,
18,Fam3b,,,,,,,,,,,,,
19,Csf2,,,,,,,,,,,,,
