,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
0,Fcgr2b,Hmmr,Il2ra,Spn,Art4,Lgals3,Cd24a,Cd70,Cd83,Tigit,Ccr7
1,Ccr2,Ifitm1,Cd24a,Il18rap,Il6ra,Ggt1,Tnfrsf13c,Il2ra,Tnfsf11,L1cam,Cxcr4
2,Fasl,Lgals3,Tnfrsf13c,Klrd1,Ccr7,Tnfrsf9,Lgals3,Hmmr,Tnfsf4,Cd38,Il6st
3,Klrk1,,Lgals3,Klrb1c,Il6st,Tnfrsf21,Ggt1,Lepr,Icos,Lilrb4a,Sell
4,Lilrb4a,,Ggt1,Fcgr2b,Tnfsf8,Epcam,Tnfrsf9,Tnfrsf21,Il23r,Havcr2,Tnfsf8
5,Itgax,,Hmmr,Klrk1,Sell,,Hmmr,Csf2ra,Cd200,Klrb1b,Il6ra
6,Itga1,,Tnfrsf9,Klrg1,Pecam1,,Ifitm1,Plxnb2,Kit,Alcam,Treml2
7,Cd101,,,Itgb1,Ccr9,,Cd244a,Clec12a,Pecam1,Klrb1c,Igf1r
8,Cd28,,,Notch3,Ighd,,,Abcg2,Tnfsf8,Il18r1,Ifngr2
9,Tnfrsf25,,,Klra9,Cd46,,,Epcam,Pdcd1lg2,Tnfsf14,Izumo1r
10,Igkc,,,Ccr2,Insr,,,Cd24a,Tnfrsf25,Pdcd1lg2,Cebpb
11,Cxcr6,,,Cx3cr1,Ifngr2,,,Cd320,Btla,Cd80,Tlr1
12,Il18rap,,,Fasl,Tlr1,,,Tnfrsf9,Epcam,Cxcr6,Il7r
13,Ccr5,,,Itgb2,Il7r,,,Bst1,Itgb1,Il1rl1,Nt5e
14,Klrd1,,,Klrc1,Ly6d,,,Tnfrsf4,Il1rl1,Cd86,Cd69
15,Cd86,,,Itgam,Itgae,,,Igsf8,Tlr1,Lag3,Cd55
16,Cxcr3,,,Klra3,Cd72,,,Cd22,Ccr6,Cd44,Il4ra
17,Il18r1,,,Klrc2,Ighm,,,Tnfrsf8,Cxcr5,Tnfrsf13b,Klra6
