,D5_A-vs-C,D5_C-vs-A,D8_A-vs-C,D8_C-vs-A
0,Ccr5,Itgb1,Klrd1,Ly6a
1,Ccr2,Ctla4,Itgb1,Ly6e
2,Klrg1,Ighm,Cd69,Lgals3
3,Il7r,Slamf6,Ccr2,Il2rb
4,Sell,Cd9,Cx3cr1,Lag3
5,Ccr7,Cd226,Klrg1,Cd160
6,Cd86,Lag3,Ccr5,Ighm
7,Il6ra,Pdcd1,Itgax,Pdcd1
8,Treml2,Nrp1,Fasl,Havcr2
9,Itga2,Crtam,Icam1,Cd9
10,Lepr,Tnfsf8,Itgam,Alcam
11,Cd81,Pecam1,Fcgr2b,Hmmr
12,Klra3,Tnfrsf13b,Ccr7,Pecam1
13,Clec12a,Il1rl1,Nt5e,Cxcr4
14,Ifngr2,Tnfrsf25,Il6ra,Tnfrsf9
15,Tnfrsf10b,Epcam,Insr,Il10ra
16,Fcgr2b,Cd200,Klra9,Il1rl1
17,Klra6,Cd83,Notch3,Ccr9
18,Klra1,Cd40lg,,Tnfsf8
19,Fcgr3,Cd80,,Tnfrsf4
20,Itgae,Ccr6,,Btla
21,Igf1r,Tnfsf11,,Il3ra
22,Plxnb2,Cd200r1,,Cd80
23,Bmpr1a,Ighd,,Sema7a
24,Ly6g,,,Cd38
25,Notch4,,,Klra3
