,P9_A-vs-C,P9_C-vs-A,P3_A-vs-C,P3_C-vs-A,P4_A-vs-C,P4_C-vs-A,P5_A-vs-C,P5_C-vs-A,P6_A-vs-C,P6_C-vs-A,P2_A-vs-C,P2_C-vs-A,P7_A-vs-C,P7_C-vs-A
0,Ptprc,,Cd8b1,Cd52,Cd8b1,Itgb1,Cd8b1,Cd52,Cd8b1,Cd52,Cd47,Pdcd1,Cd8b1,Cd52
1,Cd8b1,,Cd47,Cd3d,Atp1b3,Ctla4,Cd47,Cd3g,Cd48,Lgals3,Cd48,Tnfrsf4,Cd69,Ly6a
2,Cd3d,,Cd48,Cd3g,Itgb7,Ighm,Itgb7,Cd3d,Cd47,Ly6a,Cd8b1,Nrp1,Selplg,Ptprcap
3,Cd2,,Selplg,Ly6a,Cd69,Cd226,Atp1b3,Ly6e,Itgb7,Cd3g,Itga4,,Klrd1,Cd3e
4,Cd28,,Itgb7,Ly6e,Cd8a,Pdcd1,Cd69,Trbc1,Atp1b3,Cd3d,Atp1b3,,Thy1,Itgb1
5,Klrd1,,Thy1,Lgals3,Thy1,Lag3,Thy1,Cd3e,Thy1,Ptprcap,Bsg,,Ccr7,Slamf6
6,Cd53,,Cd69,Ptprcap,Cd53,Nrp1,Cd8a,Itgb1,Cd8a,Ly6e,Selplg,,,Lgals3
7,Cd69,,Cd28,Trbc1,Klrk1,Il1rl1,Bsg,Ctla4,Cd69,Trbc1,Cd69,,,Cd27
8,Atp1b3,,Cd8a,Itga4,Klrd1,,Itgb2,Ifngr1,Bsg,Cd3e,Itgb7,,,Ighm
9,Cd8a,,Atp1b3,Cd3e,Slc3a2,,Klrd1,Cd27,Itgb2,Itgb1,Cd8a,,,Icos
10,Thy1,,Itgb2,Itgb1,Lamp1,,Slc3a2,Cxcr6,Klrd1,Il2rb,Cd28,,,Ctla4
11,Itgb1,,Bsg,Il2rb,Ccr5,,Klrk1,Icos,Klrk1,Ifngr1,Thy1,,,Bst2
12,Il18r1,,Klrd1,Ctla4,Ccr2,,Adgre5,Ighm,Hmmr,Cxcr6,Spn,,,Cd9
13,Ccr2,,Klrk1,Il18r1,Vsir,,Klrg1,Il18r1,Ccr5,Ctla4,Itgb2,,,Il2rb
14,Il2rg,,Slc3a2,Cd27,Klrg1,,Ccr5,Cd160,Adgre5,Cd27,Cxcr3,,,Cd160
15,Klrk1,,Cxcr3,Bst2,Il17ra,,Ccr2,Slamf6,Ccr2,Ighm,Hmmr,,,Lamp1
16,Spn,,Ccr5,Icos,Dpp4,,Hmmr,Cd226,Klrg1,Il18r1,Slc3a2,,,Lag3
17,Klrc1,,Ccr2,Ighm,Cd7,,Itgax,Pdcd1,Cebpb,Icos,Sema4d,,,Tnfsf8
