,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
P9,,Hmgb1|Mif|Cmtm7|Aimp1|Tgfb1|Crlf2|Cklf|Cxcl10|Nampt|Xcl1|Tnfsf9|Tnfsf8|Ccl27a|Osm|Csf1|Il21|Areg|Tnfsf11|Bmp8a,Hmgb1|Mif|Cmtm7|Gpi1|Aimp1|Tgfb1|Nampt|Xcl1|Tnfsf9|Tnf|Ccl25|Il18|Osm|Il21|Lif,Ccl5|Ccl4|Ccl3|Fasl|Ccl9|2610528A11Rik,Ltb|Mif|Il16|Tnfsf8|Clcf1|Osm|Lta|Wnt4|Wnt5b|Lefty1,Hmgb1|Mif|Cmtm7|Aimp1|Tgfb1|Cxcl10|Nampt|Tnf|Xcl1|Tnfsf9|Ccl27a|Osm|Il21|Cd70|Areg|Lif|Bmp8a,Hmgb1|Mif|Cmtm7|Ccl3|Aimp1|Tgfb1|Crlf2|Cklf|Nampt|Tnfsf9|Tnf|Xcl1|Ccl27a|Osm|Il21|Bmp8a,Hmgb1|Mif|Cmtm7|Gpi1|Aimp1|Tgfb1|Nampt|Xcl1|Tnf|Tnfsf9|Osm|Il21|Il18|Wnt10b|Cd70|Ebi3|Bmp7|Tnfsf12|Tnfsf11|Wnt11|Bmp8a|Vegfa|Cmtm8,Hmgb1|Mif|Gpi1|Aimp1|Tnfsf8|Xcl1|Cxcl10|Nampt|Ccl25|Tnf|Tnfsf11|Il21|Tnfsf4|Lta|Lif|Areg|Tnfsf13b|Csf2|Wnt3,Hmgb1|Ccl3|Mif|Pglyrp1|Aimp1|Crlf2|Tgfb1|Ccl25|Tnfsf8|Cmtm3|Osm|Csf1|Il21,Tnfsf8|Xcl1
P3,Ccl5|Ccl4|Ltb|Fasl|Il16|Flt3l|Tnfsf10|Gdf11|Clcf1|C1qtnf4|Ccl9|Il15|Fam3b,,Mif|Cmtm7|Gpi1|Aimp1,Ccl5|Ccl4|Ccl3|Fasl|Ccl9|Clcf1|Gdf11|Ccl6|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|Osm|C1qtnf4|Lta|Wnt4|Wnt5b|Lefty1,Mif|Gpi1|Tnf,Mif|Ltb|Ccl3|Aimp1|Tnfsf9|Tnf,Mif|Cmtm7|Gpi1|Aimp1|Tgfb1|Nampt|Xcl1|Tnf|Tnfsf9|Osm|Il21|Wnt10b|Ebi3|Lta|Bmp7|Wnt11,Ltb|Gpi1|Aimp1|Tnfsf8|Xcl1|Cxcl10|Il16|Nampt|Ccl25|Tnf|Tnfsf14|C1qtnf4|Gdf11|Tnfsf11|Il21|Tnfsf4|Lta|Lif|Tnfsf13b|Csf2|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Gpi1|Ltb|Crlf2|Ccl25|Tnfsf14|Gdf11|Clcf1|Cmtm3|Osm|Csf1|C1qtnf4,Ltb|Tnfsf8|Xcl1|Clcf1|Lta
P4,Ccl5|Ccl4|Ltb|Pglyrp1|Fasl|Il16|Flt3l|Gdf11|Clcf1|Tnfsf14|C1qtnf4|Ccl9|Il15|Fam3b,Hmgb1|Ccl5|Ccl4|Pglyrp1|Crlf2|Cklf|Fasl|Cxcl10|Flt3l|Gdf11|Csf1,,Ccl5|Ccl4|Ccl3|Fasl|Flt3l|Ccl9|Clcf1|Gdf11|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4|Lefty1,Pglyrp1|Cxcl10,Ccl5|Ccl4|Pglyrp1|Ltb|Ccl3|Crlf2|Gdf11,Mif|Aimp1|Tgfb1|Nampt|Il21|Wnt10b|Cd70|Lta,Ltb|Pglyrp1|Tnfsf8|Xcl1|Cxcl10|Crlf2|Il16|Nampt|Tnfsf14|C1qtnf4|Gdf11|Tnfsf11|Tnfsf4|Lta|Lif|Areg|Tnfsf13b|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Ltb|Crlf2|Fasl|Flt3l|Tnfsf14|Gdf11|Clcf1|Cmtm3|Csf1,Ltb|Tnfsf8|Clcf1|Lta
P10,Ltb|Ifng|Hmgb1|Mif|Gpi1|Pglyrp1|Cmtm7|Aimp1|Il16|Flt3l|Nampt|Cxcl10|Tnfsf10|Gdf11|Tnf|C1qtnf4|Tnfsf8|Il18|Il10,Hmgb1|Mif|Ifng|Cmtm7|Gpi1|Pglyrp1|Ltb|Aimp1|Tgfb1|Crlf2|Cklf|Cxcl10|Nampt|Xcl1|Tnfsf10|Tnfsf9|Tnf|Tnfsf8|Il18|Csf1|Il10|Il21|Cd70|Tnfsf11|Pf4|Tnfsf13b|Tgfb3|Bmp8a,Hmgb1|Mif|Ifng|Cmtm7|Gpi1|Aimp1|Ltb|Pglyrp1|Tgfb1|Nampt|Cxcl10|Xcl1|Tnfsf9|Tnf|Ccl25|Tnfsf10|Tnfsf8|Il18|Osm|Il21|Il10|Csf2|Tnfsf13b|Lif,,Ltb|Mif|Il16|Tnfsf8|Clcf1|Nampt|Osm|C1qtnf4|Lta|Wnt4|Wnt5b,Hmgb1|Mif|Cmtm7|Gpi1|Pglyrp1|Aimp1|Tgfb1|Crlf2|Cxcl10|Nampt|Tnf|Xcl1|Tnfsf9|Tnfsf8|Osm|Il18|Il21|Cd70|Il10|Tnfsf13b|Lif|Bmp8a|Ebi3,Hmgb1|Mif|Ifng|Cmtm7|Gpi1|Pglyrp1|Ltb|Aimp1|Tgfb1|Crlf2|Nampt|Cxcl10|Tnfsf9|Tnf|Xcl1|Osm|Il18|Il10|Csf2|Il21|Bmp8a|Pf4|Ebi3|Il17f,Hmgb1|Mif|Cmtm7|Gpi1|Aimp1|Tgfb1|Nampt|Xcl1|Tnf|Tnfsf9|Cxcl10|Ccl25|Tnfsf8|Osm|Il21|Il18|Wnt10b|Cd70|Ebi3|Csf2|Il10|Bmp7|Tnfsf13b|Tnfsf12|Tnfsf11|Spp1|Wnt11|Bmp8a|Cmtm8,Hmgb1|Ltb|Mif|Gpi1|Pglyrp1|Aimp1|Cmtm7|Tnfsf8|Xcl1|Cxcl10|Crlf2|Il16|Nampt|Ccl25|Tnf|Tnfsf10|C1qtnf4|Tnfsf11|Il21|Tnfsf4|Lta|Lif|Il18|Areg|Tnfsf13b|Csf2|Wnt3|Cd70,Hmgb1|Ifng|Ccl3|Mif|Pglyrp1|Gpi1|Ltb|Cmtm7|Aimp1|Crlf2|Tgfb1|Nampt|Ccl25|Tnfsf14|Tnfsf9|Tnfsf8|Osm|Csf1|C1qtnf4|Il21|Tnfsf13b,Ltb|Mif|Aimp1|Tnfsf8|Xcl1|Nampt|Cxcl10
P0,Ccl5|Ccl4|Ifng|Hmgb1|Gpi1|Pglyrp1|Ccl3|Cmtm7|Fasl|Crlf2|Cklf|Flt3l|Cxcl10|Tnfsf10|Gdf11|Tnfsf14|Tnf|Tnfsf9|Grn|Ccl9|Cmtm3|Il18|Ccl6|Il10,Hmgb1|Ccl5|Mif|Ifng|Cmtm7|Ccl4|Gpi1|Pglyrp1|Ccl3|Aimp1|Tgfb1|Crlf2|Cklf|Fasl|Cxcl10|Flt3l|Nampt|Xcl1|Tnfsf9|Tnf|Tnfsf14|Ccl27a|Grn|Cmtm3|Cd40lg|Il18|Csf1|Il10|Ccl6|Il21|Areg|Cd70|Tnfsf11|Bmp8a,Hmgb1|Ccl5|Mif|Ifng|Cmtm7|Gpi1|Ccl4|Aimp1|Ccl3|Pglyrp1|Tgfb1|Cklf|Crlf2|Fasl|Nampt|Cxcl10|Xcl1|Tnfsf9|Tnf|Grn|Ccl27a|Il18|Tnfsf14|Cmtm3|Il21|Il10|Csf2|Csf1|Cd70,Ccl5|Ccl4|Ifng|Gpi1|Ccl3|Fasl|Pglyrp1|Cklf|Crlf2|Flt3l|Ccl9|Gdf11|Tnfsf14|Ccl27a|Tnfsf9|Cmtm3|Ccl6|2610528A11Rik,,Hmgb1|Ccl5|Mif|Ifng|Cmtm7|Gpi1|Ccl4|Ccl3|Pglyrp1|Aimp1|Tgfb1|Crlf2|Cklf|Cxcl10|Fasl|Nampt|Tnf|Xcl1|Tnfsf9|Ccl27a|Tnfsf14|Il18|Cmtm3|Il21|Cd70|Areg|Il10|Ccl6|Ccl9|Bmp8a|Crlf1|Ebi3,Ccl5|Hmgb1|Mif|Ifng|Cmtm7|Ccl4|Gpi1|Pglyrp1|Ccl3|Aimp1|Tgfb1|Crlf2|Cklf|Fasl|Nampt|Cxcl10|Tnfsf9|Tnf|Xcl1|Ccl27a|Tnfsf14|Grn|Gdf11|Cmtm3|Il18|Il10|Ccl6|Areg|Csf2|Il21|Bmp8a|Cd70|Ebi3,Hmgb1|Mif|Cmtm7|Ifng|Ccl5|Gpi1|Aimp1|Tgfb1|Ccl3|Ccl4|Pglyrp1|Cklf|Nampt|Xcl1|Tnf|Tnfsf9|Cxcl10|Fasl|Grn|Ccl27a|Il21|Il18|Tnfsf14|Cmtm3|Ccl6|Wnt10b|Cd70|Ebi3|Csf2|Il10|Tnfsf12|Tnfsf11|Spp1|Wnt11|Bmp8a|Cmtm8,Hmgb1|Mif|Ifng|Gpi1|Ccl5|Pglyrp1|Aimp1|Cmtm7|Tnfsf8|Xcl1|Cxcl10|Ccl4|Crlf2|Ccl3|Nampt|Tnf|Tnfsf14|Tnfsf9|Gdf11|Grn|Tnfsf11|Cmtm3|Fasl|Il21|Tnfsf4|Lif|Il18|Areg|Tnfsf13b|Csf2|Wnt3|Cd70|Csf1,Ccl5|Ccl4|Hmgb1|Ifng|Ccl3|Pglyrp1|Gpi1|Cmtm7|Aimp1|Crlf2|Tgfb1|Fasl|Flt3l|Tnfsf14|Gdf11|Tnfsf9|Cmtm3|Csf1|Ccl27a|Il18|Il21|Wnt10b|Ccl6,Ccl5|Gpi1|Ccl4|Pglyrp1|Ifng|Xcl1|Fasl
P5,Ccl5|Ccl4|Ltb|Ifng|Pglyrp1|Fasl|Il16|Flt3l|Tnfsf10|Gdf11|Clcf1|Tnfsf14|C1qtnf4|Ccl9|Ccl6|Il15,Hmgb1|Ccl5|Ifng|Ccl4|Pglyrp1|Ltb|Crlf2|Cklf|Il16|Fasl|Flt3l|Tnfsf10|Tnfsf14|Csf1,Ifng|Cmtm7|Ltb,Ccl5|Ccl4|Ccl3|Fasl|Il16|Flt3l|Ccl9|Clcf1|Gdf11|Tnfsf14|Ccl6|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4|Wnt5b,,Ccl5|Ifng|Cmtm7|Ccl4|Pglyrp1|Ltb|Aimp1|Crlf2|Il16|Fasl|Flt3l,Mif|Cmtm7|Gpi1|Aimp1|Nampt|Xcl1|Il21|Wnt10b|Ebi3|Bmp7|Wnt11,Ltb|Gpi1|Pglyrp1|Tnfsf8|Xcl1|Cxcl10|Crlf2|Il16|Nampt|Ccl25|Tnfsf14|C1qtnf4|Gdf11|Grn|Tnfsf11|Il21|Tnfsf4|Lta|Lif|Tnfsf13b|Csf2|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Ltb|Crlf2|Il16|Fasl|Flt3l|Tnfsf14|Gdf11|Clcf1|Cmtm3|Csf1,Ltb|Il16|Tnfsf8|Clcf1
P6,Ccl5|Ccl4|Ltb|Fasl|Il16|Flt3l|Tnfsf10|Gdf11|Clcf1|Tnfsf14|C1qtnf4|Ccl9|Il15|Fam3b,Hmgb1|Tgfb1|Cklf|Cxcl10|Tnfsf8|Csf1|Tnfsf11,Hmgb1|Mif|Cmtm7|Gpi1|Tgfb1|Il21,Ccl5|Ccl4|Fasl|Ccl9|Clcf1|Gdf11|Ccl6|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4|Wnt5b,Hmgb1|Mif|Gpi1|Tgfb1|Cxcl10,,Hmgb1|Mif|Cmtm7|Gpi1|Aimp1|Tgfb1|Nampt|Xcl1|Tnfsf8|Il21|Wnt10b|Cd70|Ebi3|Bmp7|Tnfsf11|Wnt11,Ltb|Gpi1|Tnfsf8|Xcl1|Cxcl10|Il16|Nampt|Tnfsf14|C1qtnf4|Tnfsf11|Il21|Tnfsf4|Lta|Lif|Tnfsf13b|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Gpi1|Crlf2|Fasl|Flt3l|Tnfsf14|Gdf11|Clcf1|Tnfsf8|Csf1|C1qtnf4,Ltb|Tnfsf8|Xcl1|Clcf1
P2,Ccl5|Ccl4|Ltb|Ifng|Pglyrp1|Ccl3|Fasl|Il16|Crlf2|Flt3l|Tnfsf10|Gdf11|Clcf1|Tnfsf14|C1qtnf4|Ccl9,Hmgb1|Ccl5|Ifng|Ccl4|Pglyrp1|Ccl3|Ltb|Crlf2|Cklf|Il16|Fasl|Cxcl10|Flt3l|Tnfsf10|Tnfsf14|Ccl27a|Clcf1|Csf1|Areg,Ccl5|Ifng|Ccl4|Ltb|Ccl3|Pglyrp1|Crlf2|Fasl|Flt3l|Tnfsf10,Ccl5|Ccl4|Ifng|Ccl3|Fasl|Crlf2|Il16|Flt3l|Ccl9|Clcf1|Gdf11|Tnfsf14|2610528A11Rik,Ltb|Il16|Tnfsf8|Flt3l|Clcf1|C1qtnf4|Lta|Wnt4|Wnt5b,Ccl5|Ifng|Ccl4|Ccl3|Pglyrp1|Ltb|Crlf2|Cxcl10|Fasl|Flt3l,Ccl5|Ifng|Ccl4|Pglyrp1|Ltb|Ccl3|Crlf2|Cklf|Il16|Fasl|Flt3l,,Ltb|Pglyrp1|Tnfsf8|Xcl1|Cxcl10|Crlf2|Il16|Flt3l|Tnfsf14|C1qtnf4|Gdf11|Tnfsf11|Tnfsf4|Lta|Lif|Areg|Tnfsf13b|Wnt3,Ccl5|Ccl4|Ifng|Ccl3|Pglyrp1|Ltb|Crlf2|Il16|Fasl|Flt3l|Tnfsf14|Gdf11|Clcf1|Cmtm3|Csf1,Ltb|Il16|Tnfsf8|Clcf1
P7,Ccl5|Ccl4|Ifng|Ccl3|Fasl|Cklf|Flt3l|Gdf11|Clcf1|Ccl9|Ccl6|Il15|Il10|Fam3b,Hmgb1|Ccl5|Ifng|Cmtm7|Ccl4|Ccl3|Tgfb1|Crlf2|Cklf|Fasl|Flt3l|Ccl27a|Il10|Bmp8a,Hmgb1|Ccl5|Mif|Ifng|Cmtm7|Ccl4|Ccl3|Tgfb1|Cklf|Fasl|Tnfsf9|Ccl27a|Osm|Il10,Ccl5|Ccl4|Ifng|Ccl3|Fasl|Cklf|Flt3l|Ccl9|Clcf1|Ccl6|2610528A11Rik,Ltb|Il16|Clcf1|Osm|Wnt4|Wnt5b|Lefty1,Hmgb1|Ccl5|Mif|Ifng|Cmtm7|Ccl4|Ccl3|Tgfb1|Cklf|Fasl|Tnfsf9|Ccl27a|Il10|Bmp8a|Crlf1,Ccl5|Hmgb1|Mif|Ifng|Cmtm7|Ccl4|Ccl3|Tgfb1|Cklf|Fasl|Tnfsf9|Ccl27a|Osm|Il10|Bmp8a,Hmgb1|Mif|Cmtm7|Aimp1|Tgfb1|Ccl3|Cklf|Tnfsf9|Fasl|Osm|Wnt10b|Il10|Bmp8a|Vegfa,,Ccl5|Ccl4|Ifng|Ccl3|Pglyrp1|Crlf2|Tgfb1|Cklf|Fasl|Flt3l|Clcf1|Osm|Csf1,Clcf1
P8,Ccl5|Ltb|Fasl|Il16|Cxcl10|Tnfsf10|Tnf|Ccl9|Il10|Lta|Tgfb3,Hmgb1|Mif|Cmtm7|Tgfb1|Cklf|Cxcl10|Xcl1|Tnf|Ccl27a|Cd40lg|Il10|Areg|Tnfsf11|Tgfb3|Bmp8a,Hmgb1|Mif|Cmtm7|Tgfb1|Cxcl10|Xcl1|Tnf|Il10,Ccl5|Ccl4|Fasl|Ccl9|Ccl6|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|Cxcl10|Lta|Wnt4|Wnt5b|Lefty1,Hmgb1|Mif|Cmtm7|Tgfb1|Cxcl10|Tnf|Xcl1|Areg|Lta|Bmp8a,Hmgb1|Mif|Cmtm7|Aimp1|Cxcl10|Tnf|Xcl1|Il10|Lta|Areg|Bmp8a|Il17f,Hmgb1|Mif|Cmtm7|Aimp1|Tgfb1|Nampt|Xcl1|Tnf|Cxcl10|Il21|Ebi3|Lta|Tnfsf11|Bmp8a|Cmtm8,Ltb|Mif|Tnfsf8|Xcl1|Cxcl10|Il16|Nampt|Tnf|Tnfsf11|Tnfsf4|Lta|Lif|Areg|Wnt3,,Ltb|Tnfsf8|Xcl1|Cxcl10|Lta
