,P9_A-vs-C,P9_C-vs-A,P3_A-vs-C,P3_C-vs-A,P4_A-vs-C,P4_C-vs-A,P5_A-vs-C,P5_C-vs-A,P6_A-vs-C,P6_C-vs-A,P2_A-vs-C,P2_C-vs-A,P7_A-vs-C,P7_C-vs-A
0,Klrg1,,Klrg1,Pdcd1,Klrg1,Nrp1,Klrg1,Nrp1,Klrg1,Ighm,Ccr2,,,Il1rl1
1,Fas,,,Nrp1,Ly6k,,Il6ra,Il1rl1,Nt5e,,Klrg1,,,Pdcd1lg2
2,Lair1,,,Il1rl1,,,,,,,Trgv2,,,Ccr6
3,Tnfsf10,,,Tnfsf8,,,,,,,Cd151,,,Ighd
4,Cd38,,,Klrb1c,,,,,,,Tlr2,,,Cd200r1
5,Gypc,,,Cd200,,,,,,,,,,Il23r
6,Sell,,,Cd40lg,,,,,,,,,,Ly6k
7,Ccr7,,,Cd200r1,,,,,,,,,,
8,Tlr1,,,,,,,,,,,,,
9,Klra3,,,,,,,,,,,,,
10,Cd40lg,,,,,,,,,,,,,
11,Tnfrsf23,,,,,,,,,,,,,
12,Insr,,,,,,,,,,,,,
13,Cd46,,,,,,,,,,,,,
14,Ddr1,,,,,,,,,,,,,
15,H2-Eb1,,,,,,,,,,,,,
16,Tnfrsf12a,,,,,,,,,,,,,
17,Treml2,,,,,,,,,,,,,
18,Trdv5,,,,,,,,,,,,,
19,Tnfrsf10b,,,,,,,,,,,,,
20,Itga3,,,,,,,,,,,,,
21,Tlr6,,,,,,,,,,,,,
22,Il6ra,,,,,,,,,,,,,
23,Cd24a,,,,,,,,,,,,,
24,Ccr3,,,,,,,,,,,,,
25,Cd244a,,,,,,,,,,,,,
26,Vpreb1,,,,,,,,,,,,,
27,Icosl,,,,,,,,,,,,,
