,D5_A-vs-C,D5_C-vs-A,D8_A-vs-C,D8_C-vs-A
0,Klrg1,Nrp1,Klrg1,Lag3
1,Il6ra,Il1rl1,Fcgr2b,Cd160
2,Klra3,Tnfrsf25,Insr,Pdcd1
3,Ifngr2,Cd200,Klra9,Hmmr
4,Fcgr2b,Cd83,Notch3,Tnfrsf9
5,Klra6,Ccr6,Klra8,Il1rl1
6,Klra1,Tnfsf11,,Ccr9
7,Fcgr3,Cd200r1,,Tnfsf8
8,Igf1r,Trdv4,,Tnfrsf4
9,Cd14,,,Sema7a
10,Bmpr1a,,,Pdcd1lg2
11,Eng,,,Cd200
12,Fcgr1,,,Tigit
13,Sirpa,,,Cd244a
14,Ly6g,,,Cd81
15,Notch4,,,Izumo1r
16,Klra8,,,Klrb1b
17,Selp,,,Ccr6
18,Cdh5,,,Ighd
19,Adgre1,,,Tnfsf13b
20,Cd300c2,,,Cd22
21,Vcam1,,,Csf2ra
22,Sdc1,,,Il1r2
23,Msr1,,,Tnfsf4
24,Notch3,,,Kit
25,Nectin3,,,Cd83
26,Erbb2,,,Cd70
27,Lamp3,,,Tnfrsf21
