,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
0,Tnfrsf18,Tnfrsf1b,Cd48,Il17ra,Fgfr1,Tnfrsf1b,Cd48,Cd70,Cd83,Siglecf,Tnfrsf10b
1,Lilrb4a,Cd164,Rae1,Klra4,Art4,Cd48,Rae1,Rae1,Tnfrsf1b,Tnfrsf18,Il6ra
2,Icos,L1cam,Havcr2,Cd48,Il6ra,Rae1,Ptprcap,Havcr2,Tnfsf11,Cd48,Ccr7
3,Cd3e,Cd48,Il2ra,Thy1,Cd84,Havcr2,Itga4,Tfrc,Tnfsf4,L1cam,Il6st
4,Ccr5,Rae1,Ggt1,Itga4,Itpr3,Il2ra,Havcr2,Il2ra,Ptprcap,Lilrb4a,Tnfsf8
5,Klrd1,Ptprcap,Hmmr,Atp1b3,Cd3e,Ggt1,Icos,Hmmr,Icos,Icos,Dpp4
6,Fas,Itga4,Clec12a,Cd84,Cd96,Tnfrsf21,Thy1,Lepr,Cd84,Klrb1b,Sell
7,Cd96,Havcr2,Il2rb,Cd3e,Abcg2,Il2rb,Il2ra,Tnfrsf21,Cd3e,Cd3e,Pecam1
8,Il18r1,Icos,Itgb7,Spn,Ccr7,Itgb7,Ggt1,Csf2ra,Prnp,Klrd1,Cd7
9,Fcgr2b,Thy1,Tnfsf9,Ccr5,Il6st,Tnfsf9,Hmmr,Plxnb2,Cd200,Cd96,Insr
10,Cd7,Il2ra,Cd24a,Klrd1,Tnfsf8,Epcam,Spn,Clec12a,Il23r,Il18r1,Ifngr2
11,Cxcr6,Ggt1,Cd28,Il18rap,Dpp4,Il12rb1,Ccr5,Alcam,Lgals9,Cd160,Tlr1
12,Cd247,Hmmr,Sema4d,Cd96,Sell,Ctla4,Lgals9,Lamp1,Cd68,Cxcr6,Il7r
13,Cd226,Spn,Tnfrsf9,Klrb1c,Ccr9,Lair1,Il2rb,Il2rb,Kit,Cd247,Cxcr5
14,Igf2r,Ccr5,Cxcr3,Il18r1,Pecam1,Cd24a,Il3ra,Abcg2,Fas,Slamf1,Itga6
15,Cd3d,Cd68,Ifngr1,Vsir,Cd7,Cd28,Icam1,Il1r2,Alcam,Lag3,Cd274
16,Slamf7,Alcam,Tnf,Fcgr2b,Trbc1,Tnfrsf9,Itgb7,Pdcd1lg2,Cd5,Il12rb1,Izumo1r
17,Ifngr1,Cd5,Cd47,Icam1,Ighd,Tnf,Tnfsf9,Pirb,Lamp1,Ighm,Il21r
18,Klrc1,Il2rb,Ly6a,Klrk1,Cd46,Itgam,Cxcr6,Tnfsf9,Il3ra,Cd3d,Cd69
19,Cd47,Il3ra,Sema7a,Itgax,Insr,Cd47,Cd244a,Epcam,Jaml,Lamp2,Cd72
20,Adam8,Itgb7,Tnfrsf13c,Klrg1,Ifngr2,Ly6a,Mvp,Il12rb1,Dpp4,Slamf7,Cd53
21,Tnfsf10,Klrk1,Adam17,Tnfrsf25,Pdgfrb,Sema7a,Il12rb1,Cd24a,Tnfsf8,Ifngr1,Ighm
22,Il2rg,Adam10,Lgals3,Cd247,Tlr1,Lgals3,Ctla4,Sema4d,Tnfsf14,Klrc1,Il2rg
