UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
27	0
309	0
3	0
6	7
0	3
0	3
30	20
18	50
0	37
6	178
4	0
33	6
2	11
0	11
0	0
0	0
13	0
145	0
9	63
0	63
219	251
1	251
0	251
0	1
0	1
0	0
0	0
1	0
9	22
0	22
0	0
1	6
0	0
0	0
0	7
0	6
8	5
7835	486
19	74
0	68
2	4
8	1
3	3
2	7
8	7
10	370
8	229
32	28
1	1
0	0
0	2
1	1
0	0
4	3
0	6
0	17
0	14
7	514
0	173
74	28
0	2
0	1
0	3
0	3
1	1
0	0
2	10
0	0
0	14
0	2
0	2
0	13
1	25
0	24
5	629
0	0
0	23
0	0
0	4
0	4
2	0
0	7
0	6
1	5
7	222
0	205
0	78
0	71
0	3
0	3
6	1
0	2
0	2
0	6
0	3
0	0
0	7
0	1
0	18
0	16
0	5
0	3
0	67
0	67
0	1
0	0
0	4
0	4
48	0
16	0
27	0
41	0
13	63
0	10
626	1
44	109
5139	162
34	0
102	0
44	0
47	0
56	0
55	0
2	3
0	3
4	5
0	5
2	8
0	8
12	0
0	1
0	1
0	0
0	0
11	29
0	29
1	1
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
1	7
0	0
0	0
0	10
40	82
0	6
0	6
2	0
0	0
0	0
41	0
0	8
0	7
69	4
9	7
48	0
19	0
0	0
0	0
0	0
1	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	1
0	0
0	0
2	9
3	2
7	9
1	0
0	0
0	0
2	21
0	0
2	29
0	145
0	145
13	16
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
3	224
0	190
0	46
29	9
0	46
2	19
0	46
0	0
0	0
0	0
0	0
0	0
0	0
0	149
0	150
0	149
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
515	2002
184	1823
0	280
0	0
0	0
0	0
3	9
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	24
0	0
743	1128
118	180
21	865
0	586
0	263
0	562
0	0
0	0
0	0
0	290
0	249
0	79
0	68
0	78
8	11
132	38
0	6
0	3
2	3
0	13
0	4
0	1
0	2
0	1
0	5
0	0
0	0
0	51
1	22
1	13
0	52
0	0
0	0
0	0
0	0
0	0
7	24
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
41	72
18	370
0	370
0	0
4	24
0	24
0	0
0	0
0	0
0	0
