comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval
Chd7_vs_Ctrl_gn,Exp391_CD8---Texint_up,-1.6756668522561253,0.018614586512053707,3.257328990228013e-4,40,1.7301466063716089,3.4871383754771865
Chd7_vs_Ctrl_gn,Exp391_CD8---d5_KLRG1lo_Runx3_promoted,-1.6240947564565527,0.018614586512053707,6.103143118706134e-4,34,1.7301466063716089,3.2144464457183948
Chd7_vs_Ctrl_gn,Exp391_CD8---best_cluster_6,-1.632189584821789,0.10133732037544646,0.0049838026414154,49,0.994230583778753,2.3024391640698574
Chd7_vs_Ctrl_gn,Exp391_CD8---DP_up,1.3314323548459404,0.14949870033419976,0.012001116382919341,20,0.8253625828588748,1.920778352586524
Chd7_vs_Ctrl_gn,Exp391_CD8---GSE68056_WT_vs_Il2raKO---WT,-1.277596545253173,0.14949870033419976,0.012253991830672113,27,0.8253625828588748,1.911722413533623
Chd7_vs_Ctrl_gn,Exp391_CD8---Tox_promoted,1.2900814018737268,0.19243345307175094,0.01892788063000829,20,0.7157194269886503,1.7228980116157737
Chd7_vs_Ctrl_gn,Exp391_CD8---TE_up,-1.2912035307502878,0.4875289575289575,0.055945945945945944,30,0.3119995836135671,1.2522313786100772
Chd7_vs_Ctrl_gn,Exp391_CD8---MP_up,1.2990616846290743,0.6554931836407377,0.08602856673780988,24,0.183431820102968,1.0653573125176947
Chd7_vs_Ctrl_gn,Exp391_CD8---JJM_TrmSignature,-1.190691745164215,0.6554931836407377,0.10463121783876501,31,0.183431820102968,0.980338719748247
Chd7_vs_Ctrl_gn,Exp391_CD8---GSE68056_WT_vs_Blimp1KO---WT,-1.2394990741282648,0.6554931836407377,0.107457898957498,27,0.183431820102968,0.968761655113735
Chd7_vs_Ctrl_gn,Exp391_CD8---Texprog1_dn,-1.175241726968912,0.66062471500228,0.1222543352601156,31,0.18004518270587042,0.9127357314177343
Chd7_vs_Ctrl_gn,Exp391_CD8---GSE132110_Tim3pos_vs_Tim3neg---Tim3neg,1.0955752798661607,0.66062471500228,0.12995896032831739,17,0.18004518270587042,0.8861937716690127
Chd7_vs_Ctrl_gn,Exp391_CD8---GSE68056_WT_vs_Blimp1KO---Blimp1KO,1.0800366241130546,1,0.3343318355799634,35,-0,0.47582226726498955
Chd7_vs_Ctrl_gn,Exp391_CD8---best_cluster_9,-1.0441561767028316,1,0.35315068493150686,28,-0,0.45203994710307166
Chd7_vs_Ctrl_gn,Exp391_CD8---MP_dn,-1.023631320214934,1,0.38941798941798944,19,-0,0.4095839898357453
Chd7_vs_Ctrl_gn,Exp391_CD8---Tcf7_repressed,-1.006289723612574,1,0.42355302776848447,27,-0,0.37309220935794435
Chd7_vs_Ctrl_gn,Exp391_CD8---best_cluster_10,-0.9865152246520502,1,0.4736983360171766,27,-0,0.32449814083638245
Chd7_vs_Ctrl_gn,Exp391_CD8---Act48h_up,0.9823436019526048,1,0.5191515907673113,24,-0,0.2847058108972163
Chd7_vs_Ctrl_gn,Exp391_CD8---best_cluster_8,-0.955324384149803,1,0.599228047603731,32,-0,0.22240786714694924
Chd7_vs_Ctrl_gn,Exp391_CD8---Tox_repressed,-0.9531638872493644,1,0.6082272282076395,31,-0,0.21593414191033009
Chd7_vs_Ctrl_gn,Exp391_CD8---Tim3negBlimp1neg,0.9296758024749406,1,0.6332034761762062,23,-0,0.19845670960247935
Chd7_vs_Ctrl_gn,Exp391_CD8---Yao_PRO,0.9296758024749406,1,0.6332034761762062,23,-0,0.19845670960247935
Chd7_vs_Ctrl_gn,Exp391_CD8---TE_dn,0.9372574581802512,1,0.6381099270891756,11,-0,0.19510449899692403
Chd7_vs_Ctrl_gn,Exp391_CD8---TRM_biased,-0.9261066971009461,1,0.6594159713945172,28,-0,0.18084053822940474
Chd7_vs_Ctrl_gn,Exp391_CD8---TE_biased,0.9546567496981543,1,0.675973802137194,31,-0,0.1700701351348801
Chd7_vs_Ctrl_gn,Exp391_CD8---MEM_up,-0.9578549292142698,1,0.6911045943304008,25,-0,0.1604562199152607
Chd7_vs_Ctrl_gn,Exp391_CD8---klf2_repressed,0.8999941993489505,1,0.691785983421251,27,-0,0.16002824166319307
Chd7_vs_Ctrl_gn,Exp391_CD8---JJM_CirculatingSignature,-0.8964938063814859,1,0.6928318342872717,23,-0,0.15937216553795855
Chd7_vs_Ctrl_gn,Exp391_CD8---Texprog2_dn,-0.8467696756466789,1,0.7663410969196093,35,-0,0.11557788371275758
Chd7_vs_Ctrl_gn,Exp391_CD8---Yao_MP,0.8603031366756162,1,0.7698789643021297,26,-0,0.11357754660345018
Chd7_vs_Ctrl_gn,Exp391_CD8---Tim3posBlimp1pos,-0.9152836867138009,1,0.800709219858156,10,-0,0.09652517073041204
