wilcoxon,t-test,t-test_overestim_var
Lat,Klrg1,Chchd10
Ass1,Chchd10,Ly6c2
Chchd10,Ass1,Hspa8
Ly6c2,Hspa8,Ass1
Hspa8,Ly6c2,Lat
Plac8,Lat,Klrg1
Klrg1,Gzma,Gzma
Atp1b3,Arhgap21,Atp1b3
Gzma,Sema4a,Plac8
Gzmk,Ccr2,Gzmk
Rbm3,Gzmk,H2-Q10
Ctla2a,Fam129b,Sema4a
H2-Q10,Hpcal1,Gpx4
Sema4a,Crybb1,Ctla2a
Dynll1,Atp1b3,Ccr2
Ccr2,H2-Q10,Hpcal1
Ccr5,Plac8,Ccnd2
Vim,Fcgrt,Fdps
Ccnd2,Esm1,Rras2
Gpx4,Ccnd2,Rpl7a
Hpcal1,Gpx4,Vim
Rrm2,Fdps,Rpl41
Rpl22l1,Mgst2,Ccne1
Rpl7a,Dclre1a,Arl4c
Gclm,a,Rrm2
Fdps,Rras2,Mgst2
Rpl10,Ctla2a,Esm1
Rpl41,Snx13,Fcgrt
Ccne1,Ccne1,Gclm
Rras2,Rpl7a,Fam129b
Rbms1,Tbc1d2,Rpl10
Mgst2,Vim,Arhgap21
Tspan3,Arl4c,Tagln2
Glipr2,2010300C02Rik,Hsp90ab1
Arl4c,Gclm,Dynll1
Rps2,Epas1,Tspan3
Cd69,Dynll1,Ccr5
Tagln2,Rpl41,Siva1
Lrrc8a,Rrm2,Epas1
Gmnn,Sema4f,Dclre1a
Ppat,Eomes,Glipr2
Rp9,Zfp788,Pdia3
Snrpa1,Rpl10,Rbms1
Psip1,Tspan3,Eomes
Anxa1,Pla2g12a,Pla2g12a
Rps25,Abcb8,Hsph1
Rps20,Tanc1,Tbc1d2
Esm1,Mrm1,Rp9
Siva1,Ccr5,Crybb1
Pdia3,Mid1ip1,Anxa1
Tmem14c,BC147527,Klf2
Klf2,Prss36,Cd69
Tgfb1,Rbms1,E2f8
H2az1,Lzts1,a
Lbr,Anxa1,Mid1ip1
Hsp90ab1,Nutf2,Rps6
Rps6,Vegfb,Abcb8
Fcgrt,Cgas,Lrrc8a
E2f8,Tnfrsf22,Cdk2ap1
Mid1ip1,Rp9,Gmnn
Dnaja1,Glipr2,Psip1
Idi1,Ogfrl1,BC147527
Uhrf1,Lrrc8a,Rpl22l1
Eomes,Hes1,Znrf2
Znrf2,Arid3a,2010300C02Rik
Txn1,Mafa,Snx13
Ciao2a,Siva1,Dnaja1
Hsph1,Cnnm3,Eef1d
Ybx1,E2f8,Tgfb1
Epas1,Dnaja1,Uhrf1
Edem1,Tex15,Tmem14c
Pla2g12a,Hsph1,Ssr3
Cdk2ap1,Hsp90ab1,Fabp5
Rps17,Ddhd1,Cmtm7
Rcn2,Hsd17b11,Vegfb
Atp5b,Rpl22l1,Ppat
Cmtm7,Pdia3,Bola2
E2f2,Tagln2,Rcn2
Srp9,Gm20517,Trdc
Npc2,Cd69,Cdc37
Gapdh,Tsacc,Gnpda1
Gnl1,Trim3,Edem1
Hmgb1,Trdc,Snrpa1
Fabp5,Igfbp6,Samd1
Rplp1,Znrf2,Cgas
Gna11,1700025G04Rik,Rplp1
Atp1a1,Zrsr1,Ccnd3
Dhfr,Psip1,Ciao2a
Dnajc19,Tgfbr3,Psmb2
,Rcn2,Gna11
,Cdk2ap1,Sema4f
,Tfpi,Rps25
,Bola2,Tanc1
,Zmat1,1700025G04Rik
,Rev1,E2f2
,Exo1,Slc9a3r1
,Psmb2,Mrpl27
,Samd1,Rps17
,Edem1,Tex15
,Rps6,Gnl1
,Zfp709,Pdia6
,Gmnn,Ddhd1
,Gna11,Dck
,Klf2,Zfp788
,Lrrc27,Arid3a
,Ssr3,Pigt
,Tgfb1,Exo1
,Ppat,Gstp3
,Uhrf1,Bri3bp
,Ccne2,Atp1a1
,Gnpda1,Lbr
,Arrdc3,Cnnm3
,Zfp950,Rps12
,H2bc13,Rps20
,Padi2,Rps2
,Rwdd2a,Srp9
,Hacd1,H3f3b
,,Rpl8
,,Toe1
,,Cdc26
,,Sfr1
,,Atp5b
,,Ywhah
,,Dhfr
,,Eef1g
,,Pycard
,,Rev1
,,Ogfrl1
,,Mcm10
,,Rpl15
,,Romo1
,,Emp3
,,Ccne2
,,Eif2s2
,,Brca1
,,Tmco1
,,Zfp950
,,Dnajc3
,,Tnfrsf13c
,,Scd2
,,Arrdc3
,,Pcna
,,Runx3
,,Hsp90b1
,,Sfxn1
,,Cox5a
,,Eef1a1
,,Tspan5
,,Gng12
,,Dpy19l1
,,Txn1
,,Lrp6
,,Glrx3
,,Mospd1
,,Srsf3
,,Padi2
,,Idh2
,,Rps9
,,Rapsn
,,Ano6
,,H2az1
,,Misp3
,,Trim28
,,Emp1
,,Rps27a
,,Hopx
,,Bet1
,,Manf
,,Mrm1
,,Igfbp6
,,Tkt
,,Slbp
,,Tfpi
,,Plec
,,Pik3cd
,,Rtn3
,,Cuta
,,Hsd17b11
,,Rpl10a
,,Nploc4
,,Gars
,,Rpl31
,,Lman2
,,Cyp51
,,Cyba
,,Wrap53
,,Ubl7
,,Sec24d
,,Npc2
,,Prss36
,,Golm1
,,Npm1
,,Mdh1
,,Zfp709
,,Psma5
,,Saraf
,,Lzts1
,,Rexo2
,,Atp5g3
,,Impad1
,,Gltp
,,Nutf2
,,Rwdd2a
,,Lrrc40
,,Tuba4a
,,Idi1
,,Slc25a53
,,Ralbp1
,,Dnajc19
,,Rps19
,,Spata13
,,Esyt2
,,Myb
,,Btf3
,,Immp2l
,,Fkbp4
,,Eif5a
,,Canx
,,Klf3
,,Ogfod3
,,Tsen15
,,Rps8
,,Tnfrsf22
,,Ssr1
,,Nme4
,,Krtcap2
,,Aldoa
,,Zdhhc15
