wilcoxon,t-test,t-test_overestim_var
Lgals1,S100a4,S100a6
S100a6,S100a6,Lgals1
S100a4,Lgals1,S100a4
Gapdh,Anxa2,Anxa2
Serpinb6b,Lgals3,Serpinb6b
Anxa2,Serpinb6b,Lgals3
Actg1,Bhlhe40,Bhlhe40
Sub1,Plek,Plek
Lgals3,Ifng,Gapdh
Txn1,Hmgb2,Ifng
S100a10,Ahnak,Ahnak
Bhlhe40,Ctla4,Actg1
Ifng,Bcl2a1b,Hmgb2
Crip1,Ptms,Txn1
Hmgb2,Gzmb,Sub1
Plek,Serpinb9,S100a10
Ahnak,Tmsb4x,Crip1
S100a11,Pglyrp1,Bcl2a1b
Vim,Gapdh,H2az1
H2az1,Actg1,Ybx3
Tmsb4x,Stmn1,Tmsb4x
Bcl2a1b,S100a10,Pglyrp1
Ly6a,Ybx3,Ctla4
Nkg7,Txn1,Vim
Pglyrp1,Sub1,S100a11
Ptms,Casp3,Serpinb9
Abracl,Rilpl2,Ptms
Cox5b,H2az1,Rilpl2
Itga4,Klrc1,Ly6a
Ctla4,Bcl2a1d,Gzmb
Cd48,Crip1,Itga4
Serpinb9,Dut,Dut
Ybx3,Pclaf,Stmn1
Rilpl2,Vim,Casp3
Rbm3,Zbtb32,Cd48
Lsp1,Lag3,Nkg7
Dut,Itgb1,Klrc1
Reep5,S100a11,Reep5
Clic1,Mki67,Cox5b
Pfn1,Ly6a,Itgb1
Klrc1,Birc5,Abracl
Itgb1,Cks1b,Prr13
Casp3,Itga4,Bcl2a1d
Cox8a,Cks2,Lsp1
Gzmb,Icos,Pclaf
Lag3,Lmnb1,Zbtb32
Actb,Cd48,Il2rb
Arpc3,Pdcd1,Rbm3
Cdc42,Osbpl3,Icos
Stmn1,Slamf7,Hif1a
Calm1,Nkg7,Efhd2
Cox5a,Reep5,Actb
Cfl1,Tyms,Lag3
Prr13,Ccnb2,Lmnb1
Bcl2a1d,1500009L16Rik,Ctsd
Srgn,Cxcr3,Pim1
Ctsd,Rora,Pfn1
Il2rb,Ccdc50,Clic1
Pycard,Prr13,Cks2
Icos,Il2rb,Prelid1
Pim1,Top2a,Cks1b
Prelid1,Cdca8,Batf
Zbtb32,Ctla2a,Mki67
Hint1,Hif1a,Pycard
Prdx1,Efhd2,Birc5
Hif1a,Batf,Cxcr3
Efhd2,Rbm3,Vmp1
Nap1l1,Sdf2l1,Cd28
Ifi27l2a,Cox5b,S100a13
Ctla2a,Actb,Ccdc50
S100a13,Abracl,Calm3
Dnajc15,Lsp1,Srgn
Calm3,Runx2,Slamf7
Cks2,Spc24,Osbpl3
Gnai2,Nr4a2,Rora
Batf,Gna15,Cox8a
Rora,Cdca3,Sh2d2a
Cxcr3,Vmp1,Nap1l1
Vmp1,Pik3ap1,Sdf2l1
Atp5j,Klrc2,Arpc3
Il18r1,Ctsd,Ctla2a
Cd28,Nrgn,Il18r1
Myl6,Pim1,Ywhah
Oaz1,Ube2c,Cox5a
Slamf7,Mcm6,Etfb
Cox6b1,Il18r1,Cdc42
Arpc5,Atxn1,Hopx
Ywhah,Cenpa,Ifi27l2a
Lmnb1,Hip1,Atxn1
Ppp1ca,Pycard,Tyms
Atxn1,Hopx,Mcm6
Hopx,Il18rap,Cfl1
Pclaf,Cd28,Pdcd1
Ccdc50,Hmgn2,Hmgn2
Nr4a2,Prelid1,Sept11
Sh2d2a,Rrm2,Atpif1
Hmgb1,Adap1,Nr4a2
Ran,Ccl4,Calm1
Ppib,Mapre2,1500009L16Rik
Anp32b,Ccl3,Prdx1
Ybx1,Tk1,Ccnb2
Osbpl3,Pfn1,Runx2
Rps27l,Ifi27l2a,Rpa2
Cox7c,Cenpw,Fkbp1a
Dbi,Sept11,Pfkp
Mki67,Kif15,Phf11b
Mcm6,Etfb,Hint1
Hmgn2,Sh2d2a,Rps27l
Sept11,Calm3,Pkm
Cks1b,Rpa2,Dnajc15
Id2,Ezh2,Arpc5
Etfb,Asf1b,Cox17
Atpif1,Clic1,Top2a
Fkbp1a,S100a13,Ap2s1
Sdf2l1,Klrk1,Atp5j
Sh3bgrl3,Dusp5,Cenpa
Dusp5,Chsy1,Dbi
Hsp90b1,Gzmk,Gna15
Pdcd1,Srgn,Ezh2
Birc5,Nap1l1,Id2
Phf11b,Mt1,Klrc2
Runx2,Ccna2,Cdca8
Snrpe,Ywhah,Tnfaip3
Ccl4,Phf11b,Dusp5
Rpa2,Gmnn,Hsp90b1
Il18rap,Smc2,Gnai2
Tnfaip3,Atpif1,Spc24
Klrc2,Id2,Gng2
Ccl3,Rgs16,Alyref
1810037I17Rik,Stk39,Ran
Chsy1,Tpx2,Oaz1
Pfkp,Cenpe,1810037I17Rik
Polr1d,Tnfaip3,Myl6
Cox17,Ptma,Chsy1
Capzb,Cdk1,Hmgb1
Pkm,Mcm5,Ppp1ca
Cenpa,Rom1,Cdca3
Gna15,Nrp1,Anp32b
1500009L16Rik,Dennd4a,Cenpw
Ube2l3,Pkm,Cox6b1
Cyba,Kif11,Mapre2
