wilcoxon,t-test,t-test_overestim_var
Gzma,Gzma,Gzma
Klrg1,Klrg1,Klrg1
Pkm,Chchd10,Chchd10
Hspa8,Esm1,Esm1
Gzmk,Ass1,Ly6c2
Chchd10,Gzmk,Gzmk
Lat,Arl4c,Arl4c
Ly6c2,Ly6c2,Hspa8
Arl4c,Hspa8,Pkm
Esm1,Pkm,Ass1
Vim,Lat,Lat
Rrm2,Fcgrt,Rrm2
Ass1,Ggh,Fcgrt
Tagln2,Rrm2,Ggh
Txn1,Rras2,Vim
Hsp90ab1,Vim,Rras2
Hsph1,Eomes,Hsph1
Rras2,Hsph1,Thy1
Gzmb,Thy1,Ncald
Tubb5,Ncald,Tagln2
Thy1,Tagln2,Eomes
Rps17,Cd8b1,Cd8b1
Cd8b1,Ogfrl1,Glipr2
Fcgrt,Hsp90ab1,Hsp90ab1
Ggh,Ccr2,Ctla2a
Ncald,Glipr2,Ccr2
Glipr2,Sema4a,Gzmb
Eif5a,Txn1,Txn1
Plac8,Ctla2a,Sema4a
Atp5b,Gzmb,Atp5b
Ccr2,Samd3,Tubb5
Aldoa,Tubb5,Plac8
Hsp90aa1,Plac8,H2-Q10
Mif,Atp5b,Ogfrl1
Sema4a,Smpdl3b,Hopx
Pclaf,H2-Q10,Klf2
Rpl7a,Plin2,Smpdl3b
Rps25,Hopx,Plin2
Ctla2a,Klf2,Ywhaq
Anp32b,Chml,Klrk1
Ccnd2,Ccr5,Ccr5
Ppia,Ywhaq,Ccnd2
Ccr5,Klrk1,Fam111a
Eomes,Fam111a,Smc2
Ywhaq,Ccnd2,Aldoa
Hopx,Smc2,Rps17
Eef1g,Aldoa,Cyba
Gapdh,Fgl2,Samd3
H2-Q10,Rps17,Wdr95
Klrk1,Wdr95,Hsp90aa1
Srsf3,Hsp90aa1,Ezr
Smc2,Gmnn,Gmnn
Rpl10,Cyba,Rps25
Ptma,Rpl7a,Ugcg
Rbm3,Ezr,Pclaf
Gmnn,Eif5a,Rpl7a
Tuba1b,Ugcg,Eif5a
Manf,H4f16,Nop56
Ezr,Pclaf,Anp32b
Wdr95,Nop56,Chml
Eno1,Rps25,Fgl2
Fam111a,Gzmm,Ccnb1
Ccnb1,Fos,Manf
Klf2,Anp32b,Saraf
Ugcg,Ccne1,Slc9a3r1
Cmtm7,Dnajc3,Ccne1
Ybx1,Ccnb1,Dnajc3
Cct8,Slc9a3r1,Fos
Rpl41,Acat2,Gapdh
Hspe1,Tesc,Ppia
Dnajc3,Fam129b,Krtcap2
Plin2,Ppia,Ptges3
Fos,Manf,Tuba1b
Ddx39,Saraf,Acat2
Tmpo,S1pr5,Gzmm
Nop56,Gapdh,Mif
Ccne1,Tuba1b,Pcna
Smpdl3b,Ptges3,Iqgap2
Ptges3,Mif,Pycard
Pycard,Mxd3,Tesc
Slc9a3r1,Gm20696,Cmtm7
Rps2,Iqgap2,H4f16
Pdia6,Krtcap2,Capn2
Cd47,Serpinb6a,Serpinb6a
Anxa1,Tnf,Tuba1a
Pcna,Fdps,Fdps
Capn2,Pcna,Mxd3
Ube2s,Capn2,Eef1g
Dnaja1,Cmtm7,Pdia6
Eef1d,Scd2,Fam129b
Ppp2r5a,Cdc6,Cct8
Pabpc1,Eef1g,Cdc6
U2af1,Pycard,Tyms
Slc25a5,Tyms,Eno1
Rasgrp2,Plin3,Scd2
Iqgap2,Tuba1a,Hspe1
Rpl14,Cct8,Tmpo
Fdps,Tmprss13,Plin3
Tyms,Bola1,Tnf
Ran,Tcf19,P4hb
Saraf,Pdia6,Dnaja1
Tuba4a,Eno1,Cd47
Serpinb6a,Tmpo,Ube2s
Cyba,Crybb1,Tcf19
Calm2,Hspe1,Bola1
Ccna2,Mt2,Srsf3
Krtcap2,Srsf3,Mcm7
Pdia3,P4hb,Pabpc1
Hnrnpa3,Dnaja1,S1pr5
Clspn,Mcm7,Pik3cd
Mcm7,Cd47,Hnrnpa3
Cdt1,Mis12,Dnajb11
Rps6,Rap2a,Gm20696
Tuba1a,Gins2,Ppp2r5a
P4hb,Fabp5,Gins2
Vps35,Pik3cd,Mt2
Canx,Ube2s,Rpl10
Npm1,Selenom,Fabp5
Pcbp1,Rpl10,Tuba4a
Hnrnpab,Cbr1,U2af1
Kcnn4,Adgrg5,Cbr1
Dnajb11,Pabpc1,Vps35
Fen1,Tuba4a,Fen1
Ldha,Ntpcr,Ddx39
Eif1ax,Hnrnpa3,Cdt1
Bola1,Ppp2r5a,Cdk1
Mdh1,Dnajb11,Anxa1
Pik3cd,Idh2,Canx
Cdc6,Cdk1,Mis12
Emp3,Vps35,Selenom
Gins2,Anxa1,Rasgrp2
Higd1a,Fen1,Hsp90b1
Gpx4,Spc25,Spc25
Lbr,U2af1,Ntpcr
Adgre5,Gfpt1,Lbr
Tacc3,Rfx3,Rap2a
Numa1,Ddx39,Gfpt1
Cdk1,Cdt1,Idh2
Rps27a,Esco2,Kif11
Asf1b,Kif11,Ybx1
Mki67,Cdc45,Mki67
Tubb4b,Canx,Uhrf1
Anxa2,Rasgrp2,Edem1
Edem1,1700025G04Rik,Numa1
Fbl,Fignl1,Cdc45
Tcf19,Exo1,Crybb1
Plin3,E2f8,Fignl1
Ncapg,Uhrf1,1700025G04Rik
Sdf2l1,Errfi1,E2f8
Srsf10,Ybx1,Glrx
Rps19,Numa1,Ccna2
Depdc1a,Mki67,Fbl
Acat2,Edem1,Asf1b
Rpl8,Lbr,Adgre5
Dek,Hsp90b1,Kcnn4
Rplp0,Mtg1,Srsf10
Uhrf1,Ccna2,Exo1
Glrx,Asf1b,Calm2
Ranbp1,Fbl,Esco2
Mgst2,Eps8,Pdia3
Slbp,Nrarp,Tmprss13
Fabp5,Kcnn4,Clspn
Kif11,Tg,Eif1ax
1700025G04Rik,Tspan3,Tra2b
AA467197,Adgre5,Dek
Scd2,Glrx,Adgrg5
Shcbp1,Atp2a3,Arsb
Hmmr,Mgst2,Tspan3
Arsb,Srsf10,Mdh1
Calr,Srgap2,Eef1d
Kcnab2,Calm2,Mgst2
Hnrnph1,Arsb,Atp2a3
Lmnb1,Mcm10,H2-Q7
Rrm1,Clspn,Slc25a5
Cenph,Timeless,Errfi1
Atp1b3,Eif1ax,Emp3
Srsf7,Eef1d,Tacc3
Rpl10a,H2-Q7,Sdf2l1
Cox5a,Shcbp1,Timeless
Rbms1,Fam78b,Shcbp1
Cbr1,Pdia3,Mcm10
Spc24,Mdh1,Mtg1
Dynll1,AA467197,Spc24
Rpl35a,Slc25a5,Srgap2
Hsp90b1,Poc1a,Rfx3
E2f8,Gadd45g,Npm1
Tra2b,Sdf2l1,Poc1a
Psmb6,Arhgap19,AA467197
Stip1,Tra2b,Stip1
Ywhab,Tacc3,Rbms1
Lman2,Dek,Hnrnph1
Mt2,Npm1,Arhgap19
Atp2a3,Ier3,Calr
Spc25,Acss2,Tubb4b
Dmac1,Emp3,Jak1
Jun,Spc24,Hells
Rpl15,Gins1,Rrm1
Kpnb1,Stip1,Tg
Car5b,Mt3,Nasp
Mxd3,Btbd11,Kpnb1
Snrpd3,Hnrnph1,Ranbp1
Gltp,Jak1,Ier3
Macroh2a1,Rbms1,Gadd45g
Cd8a,Car5b,Dap3
Cdc20,Hells,Kcnab2
Atad2,Tubb4b,Nrarp
Gfpt1,Kpnb1,Pcbp1
Tpi1,Dmac1,Car5b
Atp5mpl,Scarb1,Ldha
