wilcoxon,t-test,t-test_overestim_var
Trav14-1,Trav14-1,Trav14-1
Rexo2,Rexo2,Rexo2
Trdc,Trdc,Trdc
Trbv13-3,Trbv13-3,Trbv13-3
Fabp5,Fabp5,Fabp5
Ybx1,Dut,Dut
Ran,Pclaf,Pclaf
Hsp90aa1,Ybx1,Ybx1
Ptma,Tipin,Tipin
Rps27l,Ran,Ran
Nap1l1,Ptma,Ptma
Eif5a,Hsp90aa1,Hsp90aa1
Set,Rps27l,Rps27l
Tipin,Ybx3,Ybx3
Dut,Nap1l1,Nap1l1
Fkbp5,1500009L16Rik,1500009L16Rik
Hnrnpab,Hnrnpab,Hnrnpab
Ybx3,Anp32e,Anp32e
Hells,Eif5a,Eif5a
Anp32e,Set,Set
Pebp1,Pebp1,Pebp1
Ldha,Ldha,Ldha
1500009L16Rik,Fkbp5,Fkbp5
Hspd1,Gmnn,Gmnn
Hsp90ab1,Hells,Hells
Nme1,Rrm2,Rrm2
Mif,Anp32b,Anp32b
Anp32b,Cisd1,Cisd1
Ranbp1,Ranbp1,Ranbp1
Tpi1,Nme1,Nme1
Rps2,Hmgb1,Hmgb1
Pclaf,Hsp90b1,Hsp90b1
Cisd1,Vim,Vim
Dtymk,Tpi1,Tpi1
Rps17,Mcm3,Mcm3
Hsp90b1,Hspd1,Hspd1
Nrgn,Lgals3,Lgals3
Gmnn,Mif,Mif
Snrpd1,Lmnb1,Lmnb1
Atpif1,Alyref,Alyref
Nasp,Dtymk,Dtymk
Hmgb1,Atpif1,Atpif1
Mt1,Gapdh,Gapdh
Mcm3,Hsp90ab1,Hsp90ab1
Pgam1,H2az1,H2az1
Metap2,Hmgb2,Hmgb2
Rrm2,Rrm1,Rrm1
Eif1ax,Snrpd1,Snrpd1
Pgk1,Metap2,Metap2
Alyref,Dctpp1,Dctpp1
Gapdh,Eif1ax,Eif1ax
Dctpp1,Pgk1,Pgk1
Ccne1,Nasp,Nasp
Ywhae,Cmtm7,Cmtm7
Uhrf1,Mrpl18,Mrpl18
Pmm1,Birc5,Birc5
Rrm1,Tuba1b,Tuba1b
Serbp1,Ywhae,Ywhae
Siva1,Pgam1,Pgam1
Lgals3,Mcm6,Mcm6
Cmtm7,Cbx3,Cbx3
Rpl22l1,Cks1b,Cks1b
Mrpl18,Rps17,Rps17
Srsf3,Siva1,Siva1
Vim,Pdia3,Pdia3
Mpp6,Nucks1,Nucks1
Slc25a4,Ssrp1,Ssrp1
Snrpf,Nrgn,Nrgn
Cct6a,Manf,Manf
Mt3,Uhrf1,Uhrf1
Casp1,Rasgrp2,Rasgrp2
Supt16,Canx,Canx
Hnrnpd,Pmm1,Pmm1
Rasgrp2,Stmn1,Stmn1
Atp5a1,Cct6a,Cct6a
Mcm6,Mt1,Mt1
Lyar,Slbp,Slbp
Cbx3,Ccne1,Ccne1
Ppa1,Lig1,Lig1
Canx,Mcm7,Mcm7
Ndufab1,Slc25a4,Slc25a4
Vdac1,Rfc4,Rfc4
Tcp1,Rps2,Rps2
Manf,Srsf3,Srsf3
G3bp1,Atp5a1,Atp5a1
Ssrp1,Lyar,Lyar
Dtl,Ppa1,Ppa1
Hnrnpa2b1,Supt16,Supt16
Hnrnpu,Calr,Calr
Cdk2ap1,Pcna,Pcna
Smarca5,Dpy30,Dpy30
Pdap1,Mpp6,Mpp6
Atp5pb,Dek,Dek
Orc6,Mki67,Mki67
Rfc4,Pdap1,Pdap1
Nucks1,Ccna2,Ccna2
Lmnb1,Sdf2l1,Sdf2l1
Tk1,Rpl22l1,Rpl22l1
Phgdh,Dynll1,Dynll1
Dynll1,Txn1,Txn1
Calr,Tcp1,Tcp1
Mcm7,Orc6,Orc6
Parp1,Serbp1,Serbp1
Slc25a5,Mcm5,Mcm5
Cct8,Phgdh,Phgdh
Pdia3,G3bp1,G3bp1
Adap1,Selenoh,Selenoh
Ccdc50,Cdk2ap1,Cdk2ap1
Mcm4,Lgals1,Lgals1
Kif15,Ndufab1,Ndufab1
Selenoh,Tagln2,Tagln2
Hadh,Pdia6,Pdia6
Dpy30,Hnrnpd,Hnrnpd
Slbp,Vdac1,Vdac1
Ptges3,Atp5pb,Atp5pb
Lsm3,Ywhah,Ywhah
Cacybp,Hnrnpa2b1,Hnrnpa2b1
Lig1,Cenpw,Cenpw
Rad51,Smarca5,Smarca5
Fignl1,Mcm4,Mcm4
Mcm2,Cox5a,Cox5a
Chaf1a,Lsm3,Lsm3
Rbbp7,Srsf9,Srsf9
Atp5g1,Snrpf,Snrpf
Clspn,Cdca3,Cdca3
Ppil1,Ppil1,Ppil1
Cbx5,Tk1,Tk1
Srsf2,Mt3,Mt3
Cnih4,Ezh2,Ezh2
Snrpd2,Psma4,Psma4
Tmem97,Dtl,Dtl
Psat1,Slc25a5,Slc25a5
Tuba1b,Tyms,Tyms
Tagln2,Ppia,Ppia
Fkbp1a,Rbbp7,Rbbp7
Mrpl20,Snrpd2,Snrpd2
Srsf9,Hnrnpu,Hnrnpu
Ncapg2,Mrpl20,Mrpl20
Nudt5,Srsf2,Srsf2
Uchl3,Ube2s,Ube2s
Mcm10,Ptges3,Ptges3
Ccna2,Sept11,Sept11
Cenpw,Cbx5,Cbx5
Dhfr,Uchl3,Uchl3
Zbtb32,Smc2,Smc2
Ipo5,Fkbp1a,Fkbp1a
Slc25a3,Snrpa1,Snrpa1
Sdf2l1,Cacybp,Cacybp
Eif4a1,Hmgn2,Hmgn2
Pa2g4,Atp5g1,Atp5g1
Mybl2,Cdca8,Cdca8
Sumo2,Pa2g4,Pa2g4
Chchd2,Cct8,Cct8
Mki67,Cnih4,Cnih4
Mcm5,Mcm2,Mcm2
Umps,Nudt5,Nudt5
Ddx1,Erh,Erh
Cpsf2,Sms,Sms
Snrpa1,Lsm6,Lsm6
Atp5b,Kif15,Kif15
Prdx2,Parp1,Parp1
Rfc3,Cks2,Cks2
Pcna,Rpa3,Rpa3
Erh,Clspn,Clspn
