wilcoxon,t-test,t-test_overestim_var
Lgals1,Pclaf,Pclaf
Hmgb2,Lgals1,Lgals1
Gapdh,Stmn1,Stmn1
H2az1,Anxa2,Hmgb2
S100a6,Hmgb2,Anxa2
Stmn1,Birc5,Birc5
Txn1,S100a6,S100a6
Anxa2,Cks1b,Cks1b
Pclaf,Lgals3,Gzmb
Vim,Gzmb,Lgals3
Ptma,Mki67,Lmnb1
Actg1,Serpinb6b,H2az1
Ran,Rrm2,Serpinb6b
Birc5,Lmnb1,Rrm2
Lgals3,1500009L16Rik,Mki67
Serpinb6b,Ccnb2,Ptma
Sub1,H2az1,Dut
Cks1b,Dut,1500009L16Rik
Gzmb,Ptma,Ccnb2
Dut,Cdca8,Vim
Hsp90aa1,Cdca3,Cdca8
Lmnb1,Cks2,Cks2
Ybx1,Tyms,Gapdh
Mki67,Vim,Txn1
Hsp90b1,Ccna2,Ybx3
1500009L16Rik,Ybx3,Cdca3
Cox5a,Spc24,Tyms
Anp32b,Sdf2l1,Gmnn
Hmgb1,Gmnn,Sdf2l1
Ube2s,Txn1,Ccna2
Ccnb2,Ifng,Spc24
Ifng,Gapdh,Actg1
Rrm2,S100a4,Ifng
Crip1,Smc2,Ran
Cks2,Actg1,S100a4
Ybx3,Mcm5,Hsp90aa1
Cdca8,Asf1b,Hsp90b1
S100a4,Hsp90aa1,Ube2s
Prdx1,Lig1,Smc2
Cdca3,Bhlhe40,Hmgn2
Cox5b,Rrm1,Mcm5
Cd48,Ahnak,Ahnak
S100a10,Ran,Alyref
Rps27l,Hsp90b1,Cenpa
Tyms,Cenpw,Lig1
Sdf2l1,Ube2s,Rrm1
Gmnn,Tk1,Asf1b
Alyref,Serpinb9,Cenpw
Ccna2,Cenpa,Serpinb9
Spc24,Plek,Bhlhe40
Pycard,Hmgn2,Ctla2a
Ldha,Kif15,Sub1
Ube2c,Top2a,Plek
Ahnak,Alyref,Tk1
Snrpd1,Uhrf1,Mcm3
Top2a,Ctla2a,Mcm6
Bhlhe40,Tpx2,Tipin
Hmgn2,Mcm3,Kif15
Calm1,Tipin,Top2a
Cenpa,Mcm6,Ybx1
Ywhah,Fabp5,Anp32b
Dek,Ezh2,Crip1
Smc2,Gzmk,Ezh2
Nap1l1,Ube2c,Cd48
Ctla2a,Hmmr,Rps27l
Plek,Hells,Hmgb1
Asf1b,Sub1,Uhrf1
Serpinb9,Crip1,Pcna
Pcna,Clspn,Fabp5
Mcm5,Cd48,Tpx2
Pdia3,Rps27l,Ywhah
Hnrnpab,Tacc3,Snrpd1
Pgk1,Anp32b,S100a10
Dynll1,Ybx1,Pycard
Ppia,Pcna,Atpif1
Tuba1b,Hmgb1,Hopx
Gzmk,S100a10,Hells
Slc25a5,Dctpp1,Dctpp1
Lig1,Hopx,Pkm
Ywhae,Pycard,Cox5a
Hint1,Tpi1,Ube2c
Tk1,Ywhah,Gzmk
Manf,Snrpd1,Prdx1
Cenpw,Dtl,Tpi1
Anp32e,Pkm,Hmmr
Rrm1,Atpif1,Clspn
Mcm3,Rad51,Dek
Uhrf1,Ccnb1,Manf
Kif15,Mcm7,Nap1l1
Cmtm7,Mt1,Tacc3
Mcm6,Zbtb32,Anp32e
Fabp5,Rfc4,Mcm7
Eif5a,Rilpl2,Rilpl2
Prelid1,Manf,Pgk1
Tipin,Cox5a,Ldha
Dbi,Prdx1,Cox5b
Hells,Dek,Cmtm7
Tpx2,Gzma,Tubb4b
Tubb4b,Nap1l1,Hnrnpab
Reep5,Tubb4b,Reep5
Gzma,Ncapg2,Rfc4
Selenoh,Cdk1,Selenoh
Atpif1,Cenpm,Dtl
Ezh2,Anp32e,Prelid1
Calm3,Mad2l1,Slbp
Tagln2,Ppil1,Sept11
Hmmr,Pgk1,Rexo2
Pkm,H1f5,Ywhae
Rbm3,Fignl1,Calm3
Ranbp1,Sept11,Pdia3
Pfn1,Slbp,Tuba1b
Actb,Mcm4,Ppil1
Clspn,Cmtm7,Etfb
Hopx,Ldha,Cisd1
Tpi1,Casp3,Dbi
Tacc3,Kif11,Mcm4
Mt1,Rexo2,Rad51
Snrpe,Cisd1,Il2rb
Rexo2,Selenoh,Fkbp2
Mrpl18,Reep5,Ccnb1
Nme1,Cox5b,Nasp
Calr,Hnrnpab,Pdia6
Cdc42,Adap1,Zbtb32
Cfl1,Tuba1b,Dynll1
Slbp,Fkbp2,Mad2l1
Dtl,Cenpe,Pgam1
Cox8a,Cdc20,Tmpo
Dctpp1,Dhfr,Mt1
Hsp90ab1,Prelid1,Casp3
Ccnb1,Etfb,Mrpl18
Atp5pb,Nasp,Ncapg2
Hspa5,Il2rb,Cenpm
Cdk1,Calm3,Rpa2
Zbtb32,Ywhae,Gzma
Ptms,Pgam1,Cdk1
Mad2l1,Pdia3,Eif1ax
Nasp,Pdia6,Hsph1
Tmpo,Dbi,Dhfr
Cenpm,Hsph1,Ppia
Rad51,Cenpk,Actb
Ppp1ca,Cxcr3,Cxcr3
Casp3,Tmpo,Fignl1
Rilpl2,Rpa2,H1f5
Kif11,Ncapg,Orc6
Cenpe,Cenph,Ranbp1
Mcm7,Orc6,Kif11
Pdia6,Prdx4,Racgap1
H1f5,Cdkn3,Cdc20
Rfc4,Dynll1,1810037I17Rik
Ncapg2,Nsd2,Calm1
1810037I17Rik,Hmgb3,Siva1
Il2rb,Knl1,Cmc2
Tmem14c,Mrpl18,Nsd2
Cxcr3,Actb,Adap1
Abracl,Eif1ax,Eif5a
Cbx3,Racgap1,Cenpe
Atp5b,Bub1,Tmem14c
Srsf3,Siva1,Ddx39
Pgam1,Ptms,Hpf1
Psma4,Ppia,Cenpk
Klrc1,Gins2,Prdx4
Clic1,Carhsp1,Hint1
Sept11,Cmc2,Dnmt1
Dhfr,Shcbp1,Slc25a5
Cdkn3,Ranbp1,Hmgb3
Cdc20,H4c9,Hsp90ab1
Tubb5,Ska1,Hspa5
Mcm4,Dnmt1,Cenph
Cox7c,Osbpl3,Ncapg
Ppil1,Bub1b,Nme1
Hspd1,Chaf1a,Efhd2
Hsph1,Ddx39,Ly6a
Cisd1,Hsp90ab1,Itga4
Cenpk,Hpf1,Hspd1
Hspa8,1810037I17Rik,Calr
Eif1ax,Eif5a,Cdkn3
Sumo2,Ly6c2,Ptms
Hmgb3,H2ac8,Ly6c2
Prdx4,Hspd1,Knl1
Nsd2,Tmem14c,Canx
Etfb,Calm1,H4c9
Ly6a,Plk1,Cbx3
Acot7,Havcr2,Tagln2
Ube2l3,Efhd2,Psma4
Fignl1,Ccne1,Ube2l3
Itga4,Acot7,Ube2n
H4c9,Nuf2,Dpy30
Orc6,Cdc45,Dnajb11
Fkbp2,Hspa5,Gins2
Osbpl3,Incenp,Shcbp1
Tmsb4x,Rfc3,Pfn1
Cenph,Dlgap5,Bub1
Klrk1,Slamf7,Ndufb8
Slamf7,Itga4,Carhsp1
Racgap1,Prim1,Acot7
Rpa2,Slc25a5,Cdk2ap1
Ddx39,Hint1,Gng2
Ncapg,Nme1,Osbpl3
Atp5a1,Ccdc34,Ssr2
Dnajc15,Plp2,Ska1
Ly6c2,Bcl2a1d,Chaf1a
Nkg7,Cdk2ap1,Rbm3
Adap1,Calr,Mcm2
Cox7a2,Rfc5,Plp2
Ccdc34,Ly6a,Rfc5
Incenp,Canx,Rnaseh2b
Atp5j,E2f8,Ccdc34
H2ac8,Mcm2,Eif4e2
Nucks1,Klrc1,Prim1
Knl1,Rad51ap1,Snrpe
Siva1,Dpy30,Ccne1
Aldoa,Dnajb11,Bub1b
Ndufa4,Rnaseh2b,Rfc3
Canx,Ube2n,Cfl1
Rbbp8,Cep55,Incenp
Plp2,Tagln2,Nudt21
Prim1,Cbx3,Mtch1
Ndufb9,Bcl2a1b,Dlgap5
Carhsp1,Psma4,Rpa3
Ndufb8,Kif4,H2ac8
Bcl2a1b,Mapre2,Cdc42
Rgs1,Gng2,Hprt
Chaf1a,Ube2l3,Nans
Mif,Ssr2,Slamf7
Cenpf,Tmem97,Uchl3
Bub1,Ndufb8,Atp5pb
Shcbp1,Fen1,Ssrp1
Rfc3,Ctla4,Cdc45
Dlgap5,Pmm1,Erh
Mapre2,Cenpf,Nucks1
Ccne1,Psat1,Lsm5
Myo1f,Rbbp8,Pim1
Dnmt1,Pfn1,Ppp1ca
Hpf1,Chaf1b,Havcr2
Gins2,Eif4e2,Fen1
Sec61b,Hist1h2ap,Plk1
Chchd2,Mcm10,Abracl
Rfc5,E2f2,Atad2
Havcr2,Rpa3,Bcl2a1b
Chaf1b,Uchl3,Nuf2
Cmc2,Kif22,Klrc1
Ska1,Mtch1,Pmm1
Set,Cnih4,Rbbp8
Hprt,Nans,Cnih4
Ncapd2,Zdhhc2,Lrrc59
Efhd2,Depdc1a,Cox8a
Ctla4,Rom1,Mapre2
E2f2,Rbm3,Hspa8
Cox6b1,Cenps,Bcl2a1d
Fen1,Trip13,Psmd13
Rom1,Tmsb4x,Phf5a
Atp5j2,Lrrc59,Psat1
