,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.44509944,-0.10611069202423096,False,,,,,,,,,,,,,,,,0.059794723987579346
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.7997425,0.3237656354904175,True,0.07421768430955553,0.2577311542904344,0.24995867963330412,10.87469233683886,1.6208030767242114,0.07468158006668091,0.05832567438483238,0.18533577045705316,0.0,0.0,0.40942583753207623,0.2572693914045582,0.18373203174821262,1.2463737571675289,2.8859583394655934,0.32636845111846924
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.8467301,-1.1770288944244385,False,,,,,,,,,,,,,,,,-1.168532133102417
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.5101131,-1.6625633239746094,False,,,,,,,,,,,,,,,,0.17071408033370972
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5801705,0.33379167318344116,True,0.21907908607707816,0.1816249222119755,0.2622649693556041,13.570296092799515,0.7379494312405587,0.22629664838314056,0.14489497244358063,0.24871684899414076,0.0,0.0,0.17134852122602096,0.9339099727664983,0.6159168610285068,0.8795398415821122,3.357457084143752,0.3622877597808838
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,8.432615,-7.004178047180176,False,,,,,,,,,,,,,,,,-3.7736010551452637
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.4577343,-0.4558767080307007,False,,,,,,,,,,,,,,,,-0.15217387676239014
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.0817242,-0.9080002307891846,False,,,,,,,,,,,,,,,,-0.7133938074111938
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.002777721,-1.6422929763793945,False,,,,,,,,,,,,,,,,0.11263221502304077
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,9.513119,-2.6976819038391113,False,,,,,,,,,,,,,,,,-2.6856517791748047
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.11666785,-2.7896106243133545,False,,,,,,,,,,,,,,,,0.08020782470703125
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.112080626,0.6395100057125092,True,0.9919880782720246,2.97341532862228,0.2743976025322071,18.103351262341928,0.15267857685685157,0.1214190199971199,1.0205824375152588,0.3371548921909136,0.0,0.0,0.4616205378268739,0.2832711960981459,2.489438234732069,0.4964465123376953,2.8268697312186672,0.6416858732700348
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.5645559,-0.6741821765899658,False,,,,,,,,,,,,,,,,-0.6572088003158569
