,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.35830498,-0.30507421493530273,False,,,,,,,,,,,,,,,,-0.10762441158294678
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,1.1062019,-0.027019977569580078,False,,,,,,,,,,,,,,,,0.015283823013305664
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6121571,-0.33949053287506104,False,,,,,,,,,,,,,,,,-0.2791755199432373
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.285024,-0.8035544157028198,False,,,,,,,,,,,,,,,,-0.8034850358963013
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.362531,-1.5591089725494385,False,,,,,,,,,,,,,,,,-1.450791835784912
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,5.972029,-10.624950408935547,False,,,,,,,,,,,,,,,,-5.9491400718688965
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.27457845,-0.45711827278137207,False,,,,,,,,,,,,,,,,-0.44774580001831055
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.95847636,-0.48446333408355713,False,,,,,,,,,,,,,,,,-0.47078490257263184
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0025583522,-4.149681568145752,False,,,,,,,,,,,,,,,,-0.051525115966796875
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,6.683225,-9.095659255981445,False,,,,,,,,,,,,,,,,-8.480485916137695
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.045425147,-0.876945972442627,False,,,,,,,,,,,,,,,,-0.785228967666626
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.06794823,0.5384266972541809,True,1.8976120056653618,5.129318097549018,0.3527397273866415,9.178659852056457,0.03914847638458013,0.06935838609933853,1.0231424570083618,0.3859128255378789,0.0,0.0,0.4857561188883068,0.2213620564126967,3.8044739222346706,0.32216322472706777,2.7389757811920608,0.5490788817405701
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.6086575,-0.6623153686523438,False,,,,,,,,,,,,,,,,-0.634904146194458
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,78.44455,-0.5507758855819702,False,,,,,,,,,,,,,,,,-0.5000650882720947
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.33931652,-0.35591578483581543,False,,,,,,,,,,,,,,,,0.017630159854888916
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.536691,-1.6048269271850586,False,,,,,,,,,,,,,,,,-1.488349437713623
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.07958292,-4.291769504547119,False,,,,,,,,,,,,,,,,0.016851365566253662
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,0.96961856,-1.560128927230835,False,,,,,,,,,,,,,,,,-1.2678437232971191
