,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.6187337,-2.425633192062378,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.75273985,-0.022844552993774414,False,,,,,,,,,,,,,,,
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.86209303,-1.2671518325805664,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.602475,-2.0552477836608887,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.4142716,-1.064995288848877,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,8.013305,-5.67486572265625,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.43533468,-0.5967384576797485,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.5082859,-1.974839448928833,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0030512612,-4.28184175491333,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,5.8276005,-6.036336898803711,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.158226,-6.729001045227051,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.14492816,0.43238532543182373,True,0.9786250964857408,2.262409740144467,0.28492197516615775,17.394171666919707,0.05464024879038334,0.09278576076030731,0.7641544938087463,0.3487284185374604,0.0,0.0,0.4600376646584748,0.33601804306105637,2.171598187808333,0.6047088615917617,3.6402279827470725
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.481143,-0.6056753396987915,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,57.86976,-0.6750468015670776,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.3468425,-1.9160490036010742,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.56320614,-1.4961576461791992,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.08052349,-4.3950371742248535,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.6703366,-0.8140212297439575,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.9811876,0.3503406047821045,True,0.10729360677048354,0.1221258424769415,0.2010926529277803,20.040555906708654,1.1088551509380338,0.24594710767269135,0.103138267993927,0.29251995364969363,0.0,0.0,0.1000909663554908,0.7959715520342926,0.40454388474082126,0.67429983470571,3.480425374532315
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.28286117,-0.9726781845092773,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.2962666,-0.6302798986434937,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.4288192,-1.537790060043335,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,2.1075828,-1.2972657680511475,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,2.0570533,-0.28433752059936523,False,,,,,,,,,,,,,,,
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,1.1065224,-1.3284709453582764,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.37582004,-1.5565588474273682,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.695075,-1.097585678100586,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.027671123,-6.6190643310546875,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,2.086016,-1.7612440586090088,False,,,,,,,,,,,,,,,
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.0440869,-0.618394136428833,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,3.1284785,-1.6510751247406006,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.06692888,-3.2884507179260254,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,4.012977,-1.8319692611694336,False,,,,,,,,,,,,,,,
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,21.125177,0.7370360493659973,True,0.10260672805075409,0.02190607789546443,0.36490669306540896,9.996812319228312,9.53661972999573,0.8807198405265808,0.04294338449835777,0.2642662076956353,0.0,0.0,0.38834882583471486,2.7148029953693293,0.13576229697029138,0.6411902512124029,2.1499321620144682
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.86552215,-0.6274173259735107,False,,,,,,,,,,,,,,,
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.3079495,-0.5146256685256958,False,,,,,,,,,,,,,,,
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.31162494,-3.759687900543213,False,,,,,,,,,,,,,,,
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,2.521701,-0.9912271499633789,False,,,,,,,,,,,,,,,
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.3584394,-1.5575366020202637,False,,,,,,,,,,,,,,,
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.50696987,-1.008876085281372,False,,,,,,,,,,,,,,,
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,1.1034261,-0.8713849782943726,False,,,,,,,,,,,,,,,
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,4.3517594,-3.9452285766601562,False,,,,,,,,,,,,,,,
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,7.8646865,-4.728170871734619,False,,,,,,,,,,,,,,,
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.99220544,-0.5014601945877075,False,,,,,,,,,,,,,,,
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,4.128279,-0.7626744508743286,False,,,,,,,,,,,,,,,
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.28679305,-1.3066010475158691,False,,,,,,,,,,,,,,,
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,2.0740955,-0.6271665096282959,False,,,,,,,,,,,,,,,
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.7780803,-0.18426477909088135,False,,,,,,,,,,,,,,,
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.8828999,-0.7490662336349487,False,,,,,,,,,,,,,,,
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,3.692567,-1.5077393054962158,False,,,,,,,,,,,,,,,
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,9.441497,-2.7968735694885254,False,,,,,,,,,,,,,,,
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.2791989,-1.638411045074463,False,,,,,,,,,,,,,,,
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.024443293,0.06121271848678589,True,0.8701034879835918,9.640030054558212,0.2635225176364594,16.186376398130523,0.04910124114197162,0.031134432181715965,0.8408690690994263,0.25777119883692357,0.0,0.0,0.4643916996264663,0.0822253152820731,2.8603158911754347,0.729265053117521,2.5756818768240684
