gene_name,Ctrl_vs_Chd7,Chd7_vs_Ctrl
Fancm,0.999,0.999
Msh2,0.999,0.999
Ggnbp2,0.999,0.999
Gm45514,,
Cyth1,0.999,0.999
Gm11354,,
Gm11895,,
Gm44128,,
Gm18000,,
Icosl,0.677,0.677
Olfr572,,
Rfc4,0.999,0.999
Gm5715,,
Gm44648,,
Gm43224,,
Zfp781,0.999,0.999
9930111J21Rik2,0.999,0.999
C6,0.999,0.999
Gm29634,,
Gm16307,,
Kcnk4,0.999,0.999
Vmn1r180,0.999,0.999
Vmn1r-ps92,,
Rps6ka5,0.999,0.999
Spata31d1b,,
Cntnap1,0.999,0.999
Hnrnpa2b1,0.999,0.999
Slc25a3,0.999,0.999
Nudt6,0.999,0.999
Gm20074,,
Olfr1329,,
Mpv17l,0.999,0.999
Cma2,,
Obox4-ps37,,
Rttn,0.999,0.999
Akap13,0.999,0.999
Trim12a,0.999,0.999
Gpx4-ps1,,
Igkv1-108,,
Cntd1,0.999,0.999
Gm7244,,
Cetn4,0.999,0.999
Prkar1a,0.999,0.999
Vsig10l,0.966,0.966
Thrb,0.999,0.999
Gm44251,,
Krt75,,
Gm28439,,
Gpx1,0.999,0.999
Pcna-ps2,,
Atxn1,0.999,0.999
Akr1b3,0.999,0.999
Rims1,,
Serf2,0.999,0.999
Gm45612,,
Hes7,0.999,0.999
Tceal6,,
Gm21541,,
B4galt6,0.999,0.999
Gm47335,,
Romo1,0.999,0.999
1700028B04Rik,0.999,0.999
Gm35876,,
Gm5587,,
Gabre,,
Fkbp14,,
Ovol2,0.999,0.999
Ifitm7,0.999,0.999
Gm45315,,
Btnl10,0.999,0.999
Vmn1r39,0.999,0.999
Eya3,0.999,0.999
Arrb2,0.999,0.999
Podxl,,
Fgfr4,,
Sp6,,
Gm2420,,
Gm9006,0.999,0.999
Alg3,0.999,0.999
Olfr644,,
Soat1,0.999,0.999
Rad51d,0.999,0.999
Slc38a9,0.999,0.999
Gm28429,,
Gm45770,,
Amer2,,
Gm13122,,
Abca15,,
Gm45135,,
Olfr339,,
Gm2611,,
Gm35595,,
Ecd,0.999,0.999
Gm9974,0.999,0.999
Rpsa-ps3,,
Gm42652,,
Gm46427,,
Shld1,0.999,0.999
Gm3739,,
Pink1,0.999,0.999
Rps16-ps3,,
Gm7951,,
Tmem45a2,,
Vmn1r51,,
Pex1,0.999,0.999
Gpr84,,
2310050C09Rik,,
Glul,0.999,0.999
Gm13932,,
Gm5449,,
Ankrd53,,
Polr3d,0.999,0.999
Gm28934,,
Rmdn1,0.999,0.999
Boll,0.999,0.999
Hdgf,0.999,0.999
Gm8524,,
Defa-ps4,,
Isg20l2,0.999,0.999
Gm16327,,
Map7d3,0.999,0.999
Prr36,,
Gm18147,,
Gm20793,,
Gm6025,,
Klf2,0.999,0.999
Gm5873,,
Gm14786,,
Vmn2r-ps114,,
Gm12192,,
Gm30341,,
Gm6518,,
4933428G20Rik,,
Gm19239,,
1700024G13Rik,,
Vegfa,,
Ccl22,,
1700086L19Rik,,
Zfp69,0.999,0.999
Gm11870,0.999,0.999
A930035D04Rik,,
Ap3d1,0.999,0.999
Gm9700,,
Olfr700,,
Gm2424,,
Mov10,0.335,0.335
Gm8043,,
Wdr83os,0.999,0.999
Tomm7,0.999,0.999
Fcgr2b,0.999,0.999
1700080O16Rik,,
Alkbh6,0.999,0.999
Gm6211,0.999,0.999
Gm46498,,
Slc36a3,,
Notch2,0.999,0.999
Art3,0.999,0.999
Mat2b,0.999,0.999
Gm19243,,
Gm28608,,
Zfp91,0.999,0.999
Hibch,0.999,0.999
Gm11660,,
Srsf2,0.999,0.999
Gm3605,,
Pik3c3,0.999,0.999
Thoc2,0.999,0.999
Gm48126,,
Trav7-6,,
Gm44589,,
Ces2g,0.999,0.999
Plppr5,,
H2-T-ps,0.999,0.999
Kcnj3,,
Gipr,,
Txndc17,0.999,0.999
Gm29159,,
Dusp19,0.999,0.999
Zfp419,,
Olfr756-ps1,,
Ap1s3,0.975,0.975
Gm11259,,
Nploc4,0.999,0.999
Lzic,0.999,0.999
Gm17954,,
Fxyd1,,
Olfr906,0.999,0.999
Slc17a7,0.999,0.999
Mcl1,0.911,0.911
Cables2,0.999,0.999
Aco1,0.999,0.999
Jakmip1,0.999,0.999
Gm1043,0.999,0.999
Xlr,0.999,0.999
Isca2,0.999,0.999
Rdh7,,
Cd209g,,
Myoz1,,
Gm14200,,
Drc3,0.999,0.999
Slc2a10,,
Gm38017,,
Plekhs1,0.999,0.999
Gm14648,,
Rhoc,0.999,0.999
Polr2e,0.999,0.999
Mgrn1,0.999,0.999
Olfr367-ps,,
4931406B18Rik,0.999,0.999
Gm13679,,
Gm43922,,
Gm43424,,
Gm13046,,
H2-Ob,0.874,0.874
Krt26,0.999,0.999
AC165294.3,,
Gm43704,,
Klk1b15-ps,,
Ube2e1,0.999,0.999
Gm2389,,
Gm29623,,
Gm8428,,
Gm11109,,
Gm16218,,
Hnrnpul1,0.999,0.999
Ikzf3,0.999,0.999
Olfr937,,
2310039H08Rik,0.999,0.999
Nsmaf,0.999,0.999
Olfr350,,
Gm49918,,
Il27,,
Krtap21-1,,
Thap11,0.999,0.999
Gm13735,,
Dsg3,,
2210409E12Rik,,
Mapkap1,0.999,0.999
Gm8762,,
Gm48179,,
Brd3os,,
Gm10075,,
Cry2,0.999,0.999
Scaper,0.999,0.999
Cox6c,0.999,0.999
Gm8784,,
Mep1a,,
Wdr54,0.999,0.999
Nelfa,0.999,0.999
Rgs3,0.999,0.999
Klk1b16,,
Smox,0.999,0.999
Gm48577,,
Rtl5,0.999,0.999
Kcng2,,
Gm8128,,
Vmn1r49,,
Olfr1256,0.979,0.979
BC064078,0.999,0.999
Gm18558,,
Natd1,0.999,0.999
Gm13144,,
AC169509.1,0.999,0.999
Ubiad1,0.999,0.999
Gm37450,,
Trav13n-3,,
Gm28329,,
Gab1,,
Gm8871,,
AC140413.3,,
Rnf180,,
Nck1,0.999,0.999
Speer6-ps1,0.999,0.999
Ankrd10,0.999,0.999
Gm44281,,
Olfr1564,0.999,0.999
Gm5035,,
Gm49812,,
Gm7102,0.999,0.999
Olfr1031,,
Gm44221,,
Galnt10,0.999,0.999
Gm37732,,
Sfn,0.999,0.999
Tle2,0.999,0.999
Cyp3a61-ps1,,
Ammecr1,0.999,0.999
Npm2,,
Gm48088,,
Gm16103,,
Gm47563,,
Tmem81,0.999,0.999
Spc24,0.999,0.999
Myorg,0.999,0.999
Olfr740,0.999,0.999
Gm48915,,
Imp4,0.999,0.999
Rnase10,,
Strada,0.999,0.999
Ap3s1-ps1,,
Pgk1-rs7,,
Gm29484,,
Ism2,,
Gm18860,,
Gm6522,,
Rtl4,,
Gm5674,,
Gm4133,,
Olfr1351,,
Dnajc8,0.999,0.999
Gm50090,,
Gm5228,,
Cand2,0.999,0.999
Cby1,0.999,0.999
Fga,,
Ighv8-16,,
Stk17b,0.999,0.999
Gm7647,,
Klhdc8a,,
Thoc1,0.999,0.999
Oaz2,0.999,0.999
E230015B07Rik,,
Rlbp1,,
Polr2f,0.999,0.999
Gm5724,,
Zfp345,0.999,0.999
Nthl1,0.999,0.999
Slc25a41,,
Gm7678,,
Gpc4,,
Phldb3,0.999,0.999
Kyat3,0.999,0.999
Enkd1,0.999,0.999
Yif1b,0.999,0.999
Gm14409,,
Krtap22-2,,
Commd6,0.999,0.999
Tvp23a,,
Gm37597,,
Gm29730,,
Gm3699,,
Gm8371,,
Fam186b,,
Pgam1-ps2,0.999,0.999
Nhlrc3,0.999,0.999
Plod1,0.999,0.999
Socs3,0.999,0.999
Gm48035,0.999,0.999
Ndufa5,0.999,0.999
Ttc9c,0.999,0.999
Gm6263,,
Slc35b4,0.999,0.999
Rpl7a,0.999,0.999
Gm49392,0.999,0.999
Gm7731,,
Olfr1502,,
Gm19093,,
Lrig3,,
Gm21293,,
Angptl2,,
Umpk-ps,,
Kirrel,,
Gm12133,,
Nop10,0.999,0.999
Igkj2,,
