gene_name,Ctrl_vs_Chd7,Chd7_vs_Ctrl
Fancm,-0.208,0.208
Msh2,-0.513,0.513
Ggnbp2,-0.243,0.243
Gm45514,,
Cyth1,-0.05,0.05
Gm11354,-0.096,0.096
Gm11895,-0.096,0.096
Gm44128,,
Gm18000,-0.096,0.096
Icosl,-2.434,2.434
Olfr572,,
Rfc4,-0.734,0.734
Gm5715,,
Gm44648,,
Gm43224,,
Zfp781,0.508,-0.508
9930111J21Rik2,0.541,-0.541
C6,0.634,-0.634
Gm29634,,
Gm16307,,
Kcnk4,0.245,-0.245
Vmn1r180,0.654,-0.654
Vmn1r-ps92,,
Rps6ka5,-1.288,1.288
Spata31d1b,,
Cntnap1,-0.775,0.775
Hnrnpa2b1,0.369,-0.369
Slc25a3,0.836,-0.836
Nudt6,1.322,-1.322
Gm20074,,
Olfr1329,,
Mpv17l,0.497,-0.497
Cma2,-0.232,0.232
Obox4-ps37,,
Rttn,-0.606,0.606
Akap13,0.579,-0.579
Trim12a,1.102,-1.102
Gpx4-ps1,-0.361,0.361
Igkv1-108,,
Cntd1,-1.624,1.624
Gm7244,-0.096,0.096
Cetn4,-0.513,0.513
Prkar1a,0.85,-0.85
Vsig10l,1.907,-1.907
Thrb,0.069,-0.069
Gm44251,-1.57,1.57
Krt75,-0.096,0.096
Gm28439,,
Gpx1,0.297,-0.297
Pcna-ps2,0.461,-0.461
Atxn1,-0.1,0.1
Akr1b3,1.198,-1.198
Rims1,0.33,-0.33
Serf2,0.874,-0.874
Gm45612,0.181,-0.181
Hes7,-1.785,1.785
Tceal6,,
Gm21541,,
B4galt6,-1.581,1.581
Gm47335,,
Romo1,0.677,-0.677
1700028B04Rik,0.044,-0.044
Gm35876,0.208,-0.208
Gm5587,1.004,-1.004
Gabre,2.414,-2.414
Fkbp14,,
Ovol2,-0.466,0.466
Ifitm7,-0.589,0.589
Gm45315,0.971,-0.971
Btnl10,0.605,-0.605
Vmn1r39,0.094,-0.094
Eya3,-0.597,0.597
Arrb2,0.242,-0.242
Podxl,0.449,-0.449
Fgfr4,-0.096,0.096
Sp6,0.064,-0.064
Gm2420,0.31,-0.31
Gm9006,0.533,-0.533
Alg3,-0.05,0.05
Olfr644,,
Soat1,1.798,-1.798
Rad51d,0.71,-0.71
Slc38a9,1.077,-1.077
Gm28429,,
Gm45770,,
Amer2,0.947,-0.947
Gm13122,,
Abca15,,
Gm45135,,
Olfr339,-0.285,0.285
Gm2611,,
Gm35595,,
Ecd,0.105,-0.105
Gm9974,-0.275,0.275
Rpsa-ps3,0.671,-0.671
Gm42652,,
Gm46427,-0.096,0.096
Shld1,-0.525,0.525
Gm3739,-1.213,1.213
Pink1,0.989,-0.989
Rps16-ps3,,
Gm7951,,
Tmem45a2,-0.395,0.395
Vmn1r51,0.819,-0.819
Pex1,-0.109,0.109
Gpr84,,
2310050C09Rik,,
Glul,0.797,-0.797
Gm13932,-0.403,0.403
Gm5449,-0.096,0.096
Ankrd53,,
Polr3d,-0.256,0.256
Gm28934,,
Rmdn1,1.005,-1.005
Boll,0.365,-0.365
Hdgf,-0.663,0.663
Gm8524,0.419,-0.419
Defa-ps4,,
Isg20l2,0.354,-0.354
Gm16327,,
Map7d3,-0.399,0.399
Prr36,0.844,-0.844
Gm18147,-0.102,0.102
Gm20793,,
Gm6025,,
Klf2,1.505,-1.505
Gm5873,-0.158,0.158
Gm14786,,
Vmn2r-ps114,,
Gm12192,-0.096,0.096
Gm30341,,
Gm6518,,
4933428G20Rik,,
Gm19239,-0.642,0.642
1700024G13Rik,,
Vegfa,0.998,-0.998
Ccl22,-0.593,0.593
1700086L19Rik,,
Zfp69,-0.445,0.445
Gm11870,-0.687,0.687
A930035D04Rik,-0.339,0.339
Ap3d1,0.031,-0.031
Gm9700,,
Olfr700,,
Gm2424,,
Mov10,-2.916,2.916
Gm8043,,
Wdr83os,-0.352,0.352
Tomm7,-0.083,0.083
Fcgr2b,0.3,-0.3
1700080O16Rik,,
Alkbh6,0.068,-0.068
Gm6211,0.682,-0.682
Gm46498,,
Slc36a3,-1.427,1.427
Notch2,0.919,-0.919
Art3,1.094,-1.094
Mat2b,1.148,-1.148
Gm19243,-0.096,0.096
Gm28608,,
Zfp91,1.459,-1.459
Hibch,0.502,-0.502
Gm11660,0.312,-0.312
Srsf2,-0.627,0.627
Gm3605,,
Pik3c3,0.932,-0.932
Thoc2,-0.19,0.19
Gm48126,-0.096,0.096
Trav7-6,-0.149,0.149
Gm44589,0.178,-0.178
Ces2g,0.098,-0.098
Plppr5,,
H2-T-ps,0.049,-0.049
Kcnj3,-0.923,0.923
Gipr,,
Txndc17,1.615,-1.615
Gm29159,-0.096,0.096
Dusp19,1.523,-1.523
Zfp419,,
Olfr756-ps1,,
Ap1s3,-1.865,1.865
Gm11259,,
Nploc4,-0.985,0.985
Lzic,0.036,-0.036
Gm17954,,
Fxyd1,0.428,-0.428
Olfr906,-0.897,0.897
Slc17a7,1.21,-1.21
Mcl1,1.991,-1.991
Cables2,-0.59,0.59
Aco1,-0.589,0.589
Jakmip1,0.311,-0.311
Gm1043,0.824,-0.824
Xlr,0.112,-0.112
Isca2,1.184,-1.184
Rdh7,,
Cd209g,,
Myoz1,0.312,-0.312
Gm14200,,
Drc3,-0.481,0.481
Slc2a10,-0.021,0.021
Gm38017,,
Plekhs1,0.899,-0.899
Gm14648,-0.01,0.01
Rhoc,1.605,-1.605
Polr2e,1.354,-1.354
Mgrn1,1.485,-1.485
Olfr367-ps,,
4931406B18Rik,-0.877,0.877
Gm13679,-0.395,0.395
Gm43922,,
Gm43424,,
Gm13046,,
H2-Ob,-2.07,2.07
Krt26,-0.137,0.137
AC165294.3,,
Gm43704,0.312,-0.312
Klk1b15-ps,,
Ube2e1,-0.049,0.049
Gm2389,,
Gm29623,,
Gm8428,-0.392,0.392
Gm11109,,
Gm16218,0.049,-0.049
Hnrnpul1,0.487,-0.487
Ikzf3,-1.228,1.228
Olfr937,,
2310039H08Rik,0.983,-0.983
Nsmaf,0.085,-0.085
Olfr350,,
Gm49918,,
Il27,0.438,-0.438
Krtap21-1,,
Thap11,0.873,-0.873
Gm13735,,
Dsg3,0.526,-0.526
2210409E12Rik,,
Mapkap1,-0.194,0.194
Gm8762,-0.049,0.049
Gm48179,,
Brd3os,0.176,-0.176
Gm10075,0.54,-0.54
Cry2,1.629,-1.629
Scaper,0.47,-0.47
Cox6c,-0.137,0.137
Gm8784,-0.191,0.191
Mep1a,,
Wdr54,-0.887,0.887
Nelfa,0.116,-0.116
Rgs3,-0.278,0.278
Klk1b16,,
Smox,1.192,-1.192
Gm48577,,
Rtl5,1.804,-1.804
Kcng2,0.04,-0.04
Gm8128,,
Vmn1r49,0.448,-0.448
Olfr1256,-1.856,1.856
BC064078,-0.214,0.214
Gm18558,-0.919,0.919
Natd1,0.069,-0.069
Gm13144,,
AC169509.1,-1.76,1.76
Ubiad1,-0.766,0.766
Gm37450,,
Trav13n-3,,
Gm28329,,
Gab1,0.044,-0.044
Gm8871,-1.999,1.999
AC140413.3,,
Rnf180,0.752,-0.752
Nck1,-0.818,0.818
Speer6-ps1,-0.828,0.828
Ankrd10,0.387,-0.387
Gm44281,,
Olfr1564,0.757,-0.757
Gm5035,,
Gm49812,,
Gm7102,-0.176,0.176
Olfr1031,0.437,-0.437
Gm44221,,
