gene_name,Ctrl_vs_Chd7,Chd7_vs_Ctrl
Fancm,0.835,0.835
Msh2,0.608,0.608
Ggnbp2,0.808,0.808
Gm45514,,
Cyth1,0.96,0.96
Gm11354,0.924,0.924
Gm11895,0.924,0.924
Gm44128,,
Gm18000,0.924,0.924
Icosl,0.015,0.015
Olfr572,,
Rfc4,0.463,0.463
Gm5715,,
Gm44648,,
Gm43224,,
Zfp781,0.612,0.612
9930111J21Rik2,0.588,0.588
C6,0.526,0.526
Gm29634,,
Gm16307,,
Kcnk4,0.807,0.807
Vmn1r180,0.513,0.513
Vmn1r-ps92,,
Rps6ka5,0.198,0.198
Spata31d1b,,
Cntnap1,0.438,0.438
Hnrnpa2b1,0.712,0.712
Slc25a3,0.403,0.403
Nudt6,0.186,0.186
Gm20074,,
Olfr1329,,
Mpv17l,0.619,0.619
Cma2,0.817,0.817
Obox4-ps37,,
Rttn,0.545,0.545
Akap13,0.563,0.563
Trim12a,0.271,0.271
Gpx4-ps1,0.718,0.718
Igkv1-108,,
Cntd1,0.104,0.104
Gm7244,0.924,0.924
Cetn4,0.608,0.608
Prkar1a,0.395,0.395
Vsig10l,0.057,0.057
Thrb,0.945,0.945
Gm44251,0.116,0.116
Krt75,0.924,0.924
Gm28439,,
Gpx1,0.767,0.767
Pcna-ps2,0.645,0.645
Atxn1,0.92,0.92
Akr1b3,0.231,0.231
Rims1,0.742,0.742
Serf2,0.382,0.382
Gm45612,0.857,0.857
Hes7,0.074,0.074
Tceal6,,
Gm21541,,
B4galt6,0.114,0.114
Gm47335,,
Romo1,0.498,0.498
1700028B04Rik,0.965,0.965
Gm35876,0.835,0.835
Gm5587,0.315,0.315
Gabre,0.016,0.016
Fkbp14,,
Ovol2,0.641,0.641
Ifitm7,0.556,0.556
Gm45315,0.331,0.331
Btnl10,0.545,0.545
Vmn1r39,0.925,0.925
Eya3,0.55,0.55
Arrb2,0.809,0.809
Podxl,0.653,0.653
Fgfr4,0.924,0.924
Sp6,0.949,0.949
Gm2420,0.757,0.757
Gm9006,0.594,0.594
Alg3,0.96,0.96
Olfr644,,
Soat1,0.072,0.072
Rad51d,0.478,0.478
Slc38a9,0.282,0.282
Gm28429,,
Gm45770,,
Amer2,0.343,0.343
Gm13122,,
Abca15,,
Gm45135,,
Olfr339,0.776,0.776
Gm2611,,
Gm35595,,
Ecd,0.917,0.917
Gm9974,0.783,0.783
Rpsa-ps3,0.502,0.502
Gm42652,,
Gm46427,0.924,0.924
Shld1,0.6,0.6
Gm3739,0.225,0.225
Pink1,0.323,0.323
Rps16-ps3,,
Gm7951,,
Tmem45a2,0.693,0.693
Vmn1r51,0.413,0.413
Pex1,0.913,0.913
Gpr84,,
2310050C09Rik,,
Glul,0.425,0.425
Gm13932,0.687,0.687
Gm5449,0.924,0.924
Ankrd53,,
Polr3d,0.798,0.798
Gm28934,,
Rmdn1,0.315,0.315
Boll,0.715,0.715
Hdgf,0.507,0.507
Gm8524,0.675,0.675
Defa-ps4,,
Isg20l2,0.723,0.723
Gm16327,,
Map7d3,0.69,0.69
Prr36,0.398,0.398
Gm18147,0.919,0.919
Gm20793,,
Gm6025,,
Klf2,0.132,0.132
Gm5873,0.874,0.874
Gm14786,,
Vmn2r-ps114,,
Gm12192,0.924,0.924
Gm30341,,
Gm6518,,
4933428G20Rik,,
Gm19239,0.521,0.521
1700024G13Rik,,
Vegfa,0.318,0.318
Ccl22,0.553,0.553
1700086L19Rik,,
Zfp69,0.656,0.656
Gm11870,0.492,0.492
A930035D04Rik,0.735,0.735
Ap3d1,0.975,0.975
Gm9700,,
Olfr700,,
Gm2424,,
Mov10,0.004,0.004
Gm8043,,
Wdr83os,0.725,0.725
Tomm7,0.934,0.934
Fcgr2b,0.764,0.764
1700080O16Rik,,
Alkbh6,0.946,0.946
Gm6211,0.495,0.495
Gm46498,,
Slc36a3,0.154,0.154
Notch2,0.358,0.358
Art3,0.274,0.274
Mat2b,0.251,0.251
Gm19243,0.924,0.924
Gm28608,,
Zfp91,0.145,0.145
Hibch,0.616,0.616
Gm11660,0.755,0.755
Srsf2,0.531,0.531
Gm3605,,
Pik3c3,0.352,0.352
Thoc2,0.849,0.849
Gm48126,0.924,0.924
Trav7-6,0.882,0.882
Gm44589,0.859,0.859
Ces2g,0.922,0.922
Plppr5,,
H2-T-ps,0.961,0.961
Kcnj3,0.356,0.356
Gipr,,
Txndc17,0.106,0.106
Gm29159,0.924,0.924
Dusp19,0.128,0.128
Zfp419,,
Olfr756-ps1,,
Ap1s3,0.062,0.062
Gm11259,,
Nploc4,0.325,0.325
Lzic,0.971,0.971
Gm17954,,
Fxyd1,0.668,0.668
Olfr906,0.37,0.37
Slc17a7,0.226,0.226
Mcl1,0.046,0.046
Cables2,0.555,0.555
Aco1,0.556,0.556
Jakmip1,0.756,0.756
Gm1043,0.41,0.41
Xlr,0.911,0.911
Isca2,0.236,0.236
Rdh7,,
Cd209g,,
Myoz1,0.755,0.755
Gm14200,,
Drc3,0.631,0.631
Slc2a10,0.983,0.983
Gm38017,,
Plekhs1,0.368,0.368
Gm14648,0.992,0.992
Rhoc,0.109,0.109
Polr2e,0.176,0.176
Mgrn1,0.137,0.137
Olfr367-ps,,
4931406B18Rik,0.381,0.381
Gm13679,0.693,0.693
Gm43922,,
Gm43424,,
Gm13046,,
H2-Ob,0.038,0.038
Krt26,0.891,0.891
AC165294.3,,
Gm43704,0.755,0.755
Klk1b15-ps,,
Ube2e1,0.961,0.961
Gm2389,,
Gm29623,,
Gm8428,0.695,0.695
Gm11109,,
Gm16218,0.961,0.961
Hnrnpul1,0.626,0.626
Ikzf3,0.219,0.219
Olfr937,,
2310039H08Rik,0.326,0.326
Nsmaf,0.932,0.932
Olfr350,,
Gm49918,,
Il27,0.662,0.662
Krtap21-1,,
Thap11,0.383,0.383
Gm13735,,
Dsg3,0.599,0.599
2210409E12Rik,,
Mapkap1,0.847,0.847
Gm8762,0.961,0.961
Gm48179,,
Brd3os,0.86,0.86
Gm10075,0.589,0.589
Cry2,0.103,0.103
Scaper,0.639,0.639
Cox6c,0.891,0.891
Gm8784,0.848,0.848
Mep1a,,
Wdr54,0.375,0.375
Nelfa,0.908,0.908
Rgs3,0.781,0.781
Klk1b16,,
Smox,0.233,0.233
Gm48577,,
Rtl5,0.071,0.071
Kcng2,0.968,0.968
Gm8128,,
Vmn1r49,0.654,0.654
Olfr1256,0.063,0.063
BC064078,0.831,0.831
Gm18558,0.358,0.358
Natd1,0.945,0.945
Gm13144,,
AC169509.1,0.078,0.078
Ubiad1,0.443,0.443
Gm37450,,
Trav13n-3,,
Gm28329,,
Gab1,0.965,0.965
Gm8871,0.046,0.046
AC140413.3,,
Rnf180,0.452,0.452
Nck1,0.413,0.413
Speer6-ps1,0.408,0.408
Ankrd10,0.699,0.699
Gm44281,,
Olfr1564,0.449,0.449
Gm5035,,
Gm49812,,
Gm7102,0.86,0.86
Olfr1031,0.662,0.662
Gm44221,,
Galnt10,0.918,0.918
Gm37732,,
Sfn,0.841,0.841
Tle2,0.627,0.627
Cyp3a61-ps1,,
Ammecr1,0.493,0.493
Npm2,0.13,0.13
Gm48088,0.812,0.812
Gm16103,,
Gm47563,,
Tmem81,0.839,0.839
Spc24,0.676,0.676
Myorg,0.615,0.615
Olfr740,0.504,0.504
Gm48915,,
Imp4,0.657,0.657
Rnase10,0.805,0.805
Strada,0.775,0.775
Ap3s1-ps1,,
