gene_name,Ctrl_vs_Chd7,Chd7_vs_Ctrl
Fancm,-0.038,0.038
Msh2,-0.068,0.068
Ggnbp2,-0.022,0.022
Gm45514,,
Cyth1,-0.006,0.006
Gm11354,-0.338,0.338
Gm11895,-0.338,0.338
Gm44128,,
Gm18000,-0.338,0.338
Icosl,-0.541,0.541
Olfr572,,
Rfc4,-0.152,0.152
Gm5715,,
Gm44648,,
Gm43224,,
Zfp781,0.434,-0.434
9930111J21Rik2,0.061,-0.061
C6,0.503,-0.503
Gm29634,,
Gm16307,,
Kcnk4,0.129,-0.129
Vmn1r180,0.152,-0.152
Vmn1r-ps92,,
Rps6ka5,-0.163,0.163
Spata31d1b,,
Cntnap1,-0.355,0.355
Hnrnpa2b1,0.035,-0.035
Slc25a3,0.075,-0.075
Nudt6,0.275,-0.275
Gm20074,,
Olfr1329,,
Mpv17l,0.11,-0.11
Cma2,-0.819,0.819
Obox4-ps37,,
Rttn,-0.086,0.086
Akap13,0.076,-0.076
Trim12a,0.165,-0.165
Gpx4-ps1,-1.275,1.275
Igkv1-108,,
Cntd1,-0.347,0.347
Gm7244,-0.338,0.338
Cetn4,-0.167,0.167
Prkar1a,0.099,-0.099
Vsig10l,0.337,-0.337
Thrb,0.036,-0.036
Gm44251,-2.979,2.979
Krt75,-0.338,0.338
Gm28439,,
Gpx1,0.034,-0.034
Pcna-ps2,0.519,-0.519
Atxn1,-0.014,0.014
Akr1b3,0.118,-0.118
Rims1,0.586,-0.586
Serf2,0.081,-0.081
Gm45612,0.639,-0.639
Hes7,-0.431,0.431
Tceal6,,
Gm21541,,
B4galt6,-0.391,0.391
Gm47335,,
Romo1,0.118,-0.118
1700028B04Rik,0.011,-0.011
Gm35876,0.359,-0.359
Gm5587,3.037,-3.037
Gabre,1.641,-1.641
Fkbp14,,
Ovol2,-0.211,0.211
Ifitm7,-0.393,0.393
Gm45315,3.298,-3.298
Btnl10,0.229,-0.229
Vmn1r39,0.04,-0.04
Eya3,-0.062,0.062
Arrb2,0.02,-0.02
Podxl,0.294,-0.294
Fgfr4,-0.338,0.338
Sp6,0.053,-0.053
Gm2420,0.443,-0.443
Gm9006,0.249,-0.249
Alg3,-0.01,0.01
Olfr644,,
Soat1,0.196,-0.196
Rad51d,0.089,-0.089
Slc38a9,0.176,-0.176
Gm28429,,
Gm45770,,
Amer2,0.662,-0.662
Gm13122,,
Abca15,,
Gm45135,,
Olfr339,-0.371,0.371
Gm2611,,
Gm35595,,
Ecd,0.011,-0.011
Gm9974,-0.106,0.106
Rpsa-ps3,0.894,-0.894
Gm42652,,
Gm46427,-0.338,0.338
Shld1,-0.072,0.072
Gm3739,-2.324,2.324
Pink1,0.1,-0.1
Rps16-ps3,,
Gm7951,,
Tmem45a2,-1.058,1.058
Vmn1r51,1.536,-1.536
Pex1,-0.018,0.018
Gpr84,,
2310050C09Rik,,
Glul,0.081,-0.081
Gm13932,-1.062,1.062
Gm5449,-0.338,0.338
Ankrd53,,
Polr3d,-0.047,0.047
Gm28934,,
Rmdn1,0.174,-0.174
Boll,0.189,-0.189
Hdgf,-0.097,0.097
Gm8524,1.463,-1.463
Defa-ps4,,
Isg20l2,0.033,-0.033
Gm16327,,
Map7d3,-0.211,0.211
Prr36,0.498,-0.498
Gm18147,-0.152,0.152
Gm20793,,
Gm6025,,
Klf2,0.121,-0.121
Gm5873,-0.399,0.399
Gm14786,,
Vmn2r-ps114,,
Gm12192,-0.338,0.338
Gm30341,,
Gm6518,,
4933428G20Rik,,
Gm19239,-1.312,1.312
1700024G13Rik,,
Vegfa,0.718,-0.718
Ccl22,-1.005,1.005
1700086L19Rik,,
Zfp69,-0.074,0.074
Gm11870,-0.174,0.174
A930035D04Rik,-0.4,0.4
Ap3d1,0.003,-0.003
Gm9700,,
Olfr700,,
Gm2424,,
Mov10,-0.344,0.344
Gm8043,,
Wdr83os,-0.038,0.038
Tomm7,-0.008,0.008
Fcgr2b,0.075,-0.075
1700080O16Rik,,
Alkbh6,0.011,-0.011
Gm6211,0.12,-0.12
Gm46498,,
Slc36a3,-0.959,0.959
Notch2,0.078,-0.078
Art3,0.448,-0.448
Mat2b,0.135,-0.135
Gm19243,-0.338,0.338
Gm28608,,
Zfp91,0.142,-0.142
Hibch,0.066,-0.066
Gm11660,1.104,-1.104
Srsf2,-0.061,0.061
Gm3605,,
Pik3c3,0.077,-0.077
Thoc2,-0.035,0.035
Gm48126,-0.338,0.338
Trav7-6,-0.142,0.142
Gm44589,0.63,-0.63
Ces2g,0.049,-0.049
Plppr5,,
H2-T-ps,0.006,-0.006
Kcnj3,-0.918,0.918
Gipr,,
Txndc17,0.25,-0.25
Gm29159,-0.338,0.338
Dusp19,0.217,-0.217
Zfp419,,
Olfr756-ps1,,
Ap1s3,-0.21,0.21
Gm11259,,
Nploc4,-0.105,0.105
Lzic,0.006,-0.006
Gm17954,,
Fxyd1,0.668,-0.668
Olfr906,-0.278,0.278
Slc17a7,0.576,-0.576
Mcl1,0.232,-0.232
Cables2,-0.069,0.069
Aco1,-0.065,0.065
Jakmip1,0.039,-0.039
Gm1043,0.206,-0.206
Xlr,0.058,-0.058
Isca2,0.146,-0.146
Rdh7,,
Cd209g,,
Myoz1,1.104,-1.104
Gm14200,,
Drc3,-0.121,0.121
Slc2a10,-0.033,0.033
Gm38017,,
Plekhs1,0.402,-0.402
Gm14648,-0.032,0.032
Rhoc,0.372,-0.372
Polr2e,0.144,-0.144
Mgrn1,0.259,-0.259
Olfr367-ps,,
4931406B18Rik,-0.349,0.349
Gm13679,-0.7,0.7
Gm43922,,
Gm43424,,
Gm13046,,
H2-Ob,-0.724,0.724
Krt26,-0.072,0.072
AC165294.3,,
Gm43704,1.104,-1.104
Klk1b15-ps,,
Ube2e1,-0.007,0.007
Gm2389,,
Gm29623,,
Gm8428,-1.382,1.382
Gm11109,,
Gm16218,0.153,-0.153
Hnrnpul1,0.052,-0.052
Ikzf3,-0.117,0.117
Olfr937,,
2310039H08Rik,0.201,-0.201
Nsmaf,0.008,-0.008
Olfr350,,
Gm49918,,
Il27,1.069,-1.069
Krtap21-1,,
Thap11,0.09,-0.09
Gm13735,,
Dsg3,1.553,-1.553
2210409E12Rik,,
Mapkap1,-0.019,0.019
Gm8762,-0.107,0.107
Gm48179,,
Brd3os,0.624,-0.624
Gm10075,0.73,-0.73
Cry2,0.315,-0.315
Scaper,0.062,-0.062
Cox6c,-0.012,0.012
Gm8784,-0.319,0.319
Mep1a,,
Wdr54,-0.464,0.464
Nelfa,0.016,-0.016
Rgs3,-0.029,0.029
Klk1b16,,
Smox,0.207,-0.207
Gm48577,,
Rtl5,0.487,-0.487
Kcng2,0.142,-0.142
Gm8128,,
Vmn1r49,0.244,-0.244
Olfr1256,-0.448,0.448
BC064078,-0.043,0.043
Gm18558,-1.617,1.617
Natd1,0.009,-0.009
Gm13144,,
AC169509.1,-0.23,0.23
Ubiad1,-0.131,0.131
Gm37450,,
Trav13n-3,,
Gm28329,,
Gab1,0.101,-0.101
Gm8871,-4.192,4.192
AC140413.3,,
Rnf180,1.674,-1.674
Nck1,-0.098,0.098
Speer6-ps1,-0.277,0.277
Ankrd10,0.034,-0.034
Gm44281,,
Olfr1564,0.291,-0.291
Gm5035,,
Gm49812,,
Gm7102,-0.038,0.038
Olfr1031,1.029,-1.029
Gm44221,,
Galnt10,0.014,-0.014
Gm37732,,
Sfn,-0.021,0.021
Tle2,0.23,-0.23
Cyp3a61-ps1,,
Ammecr1,0.084,-0.084
Npm2,1.045,-1.045
Gm48088,0.417,-0.417
Gm16103,,
Gm47563,,
Tmem81,0.027,-0.027
Spc24,-0.075,0.075
Myorg,-0.171,0.171
Olfr740,-0.211,0.211
Gm48915,,
Imp4,-0.047,0.047
Rnase10,0.13,-0.13
Strada,0.031,-0.031
Ap3s1-ps1,-0.843,0.843
Pgk1-rs7,,
Gm29484,,
Ism2,-1.082,1.082
Gm18860,0.357,-0.357
Gm6522,,
Rtl4,0.206,-0.206
Gm5674,1.104,-1.104
Gm4133,,
Olfr1351,-0.099,0.099
Dnajc8,0.032,-0.032
Gm50090,,
Gm5228,-1.788,1.788
Cand2,-0.249,0.249
Cby1,0.058,-0.058
Fga,,
Ighv8-16,,
Stk17b,0.159,-0.159
Gm7647,,
Klhdc8a,-1.373,1.373
Thoc1,0.174,-0.174
Oaz2,0.011,-0.011
E230015B07Rik,-0.007,0.007
Rlbp1,-1.237,1.237
Polr2f,0.03,-0.03
Gm5724,,
Zfp345,-0.481,0.481
Nthl1,-0.02,0.02
Slc25a41,1.104,-1.104
Gm7678,1.104,-1.104
Gpc4,-0.338,0.338
Phldb3,-0.114,0.114
Kyat3,0.219,-0.219
Enkd1,-0.288,0.288
Yif1b,-0.138,0.138
Gm14409,0.017,-0.017
Krtap22-2,,
Commd6,0.007,-0.007
Tvp23a,-1.339,1.339
Gm37597,,
Gm29730,,
Gm3699,-2.514,2.514
Gm8371,0.671,-0.671
Fam186b,-1.821,1.821
Pgam1-ps2,0.004,-0.004
Nhlrc3,-0.081,0.081
Plod1,-0.004,0.004
Socs3,0.26,-0.26
Gm48035,0.224,-0.224
Ndufa5,-0.028,0.028
Ttc9c,0.093,-0.093
Gm6263,0.156,-0.156
Slc35b4,0.109,-0.109
Rpl7a,-0.037,0.037
Gm49392,0.225,-0.225
Gm7731,0.336,-0.336
Olfr1502,,
Gm19093,,
Lrig3,0.279,-0.279
Gm21293,0.582,-0.582
Angptl2,-0.872,0.872
Umpk-ps,1.104,-1.104
Kirrel,,
Gm12133,,
Nop10,-0.034,0.034
Igkj2,-0.338,0.338
Dydc1,,
Vmn1r93,,
Selenbp1,0.552,-0.552
Hspd1-ps3,-0.285,0.285
Klk1b14-ps,,
Ugt2a2,,
Tsn,-0.041,0.041
Atp5mpl,0.022,-0.022
Adh7,,
Ksr2,-0.059,0.059
Gm49478,-1.085,1.085
Srsf9,0.036,-0.036
Ldlrad4,-0.093,0.093
Pgm5,-0.338,0.338
Olfr304,,
Gm7707,,
Myom2,-0.475,0.475
Zfp986,-2.494,2.494
Dlg3,0.48,-0.48
Gm13287,,
Gm12042,-0.397,0.397
Mvb12b,0.304,-0.304
Gm42924,,
Gm29800,,
Gm10181,-0.716,0.716
Gm11743,-0.242,0.242
Grin2d,-0.377,0.377
Gm8649,2.091,-2.091
Gm16490,-0.338,0.338
Gid8,0.07,-0.07
Olfr460,1.104,-1.104
Prrg1,-0.128,0.128
AC133103.3,-2.098,2.098
Zcrb1,0.072,-0.072
Gm18691,,
Gm46203,0.535,-0.535
Gm11996,-2.0,2.0
Olfr1556-ps1,,
Vps37a,0.115,-0.115
Gm43959,,
Gm28185,,
Gm11258,0.983,-0.983
4930513O06Rik,,
Gp5,-0.115,0.115
Srek1ip1,-0.116,0.116
Virma,0.045,-0.045
Ube2j2,0.125,-0.125
Olfr752-ps1,-0.454,0.454
Gm15167,,
Mn1,-0.266,0.266
Gm44419,,
Gm45234,-1.155,1.155
Snip1,0.073,-0.073
Tspy-ps,-0.242,0.242
Ins2,0.62,-0.62
Cntln,0.011,-0.011
Cltc,0.17,-0.17
Tmem127,0.122,-0.122
Gm48288,,
Gm21869,,
Ighv5-5,,
Gm48258,,
Gm10769,1.012,-1.012
Ifi203,-0.1,0.1
Ccdc159,1.615,-1.615
Gm18658,,
Iqcj,1.677,-1.677
Zfp579,-0.0,0.0
Rnf166,0.075,-0.075
Tmie,-0.631,0.631
Fabp6,,
Dock9,-0.197,0.197
Cnot6,-0.235,0.235
Gm4889,-1.333,1.333
Gm4076,-0.819,0.819
Gm41434,1.121,-1.121
Gm12830,,
Ubap1l,0.172,-0.172
Gsta2,-0.338,0.338
Bace1,0.993,-0.993
Ighv1-63,,
Gm14840,2.649,-2.649
Gm18115,,
Olfr928-ps1,,
Adpgk,-0.167,0.167
Clec2l,0.035,-0.035
Dcbld1,-0.059,0.059
Gm11868,-0.819,0.819
Olfr1134,,
Zp2,,
Gm5027,,
Gm15136,,
Nsun7,0.231,-0.231
Gm28624,,
Egf,-0.024,0.024
Cep170b,-0.106,0.106
Gm7436,-1.333,1.333
Klk1b24,,
Gli1,1.32,-1.32
Gm2736,,
Gm48652,0.153,-0.153
Akirin2,0.008,-0.008
Sp140,0.047,-0.047
Gm28615,,
Tubb4a,0.124,-0.124
Cd2bp2,-0.04,0.04
Gm6345,0.589,-0.589
Elfn2,-0.61,0.61
Mlec,-0.119,0.119
Gm21834,,
Taar4,,
Parvb,0.234,-0.234
Gm2244,-1.755,1.755
Slc25a22,-0.354,0.354
Gm44807,1.104,-1.104
Pcsk2,-0.454,0.454
Tcrg-C3,0.123,-0.123
Ncapg2,-0.032,0.032
Gm43124,-1.69,1.69
Gm44112,,
Vmn2r-ps45,,
Vmn1r-ps58,,
Nr1h2,0.047,-0.047
Stk24,-0.139,0.139
Cbx3-ps3,-0.088,0.088
Gm39481,,
Gpn3,0.182,-0.182
Gm16061,1.859,-1.859
Gm48108,,
Gm12187,-4.044,4.044
Gm21841,,
Rsph9,-0.152,0.152
