wilcoxon,t-test,t-test_overestim_var
Hspa8,Chchd10,Chchd10
Ly6c2,Klrg1,Ly6c2
Chchd10,Ly6c2,Hspa8
Gzma,Hspa8,Klrg1
Lat,Gzma,Gzma
Klrg1,Ass1,Ass1
Arl4c,Arl4c,Arl4c
Pkm,Gzmk,Gzmk
Ass1,Esm1,Lat
Gzmk,Ccr2,Ccnd2
Plac8,Ccnd2,Esm1
Ccnd2,Lat,Ccr2
Ccr2,Pkm,Pkm
Ccnd3,Plac8,Plac8
Vim,Ccnd3,Klf2
Gzmb,Klf2,Ccnd3
Ctla2a,Thy1,Thy1
Thy1,Mt2,Ctla2a
Eef1d,Fcgrt,Hsph1
Hsph1,Hsph1,Rras2
Klf2,Rras2,Mt2
Rps25,Ggh,Gzmb
Esm1,Ctla2a,Ccr5
Rpl14,Ccr5,Sema4a
Ccr5,Sema4a,Ggh
Rpl7a,Wdr95,Fcgrt
Sema4a,Gzmb,Rps25
Rps6,Adgrg5,Wdr95
Eif5a,Rps25,Rpl7a
Eef1g,Eomes,Rps6
Tagln2,Rps19,Npm1
Rras2,Npm1,Rps19
Cmtm7,Rpl7a,Eef1d
Rrm2,Rps6,Eomes
Npm1,Samd3,H2-Q10
Tuba4a,Ms4a4c,Eef1g
Ptma,Eef1d,Rpl14
Hsp90ab1,Il7r,Tuba4a
Hsp90aa1,H2-Q10,Rpl24
H2-Q10,Eef1g,Rps9
Rps17,Rpl14,Rrm2
Slc25a5,Rps9,Ms4a4c
Ggh,Plin2,Adgrg5
Dnaja1,Tuba4a,Plin2
Rpl31,Rpl24,Rps27a
Rpl8,1700025G04Rik,Anxa1
Mt2,Rrm2,1700025G04Rik
Rps27a,Anxa1,Hsp90ab1
Rbm3,Ogfrl1,Cmtm7
Cd8b1,Rps27a,Rpl31
Gpx4,Hsp90ab1,Il7r
Rpl23a,Mt3,Rpl8
Anxa1,Fam241a,Mt3
Eomes,Mgst2,Mgst2
Rps19,Cmtm7,Samd3
Rpl10,Mt1,Mt1
Wdr95,Rpl36,Glrx
Plin2,Fgl2,Rpl36
1700025G04Rik,Rpl8,Fam241a
Mgst2,Rpl31,Rpl23a
Atp5b,Rpl23a,Hsp90aa1
Glrx,Hsp90aa1,Ccne1
Pcbp1,Rpl19,Rpl26
Fcgrt,Glrx,Dnaja1
Pa2g4,Rpl26,Ogfrl1
Ran,Ccne1,Rps20
Rpl41,Rps20,Gpx4
Rpl24,Smpdl3b,Rps5
Rps9,Eif5a,Eif5a
Ddx39,Npc2,Npc2
Mif,Dnaja1,Rpl19
Hspe1,Rps5,Rpl27
Srsf7,Fam129b,Grap2
Ccne1,Rpl27,Smpdl3b
Manf,Grap2,Rps23
Fkbp4,Fos,Cd8b1
Rpl27,Cd8b1,Arsb
Rpl36,Gpx4,Tagln2
Ptges3,Gzmm,Fos
Rpl6,Rps23,Fgl2
Ldha,Arsb,Rps17
Rpl15,Idh2,Fam129b
Srsf3,Tg,Capn2
Rpl26,Tagln2,Fdps
Fdps,Rps17,Pa2g4
Rps20,Ssbp2,Rpl15
Capn2,Capn2,Idh2
Arsb,Fdps,Ncald
Pdia6,Fabp5,Rpl6
Ranbp1,Pa2g4,Fabp5
Rps4x,Rpl38,Rpl38
Mt1,Ifit1bl1,Gzmm
Hspd1,AA467197,Rpl35a
Txn1,Ncald,Rpl41
Glipr2,Rps4x,Tubb5
Ncald,Rpl15,Tg
Rps5,Rpl6,Hspe1
Ms4a4c,Rps3,Rps4x
Grap2,Hspe1,Ccl5
Cct6a,Rpl12,Rps3
Gpx1,Rhob,AA467197
Ezr,Rpl35a,Fkbp4
Ccl5,Tmem108,Rpl12
Cct8,Tsc22d3,Pcbp1
Fbl,Ccl5,Zmynd11
Rpl3,Olfr1369-ps1,Tsc22d3
Hnrnpab,Rapsn,Cebpb
Lrrc59,Cebpb,Nop56
Nop56,Rpl41,Ptges3
Dynll1,Sell,Rpl10
Emp3,Fkbp4,Rpl9
Fam241a,Zmynd11,Ifit1bl1
Snrpa1,Zfp652,Rpl11
Hmgb1,Klre1,Glipr2
Hnrnph1,Fam78b,Pgp
Rps23,Pcbp1,H1f1
Mt3,H1f1,Olfr1369-ps1
Fabp5,Rpl9,Rpl27a
Aldoa,Rap2a,Rapsn
Stip1,Il6ra,Ncl
Srsf2,Rpl10,Lrrc59
Npc2,Tubb5,Zfp652
Krtcap2,Ptges3,Gpx1
Pgp,Rpl11,Rps18
Rpl11,Nop56,Rhob
Eif4a1,Rpl27a,Hnrnph1
Phgdh,Pgp,Hspd1
Ncl,Nrarp,Ssbp2
Atp5g1,Glipr2,Tesc
Anp32b,Hspd1,Emp3
Smpdl3b,Tesc,Ugcg
Cacybp,Ncl,Rap2a
Canx,Lrrc59,Sell
Dnajc3,Rps18,Srsf7
Rps18,Gpx1,Rps14
Hsp90b1,Rps14,Fbl
Eno1,Ccdc102a,Ntpcr
Cebpb,Ntpcr,Edem1
Lman2,Bmyc,Rpl3
Zmynd11,Hnrnph1,Cct6a
Runx3,Vim,Creld2
Fos,Ugcg,Vim
Snrpd3,Ccr7,Stip1
Rpl38,Eps8,Galk1
Rps8,Gm20696,Kcnn4
Edem1,Rps16,H2-Q7
Rpl35a,Emp3,Nrarp
Pcbp2,Srsf7,Ccdc102a
Idh2,Cct6a,Tmem108
Ahsa1,Fbl,Rpl23
E2f8,Gbp2,Runx3
Ppp2r5a,Tdrp,Klre1
Kcnn4,Rpl23,Jun
Ybx1,Edem1,Rpl13
Ywhaq,Galk1,Rpl32
Rasgrp2,Creld2,Scd2
Tkt,Rpl3,Rps16
Pdia3,Lcn4,Satb1
Higd1a,Rpl13,Adgre5
Set,Jun,Plin3
Ppia,Unc5cl,Slco3a1
Rps3,Stip1,Rpl36a
Slbp,Scd2,Gbp2
Creld2,Kcnn4,Ddx39
Nasp,Satb1,Slc25a5
Rps2,Rpl32,Bmyc
Tcf3,Iigp1,Rpl5
Uhrf1,Plin3,Pdia6
1500009L16Rik,H2-Q7,Tcf3
U2af1,Slco3a1,Rabac1
Slc9a3r1,Gngt2,Fam78b
Sgk1,Rpl5,E2f8
Ugcg,Kbtbd11,Gngt2
Cnih4,Runx3,Ezr
Rpl36a,Slc25a5,Il6ra
AA467197,Bco1,Gm20696
Psmb2,Adgre5,Ccr7
Arpp19,Ddx39,Pik3cd
Tmed2,Ralgps2,Kbtbd11
Rnf187,Rpl36a,Ppp2r5a
Rpl7,Socs2,Klrd1
Rpl5,Rabac1,Lcn4
Rbms1,Klrd1,Cnih4
Adgre5,Pdia6,Pcbp2
Tesc,Pik3cd,1500009L16Rik
Rpl19,Ramp1,Snrpa1
Tspan3,E2f8,Pag1
Cct4,Tcf3,Rpl35
Ntpcr,Irs2,Uhrf1
Cox5a,Batf3,Lair1
Rpl9,Pdk1,Hells
Mrpl18,Lair1,Tubb3
Nudc,Tubb3,Tspan3
Impdh2,Ezr,Dnajc3
Hells,Cnih4,Plec
Rpl35,Pag1,Cct8
Galk1,Rplp1,Rcn3
H1f1,Rcn3,Ralgps2
Eif1ax,Rbm3,Eps8
Gzmm,Rara,Unc5cl
Psma7,Ppp2r5a,Sgk1
Dnajb11,Snrpa1,Rplp1
Rcn3,Rpl35,Ccne2
Plin3,Ccne2,Rara
Slco3a1,Uhrf1,Klrk1
Plec,Tspan3,Rbm3
Cdc6,Cct8,Rps15
Kpna4,Sgk1,Ptma
Sh3bp1,Cgas,Socs2
Rps15,1500009L16Rik,Eef1b2
Scd2,Hells,Sh3bp1
H2-Q7,Pcbp2,Kpna4
Pag1,Dnajc3,Bco1
Tsc22d3,Ier3,Cgas
Serbp1,Plec,Atic
Atic,Cmklr1,Impdh2
Sdf2l1,Tmprss13,Rbms1
Il7r,Klrk1,Srsf3
Lair1,Rps15,Pdk1
Hopx,Mgat4a,Cacybp
Klrk1,Eef1b2,Ier3
H2az1,Nhsl2,Tnf
Eef1b2,Tnf,Ahsa1
Prmt1,Sh3bp1,Ranbp1
Psmd7,Ptma,Eif4a1
Tubb5,Rps13,Srsf2
Rpl27a,Cacybp,Klf3
Rpl12,Kpna4,Tdrp
Rara,Klf3,Manf
Cct3,Impdh2,Cmklr1
Cd8a,Atic,Ldha
Zfp652,Srsf3,Cdc6
Tubb3,Ranbp1,Iigp1
Mcm10,G430095P16Rik,Rps8
Rpl13,Manf,Rps13
Tpi1,Rbms1,Klf6
Pdap1,Ahsa1,Cd8a
Ppp1r14b,Eif4a1,Atp5b
Cct7,Fgr,Mgat4a
Btf3,Ldha,Slc9a3r1
Adgrg5,Slc15a2,Rnf187
Pgk1,Atp5b,Phgdh
Cdt1,Blvrb,Batf3
Tcp1,Rps8,Epas1
Nme1,Rnf130,Dnph1
Lyar,Dnph1,Hnrnpab
Atp1b3,Scarb1,Gsto1
Coq7,Srsf2,Nasp
Kpnb1,Epas1,Slbp
Jun,Cdc6,Rpl7
Psmb6,Gkap1,Shmt2
Gmnn,Phgdh,G430095P16Rik
Egln1,Igfbp4,Scarb1
Uchl5,Klf6,Rcc1
Siva1,Cd8a,Nhsl2
Plp2,Gsto1,Idi1
Gngt2,Igfbp6,Rps12
P4hb,Msc,Slc20a1
Alyref,Slc9a3r1,Rack1
Pik3cd,St8sia1,Coq7
Mrpl20,Rnf187,Rgs1
Cdc34,S1pr5,Mrto4
Lbr,Rpl7,Cdt1
Mcm7,Gadd45g,Irs2
Rcc1,Hnrnpab,Gkap1
Pcna,BC147527,BC147527
Psma5,Shmt2,Uchl5
Ccne2,Nasp,Lyar
Ndufa5,Rcc1,Plp2
Idi1,Gpx8,Nudc
Fam129b,Idi1,Rpl10a
Olfr1369-ps1,Slbp,Egln1
Tg,Slc20a1,Kpnb1
Rp9,Rack1,Tubb4b
Slc43a3,H4f16,Gart
Rgs1,Tfap4,Krtcap2
Gbp2,Mrto4,Pten
Cyc1,Atp1b1,Ppp1r14b
Gsto1,Rgs1,Blvrb
Rack1,Cerk,Snrpd3
Cct2,Lyar,Ramp1
Rpl32,Rpl18a,Orc2
C1qbp,Coq7,Ipo5
