,WT_P5,KO_P5
Uty,0.24821632,0.0012157693
5830411N06Rik,0.0,0.0007295722
Tnf,0.013021566,0.0011836784
St8sia1,0.014582035,0.009913578
Rnf130,0.013737328,0.0057126335
Itgae,0.013532471,0.005803421
Ube2q2,0.11046539,0.06621345
Mxd1,0.093175195,0.096890636
Gnaq,0.10025603,0.10808371
Soat1,0.047263253,0.051679373
Jmy,0.04907441,0.09187566
Ikzf2,0.11503776,0.15048262
Ext1,0.19832489,0.11934536
Ldlrad4,0.16729622,0.13571231
P2ry10,0.16851602,0.10288382
Cers6,0.27066466,0.438178
Inpp4b,0.35636672,0.20597522
Aff1,0.32041487,0.23003419
Mdfic,0.24594003,0.24800031
Ptpn9,0.21310763,0.20286323
Rundc3b,0.22949423,0.21281047
