,WT_P2,KO_P2
Dennd4a,3.2069218,2.5295265
Fnip1,0.34677562,0.34544283
Plxdc2,0.2796901,0.34025544
Ext1,0.29202908,0.36965686
Havcr2,0.5025324,0.1758162
Ect2,0.4384572,0.1474035
Irak2,0.33465764,0.27571812
Cers6,0.37230644,0.29589564
Kif15,0.39273152,0.2655907
Gng2,0.4235204,0.2293996
Nusap1,0.39319646,0.22492112
Kntc1,0.3488412,0.225498
Serpinb9,0.37996185,0.1813265
Kif4,0.28089288,0.110264875
Spag5,0.26007998,0.15324806
Mki67,0.2853017,0.14997956
Lin54,0.2857302,0.17030118
Uty,0.2873593,0.16788252
Ggta1,0.22665672,0.07689158
Coro2a,0.21604891,0.1306332
Vav3,0.088788606,0.27407858
Tspan14,0.17861436,0.246612
Kif11,0.6695629,0.1788263
Top2a,0.7999722,0.5289165
Mta3,0.62973404,0.4451735
Inpp4b,0.38570493,1.2876499
Il12rb2,1.2625359,0.7229175
Rab8b,0.9986757,0.8304653
Nedd9,0.87689227,0.7558919
