,WT_P2,KO_P2
Ssbp2,0.47930616,0.49760324
Il7r,0.5034143,0.5387246
Id3,0.5196197,0.60482544
Dapl1,0.48818663,0.5910052
Bcl2,0.4553574,0.5884213
Tcf7,0.59000707,0.7988385
Rgs10,0.6097635,0.8433393
Sell,0.85642093,0.879674
Ltb,0.73447543,0.6273405
Ccr7,0.80694073,0.7207485
Cd81,0.42007163,0.040092863
Ikzf2,0.33554697,0.2237279
Slfn5,0.35640287,0.17109701
Camsap2,-0.07440504,0.528163
Tnfsf8,-0.058793854,0.6872631
Aff3,0.042739537,0.64246833
Tlr1,0.06812938,0.5857634
Cd83,-0.027918084,0.3852367
Gm26517,0.058867093,0.30701104
Zfp455,0.070416935,0.31905863
Mgst2,0.27053425,0.30873728
Pecam1,0.24191187,0.38515306
Scml4,0.23306999,0.3607049
Actn1,0.22688226,0.35665786
Inpp4b,0.18511038,0.31238016
Cxcr4,0.18256778,0.3948562
Oasl2,0.17197546,0.35645288
H2-Oa,0.15932338,0.3699148
Kdm5b,0.17591894,0.37296712
Bach2,0.26482916,0.4433697
Evl,0.269655,0.49633658
Tespa1,0.35366017,0.4287834
Sh3bp5,0.33744922,0.35707343
Cd2ap,0.2629978,0.6262256
Nsg2,0.2850743,0.6222747
Cd200,0.18702884,0.5227837
Gm26551,0.17677721,0.5700714
Ms4a4c,0.09842396,0.4403964
Slamf6,0.08765409,0.49710995
Gm11579,0.13579455,0.51144236
