,WT_P3,KO_P3
Crtam,1.3480037,1.1986438
Slamf6,0.70988625,1.014721
Tnfrsf25,0.81427723,1.1675552
Cd9,0.76715493,1.118893
Tcf7,0.9635966,1.0396179
Ltb,0.838015,0.88146377
Xcl1,0.8283551,0.9048724
Tnfsf8,0.602871,1.423516
2310001H17Rik,1.0204647,1.4982264
Cxcr5,1.3994747,0.40668607
Arl5c,1.0424657,0.42930433
Casp4,0.76704687,0.65692747
Cd200,0.6097999,0.24446602
P2rx7,0.60846,0.2514167
Nsg2,0.5023243,0.4137227
Ifnar2,0.56702936,0.39866915
Tnfrsf26,0.6052538,0.39863035
Gm26517,0.65614414,0.5129051
Mxd4,0.7132346,0.39190271
Evl,0.6730598,0.41476417
Mgst2,0.6566502,0.45170993
H2-Oa,0.061112836,0.6818014
Gm17745,-0.08217409,0.76409477
Actn1,0.2459043,0.65277743
Adk,0.29639563,0.5465366
Ccr6,0.5377822,0.8612294
Asap1,0.39928457,0.77644455
