,WT_P5,KO_P5
Ncapd2,0.91341376,0.8018376
Cdc20,0.8393217,0.94986635
Ckap2,0.87690747,0.91278416
Ccdc34,0.91418433,0.9492444
Hmmr,1.0979114,1.0612304
Rrm1,0.8818221,1.2154186
Ccnb1,0.84225196,1.1401433
Mad2l1,0.844004,1.1678606
Clspn,0.8394342,0.57796615
Gmnn,0.78254235,0.5568033
Mast2,0.36664075,0.5167138
Uhrf1,0.3886997,0.6450677
Ccnb2,0.55353653,0.7470368
Hmgn2,0.5600986,0.6250982
Srsf3,0.6479789,0.59453213
Top2a,1.8269101,1.9429072
Nusap1,1.8572958,1.9262187
Cdk1,1.6742586,1.8500662
Spc25,1.6711564,1.7991936
Plk1,1.5732175,1.1739647
Aurkb,1.7831395,1.424436
Kif11,1.6009045,1.3673439
Mki67,1.6176093,1.3695567
Spc24,1.3624035,1.4184724
Birc5,1.2361585,1.3922876
Ube2c,1.256622,1.347583
Tpx2,1.4208796,1.2566473
Cenpe,1.376908,1.2900766
Kif15,1.2662141,1.1888927
Tacc3,1.3301765,1.1267492
Cdca3,1.1915141,1.589143
Ccna2,1.4190339,1.7073896
Smc2,1.4047501,1.5554739
Esco2,1.474417,1.4346757
Cenpf,1.4781429,1.5105958
Incenp,1.498767,1.4729422
