,WT_P2,KO_P2
Mt2,1.1084055,-0.351353
Mt1,0.5276593,-0.41361114
Ifitm1,0.35451564,-0.18121704
Ckap4,0.42543164,-0.05383834
Ston2,0.30696538,-0.031173633
Edaradd,0.31686246,-0.050832253
Pccb,0.33131114,-0.08388754
Egr1,0.35400587,-0.059320368
Dennd5b,0.6380021,0.07355929
Cd24a,0.74557406,-0.16167696
Ccr9,0.6432633,0.37341908
Spint2,0.5265496,0.63816255
Optn,-0.12025886,0.65056944
Ddc,0.11332988,0.6863842
Ppp1r15a,-0.16399679,0.3389806
Lman2l,-0.04365088,0.35576883
Pitpnm2,-0.016848097,0.3721444
Mapkbp1,-0.072389126,0.3875557
Rab11fip1,-0.084168516,0.3489364
Asah2,0.011568994,0.40625182
Nfix,0.042567022,0.4318892
Pip5k1b,0.049060952,0.42014363
Prpf40b,0.049885627,0.42539904
Camkk1,0.06611711,0.304426
Dgcr6,0.05254804,0.3594455
Dtx4,0.092337,0.35708934
Igtp,0.08146866,0.33879307
Cep290,0.08893804,0.32701018
Inpp4b,0.18511038,0.31238016
Fndc3a,0.14659432,0.30713117
Gtf2ird1,0.21317321,0.45357656
Gpr34,0.12045984,0.4558825
Plekha1,0.13213299,0.3977755
Slc27a1,0.17251395,0.41402978
Cd7,0.16685085,0.40394732
Cxxc5,0.33391276,0.11772172
Eya2,0.32134455,0.05600211
Fhl3,0.30596682,0.06970701
Znrf1,0.30609727,0.19624358
Isg20,0.30318758,0.17219834
Endou,0.32219645,0.16332231
Itgae,0.30341715,0.25153038
Neurl3,0.36014342,0.23189832
Lpar6,0.3213129,0.22743414
Ikzf2,0.33554697,0.2237279
Stat1,0.28234258,0.3474778
Wipi1,0.2743664,0.38581696
St8sia1,0.26438585,0.40614545
Atp1b1,0.38470003,0.47106624
Fabp5,0.44365975,0.36043388
Rgcc,0.44402373,0.41773602
Fos,0.43804932,0.39199486
Trat1,0.38239524,0.31709406
Sox4,0.36887985,0.36691317
