,WT_P2,KO_P2
Ssbp2,0.053465687,0.2864135
Ifnar2,0.16602598,0.14922884
Mgat5,0.1440393,0.21137205
Slamf6,0.11575099,0.18174897
Ikzf2,0.12375323,0.19693987
Zfp36l1,0.05008339,0.09457967
Kdm5b,0.018032605,0.09034972
Tcp11l2,0.0072110775,0.086109586
Rgs10,0.007865236,0.060321663
Ikbke,0.04399734,0.07336656
Ddx60,0.027649026,0.06187973
Cd2ap,0.030483514,0.06087574
Parp8,0.050157998,0.21485363
Tnfsf8,0.04442243,0.21099637
Nsg2,0.0092513105,0.1218409
Il7r,0.016031176,0.13150886
Pou6f1,0.029313596,0.12941708
Ms4a4c,0.039289895,0.11644578
Actn1,0.056869328,0.15290584
Tcf7,0.046297286,0.15419945
Zhx2,0.045672446,0.15765385
Ar,0.08041761,0.17543142
2310001H17Rik,0.06663374,0.1678495
Plxdc2,0.2796901,0.34025544
Map4k4,0.2856067,0.43948048
Bcl2,0.26584688,0.8154889
Pecam1,0.26121676,0.6017877
Evl,0.15630692,0.60551816
Bach2,0.33694163,1.909791
Asap1,0.6646638,1.0824902
Scml4,0.23304965,1.0725149
Aff3,0.15397418,1.399086
Inpp4b,0.38570493,1.2876499
