,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.38764942,-0.7957198619842529,False,,,,,,,,,,,,,,,,-0.22845089435577393
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.5710301,-0.20539510250091553,False,,,,,,,,,,,,,,,,-0.20493268966674805
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.68506503,-0.6811190843582153,False,,,,,,,,,,,,,,,,-0.49258196353912354
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.3645156,-0.3935946226119995,False,,,,,,,,,,,,,,,,-0.3196295499801636
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.3169794,-1.4846196174621582,False,,,,,,,,,,,,,,,,-1.2987556457519531
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.1669083,-9.610785484313965,False,,,,,,,,,,,,,,,,-5.809048175811768
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.3361393,-0.5884240865707397,False,,,,,,,,,,,,,,,,-0.15125370025634766
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.686682,-0.7622009515762329,False,,,,,,,,,,,,,,,,-0.7472907304763794
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.003311445,-2.477121114730835,False,,,,,,,,,,,,,,,,-0.09440946578979492
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,7.054555,-2.790081024169922,False,,,,,,,,,,,,,,,,-2.7161896228790283
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.101543956,-0.5035862922668457,False,,,,,,,,,,,,,,,,-0.16829454898834229
