,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.55679524,-0.7205288410186768,False,,,,,,,,,,,,,,,,-0.07019627094268799
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,2.208261,-0.5159926414489746,False,,,,,,,,,,,,,,,,-0.25725996494293213
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.8444348,-0.6732698678970337,False,,,,,,,,,,,,,,,,-0.6327381134033203
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.4488319,-0.9264857769012451,False,,,,,,,,,,,,,,,,0.1276654601097107
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.6025025,-0.4352806806564331,False,,,,,,,,,,,,,,,,-0.4141225814819336
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,9.89514,-6.663409233093262,False,,,,,,,,,,,,,,,,-4.761198997497559
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.5095465,-1.337451457977295,False,,,,,,,,,,,,,,,,-0.5951550006866455
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.8531476,-0.6509228944778442,False,,,,,,,,,,,,,,,,-0.4005565643310547
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0039359042,-4.9808735847473145,False,,,,,,,,,,,,,,,,0.04238557815551758
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,8.810832,-7.466351509094238,False,,,,,,,,,,,,,,,,-7.002018928527832
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08441568,-1.3833858966827393,False,,,,,,,,,,,,,,,,-0.19531667232513428
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.11085783,-0.3554248809814453,False,,,,,,,,,,,,,,,,-0.15269875526428223
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.72905606,-0.2593015432357788,False,,,,,,,,,,,,,,,,0.11149662733078003
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,152.85602,-3.8565797805786133,False,,,,,,,,,,,,,,,,-3.828017234802246
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.19656034,-0.19136643409729004,False,,,,,,,,,,,,,,,,0.017063915729522705
