wilcoxon,t-test,t-test_overestim_var
Rps24,Rps24,Rps24
Rps29,Rps29,Rps29
Rpl12,Rpl12,Rpl12
Rps16,Rps16,Rps16
Rplp1,Rps7,Rps7
Rps7,Rplp1,Rplp1
Rpl35a,Rps15a,Rps15a
Rps15a,Tpt1,Rpl23
Rpl23,Rpl35a,Rpl21
Rps19,Rps27,Rpl35a
Rps9,Rpl23,Rps19
Rpl21,Rpl21,Rpl13
Rps20,Rps19,Tpt1
Rpl13,Rpl13,Rps27
Tpt1,Rps20,Sell
Rplp2,Rps9,Rps9
Rps3a1,Rplp2,Rplp2
Rps27,Rps3a1,Rps3a1
Rpl5,Rpl5,Rpl5
Rps4x,Rps4x,Rps4x
Rpl9,Rps14,Rps21
Rps27a,Rpl30,Rpl39
Rpl39,Rpl9,Rps20
Rps21,Rpl39,Rpl9
Rpl26,Rpl17,Rpl30
Rps18,Rps21,Rpl19
Rpl27a,Rps27a,Rps14
Rpl30,Rpl19,Rpl27a
Rpl8,Rpl37a,Rpl37a
Rps28,Rpl27a,Rpl17
Rps23,Rps23,Rps23
Rps14,Rpl26,Tcf7
Rpl36a,Sell,Rps27a
Rpl19,Rpl8,Rpl26
Rpl37a,Rps18,Rps3
Rpl17,Rps28,Rps18
Rps3,Rps3,Rps5
Rps8,Rps8,Rpl8
Rps5,Tcf7,Rps28
Sell,Rps5,Rpl36a
Rps6,Rpl36a,Rpl18a
Tcf7,Rpl18a,Rps8
Rpl18a,Rps13,Dapl1
Rpl32,Rps6,Rps13
Eef1a1,Rpl37,Rps6
Rpl37,Rpl32,Rpl32
Rps13,Ltb,Rpl37
mt-Nd2,Eef1a1,Rgs10
Eef1b2,Fau,Eef1a1
Rps15,Rpl34,Ccr7
Rpl36,mt-Nd2,Rpl34
Rpl35,Rpl36,Lef1
Rps25,Rps15,Ltb
Rpl11,Dapl1,Rps15
Rpl34,Rps25,Rpl36
Rpl7,Rpl7,mt-Nd2
Ltb,Rpl11,Rpl11
Rack1,Rpl15,Rpl7
Rpl15,Eef1b2,Eef1b2
Lef1,Rpl18,Fau
Rpl3,Lef1,Rps25
Rpl18,Rpl10,Rpl18
Rpl10,Rps26,Rapgef6
Rps26,Rgs10,Il7r
Dapl1,Rack1,Rack1
mt-Nd4,Rpl35,Rpl15
Rpl23a,Rpl3,Rpl35
Rps10,mt-Cytb,Foxp1
Rapgef6,mt-Nd4,Rpl3
Rpl38,Rapgef6,Rpl10
Fau,Ccr7,mt-Nd4
Rpl10a,Rpl10a,Rps26
mt-Cytb,Foxp1,Ramp1
Rpl22,Rpl38,Rpl38
Foxp1,Il7r,Rps10
Rgs10,mt-Atp6,mt-Cytb
mt-Atp6,Rpl23a,Ighm
Ccr7,Rps10,Rpl23a
Il7r,Rpl22,Evl
Rpl6,Ighm,Rpl10a
Satb1,Evl,Rpl22
Arl4c,Btg1,Il6st
Ighm,Arl4c,Igfbp4
Peli1,Shisa5,mt-Atp6
Tmsb10,Satb1,Arl4c
Evl,Rpl6,Satb1
Shisa5,Peli1,Peli1
Rps12,Ramp1,Rflnb
Limd2,Tmsb10,Ssbp2
Rpsa,Rpl28,Il6ra
Rps11,Rps12,Rpl6
Rpl28,Rpsa,Ccr9
Npc2,Il6st,Tdrp
mt-Co3,Igfbp4,Shisa5
mt-Nd1,Limd2,Tmsb10
Ramp1,Ssbp2,Rps12
Cox7a2l,Rflnb,Btg1
Btg1,mt-Co3,Pdk1
Ccnd2,Il6ra,Actn1
Igfbp4,Ccr9,Rpsa
Il6st,mt-Nd1,Limd2
Ablim1,Tdrp,Rpl28
Rabac1,Actn1,Nsg2
Mycbp2,Rps11,Tespa1
Chd3,Pdk1,Chd3
Ssbp2,Chd3,Iigp1
Ccr9,Tespa1,Inpp4b
Rflnb,Npc2,Cd2ap
Rps27rt,Ccnd2,Dph5
Il6ra,Cox7a2l,Pik3ip1
Stat1,Ssh2,Rps11
Bcl11b,Cd2ap,mt-Co3
Tespa1,Nsg2,Ccnd2
Actn1,Ctss,Ssh2
Grap2,Inpp4b,Bcl2
Txnip,Dph5,Rapgef4
Tdrp,Pik3ip1,Tmem108
Ssh2,Txnip,Ctss
Rplp0,Bcl2,mt-Nd1
Mbnl1,Rps27rt,Npc2
Dgka,Iigp1,Id3
Arhgap15,Rabac1,Treml2
Ctss,Grap2,Kbtbd11
Pdk1,Mycbp2,Scml4
Cd27,Stat1,Rps27rt
Fam189b,Kbtbd11,Zbtb20
Rpl4,Rapgef4,Txnip
Pfdn5,Scml4,Cox7a2l
Bcl2,Tmem108,Grap2
Cd3g,Zbtb20,Stat1
Rpl14,Ablim1,Rabac1
Klf13,Id3,Atp1b1
Fyb,Fam189b,Mycbp2
Eif4a2,Treml2,Rgcc
Saraf,Rgcc,Fam189b
Pik3ip1,Dgka,Pmepa1
Iigp1,Clec2d,Sh3bp5
Nsg2,Arhgap15,Ablim1
Emb,Bcl11b,Dgka
Inpp4b,Atp1b1,Clec2d
Pdcd4,Foxo1,Bach2
Cd2ap,Sh3bp5,Dennd2d
Clec2d,Pmepa1,Foxo1
Dph5,Pdcd4,Arhgap15
Cd3d,Dennd2d,Bcl11b
Zbtb20,Bach2,H2-DMa
S1pr1,H2-DMa,Itgae
Scml4,Rplp0,Ttc3
Arhgap45,Rpl14,Arhgap5
mt-Nd3,Ttc3,Fam78a
Id3,Fam78a,St6gal1
Rapgef4,Mbnl1,Il27ra
Utrn,Il27ra,Trat1
Kbtbd11,Cd3g,Als2cl
Ifi47,Itgae,Pdcd4
Tmem108,Crtc3,Ifngr2
Psme1,Arhgap5,Crtc3
Treml2,Cd27,Gm20696
Kmt2a,AC149090.1,Ms4a4c
Ptpn18,Ms4a4c,Pecam1
Tnrc6b,Pecam1,Sesn3
Rgcc,Sesn3,Slc12a7
Zfp36l1,Klf13,St8sia1
Foxo1,Ifit1bl1,Ifit1bl1
Rpl31,St6gal1,Rplp0
Acp5,Trat1,AC149090.1
Pura,Gm20696,Tasor2
Klk8,Slc12a7,Cd27
Nsa2,Als2cl,Mbnl1
Mrpl23,Tnrc6b,Fam102a
Atp1b1,S1pr1,Ift80
mt-Nd5,Tasor2,Znrf1
Zfp292,Fam102a,Rpl14
Rhoh,Ifngr2,Art2b
Map4k4,Utrn,Filip1l
Cd8a,Cd3d,Klf13
Top2b,Znrf1,Pacsin1
Bptf,Fyb,Tcf12
Klf3,H2-K1,Cd3g
Nsd3,Emb,Slc15a2
Stk38,Tcf12,S1pr1
mt-Co2,Ifi47,Tent5a
AC149090.1,Rps17,Dzip1
Skap1,Trim12a,Socs3
Trim12a,Zfp36l1,Pura
Sh3bp5,Pura,Rassf2
Bach2,Rpl4,Tnrc6b
Crlf3,Tent5a,Rnf167
Ifit1bl1,Art2b,Il4ra
Rps17,St8sia1,Trim12a
Rpl27,Saraf,Ifi47
Il27ra,Eif4a2,Zfp36l1
Fam78a,Filip1l,Utrn
Slc38a2,Rnf167,Abcg1
Ikzf1,Socs3,Ikbkb
Pmepa1,Rassf2,Fyb
Tnrc6c,Ift80,Cxxc5
Dennd2d,Klk8,Fam169b
Atp11b,Klf3,Eif4a2
Crtc3,Ikbkb,Emb
H2-DMa,Rpl31,AB124611
Ttc3,Kmt2a,Klf3
H2-K1,Pfdn5,Saraf
Zcchc7,Il4ra,Rpl4
Arhgef1,AB124611,Klk8
Smc4,Pacsin1,Eps8l1
Itgae,Abcg1,Thra
Ddx6,Tnrc6c,Aff3
Gramd1a,Fam169b,Kmt2a
Macf1,Dzip1,Etnk1
Arhgap5,Gramd1a,Itpr2
Pecam1,Itpr2,Tox
Tcf12,Etnk1,Gramd1a
Trat1,Slc15a2,Zeb1
Ikbkb,Zfp292,Selenop
Slc44a2,Slc44a2,Tnrc6c
Fam102a,Zeb1,Tanc1
Cd3e,mt-Nd3,Timp2
Selenow,Ptpn18,Tnfsf8
Fubp1,Acp5,Slc44a2
Eif3e,Crlf3,Cd3d
