wilcoxon,t-test,t-test_overestim_var
Rps24,Rps24,Rps24
Tpt1,Tpt1,Tpt1
Rps27,Rps27,Rpl12
Rps29,Rpl12,Rps27
Rpl12,Rps29,Rps29
Rps16,Rps16,Rps16
Rps7,Rps7,Rps7
Rplp1,Rplp1,Rplp1
Rpl5,Rps14,Rpl5
Rpl35a,Rpl35a,Rps14
Rps14,Rpl5,Rpl35a
Rpl23,Rpl23,Rpl23
Rps4x,Rpl21,Rps19
Rps19,Rpl30,Rpl30
Rpl30,Rpl19,Rpl21
Rpl9,Rps15a,Rpl19
Rpl21,Rps19,Rps4x
Rpl19,Rps4x,Rpl13
Rpl13,Rpl13,Rpl37a
Rps3a1,Rpl9,Rpl9
Rpl37a,Rpl17,Rps15a
Rps9,Rpl37a,Rpl17
Rps20,Rps9,Rps3a1
Rpl17,Rps3a1,Rps9
Rps15a,Rps20,Sell
Rps27a,Rps27a,Rps20
Rps3,Rps3,Rps3
Rps21,Rplp2,Rps21
Rplp2,Rps21,Rps27a
Rpl26,Rpl27a,Rplp2
Rpl8,Rps23,Arl4c
Rps23,Rpl26,Rpl26
Rpl27a,Rpl18a,Rpl27a
Rps8,Sell,Rps23
Rps28,Rpl8,Rpl18a
Rpl18a,Fau,Rpl8
Rpl39,Rpl39,Rpl39
Rps5,Rps8,Fau
Rpl36a,Rps13,Rps5
Rps13,Rps28,Rps13
Rps15,Arl4c,Rps8
Fau,Rps5,Rps28
Sell,Rpl36a,Rps15
Rps6,Rps18,Rpl36a
Arl4c,Rps15,Rps6
Rps18,Rps6,Rps18
Rpl34,Rpl34,Dapl1
Rpl36,Rpl36,Tcf7
Eef1a1,Tcf7,Rpl34
Rpl7,Ltb,Lef1
Rack1,Rpl7,Rpl36
Rpl23a,Rpl37,Rpl7
Rpl37,Rack1,Ltb
Lef1,Lef1,Rack1
Ltb,Eef1a1,Foxp1
Rps25,Btg1,Eef1a1
Eef1b2,Dapl1,Rpl37
Rpl18,Rpl18,Ccr7
Rpl11,Rpl11,Rapgef6
Foxp1,Rps25,Rpl23a
Rapgef6,Foxp1,Rpl18
Tcf7,Rpl23a,Rps25
Rpl38,Rapgef6,Rpl11
Btg1,Rpl15,Il7r
Rps10,Eef1b2,Btg1
Rpl32,Rpl32,Satb1
Satb1,Rpl38,Eef1b2
Rpl15,Ccr7,Rpl38
Rpl35,Satb1,Rpl32
Dapl1,Il7r,Rpl15
mt-Nd2,mt-Nd2,Rps10
Rpl6,Rps10,Ramp1
Rpl10,Rpl6,Evl
Npc2,Rpl10,Rpl6
Rpl3,Evl,mt-Nd2
Il7r,Rpl35,Rpl35
Ccr7,Rpl3,Rgs10
Rpl22,Npc2,Rpl10
mt-Nd4,Rgs10,Igfbp4
Bcl11b,mt-Nd4,Npc2
Evl,Ramp1,Chd3
Rps11,Rpl22,Rpl3
Rpl10a,Rpl10a,Il6ra
Peli1,Ccnd2,Rflnb
Rps26,Chd3,Grap2
Cox7a2l,Grap2,Ccnd2
Rgs10,Bcl11b,Ssbp2
Grap2,Igfbp4,Rpl22
Ccnd2,Peli1,Bcl11b
Ablim1,Rps26,mt-Nd4
Rabac1,Rps11,Tdrp
Chd3,Rflnb,Peli1
Shisa5,Il6ra,Il6st
Ramp1,Ssbp2,Rpl10a
Cd8b1,Il6st,Pdk1
Rps27rt,Klf3,Klf3
Klf13,Rabac1,Rps11
Rpl14,Tdrp,Tespa1
Tmsb10,Tespa1,Rabac1
Igfbp4,Pdk1,Rps26
Eif4a2,Fam189b,Fam189b
Rps12,Ablim1,Ccr9
Fam189b,Shisa5,Ablim1
Klf3,Cox7a2l,Rps27rt
mt-Nd1,mt-Cytb,Cox7a2l
Saraf,Rps27rt,Ssh2
Fyb,Ccr9,Rapgef4
Mycbp2,Tmsb10,Shisa5
mt-Cytb,Txnip,Tmem108
Tespa1,Ssh2,Txnip
Rflnb,mt-Nd1,Pik3ip1
Ssbp2,H2-K1,Iigp1
Txnip,Klf13,Dph5
Il6ra,Pik3ip1,Scml4
H2-K1,Dph5,Cd2ap
Mbnl1,Rps12,Rgcc
Il6st,Rapgef4,Klf13
Ssh2,Tmem108,Treml2
Srsf5,Cd2ap,Kbtbd11
Tdrp,Iigp1,Zbtb20
Arhgap15,Rgcc,Nsg2
Rpl4,Scml4,mt-Cytb
Arhgap45,Rpl14,Tmsb10
Pdk1,Kbtbd11,Atp1b1
Ccr9,Zbtb20,mt-Nd1
Klf2,Nsg2,Pmepa1
Tnrc6b,Mycbp2,Rps12
Pdcd4,Treml2,Mycbp2
Limd2,Eif4a2,Eif4a2
S1pr1,Tnrc6b,Rpl14
Dgka,Klf2,Foxo1
mt-Atp6,Ctss,H2-K1
Pfdn5,Atp1b1,Tnrc6b
Klk8,Foxo1,Ctss
Ptpn18,Pdcd4,Gm20696
Zfp292,mt-Atp6,Pdcd4
Cd8a,Fyb,Znrf1
Ctss,Saraf,Fam78a
Rpl27,Pmepa1,Bach2
Pik3ip1,S1pr1,Ifit1bl1
Ighm,Klk8,Trat1
mt-Co3,Arhgap15,Fyb
Rpl28,Fam78a,Saraf
Dph5,Cd8b1,Klk8
Nsd3,Ifit1bl1,Slc12a7
Iigp1,Znrf1,Sh3bp5
Kmt2a,Gm20696,Itgae
Stk38,mt-Co3,S1pr1
Cd2ap,Bach2,Tanc1
Rgcc,Tnrc6c,Zfp652
