gene_name,log2fc,padj,nlog10pval,significant,EE up,TCM_vs_TEM-TRM
Mrpl15,-0.265659898519516,0.33569679064936875,0.47405281070293237,FALSE,FALSE,FALSE
Lypla1,0.12837500870227814,0.8539683061328063,0.068558247258365,FALSE,FALSE,FALSE
Tcea1,-0.09239611029624939,0.8735925592031591,0.058691073713022734,FALSE,FALSE,FALSE
Atp6v1h,0.5176209807395935,0.10500759911754624,0.9787792710691142,FALSE,FALSE,FALSE
Rb1cc1,0.5536905527114868,0.1322545925653373,0.8785892380742266,FALSE,FALSE,FALSE
Pcmtd1,0.010246200487017632,1,-0,FALSE,FALSE,FALSE
Rrs1,-0.8084895610809326,0.014064798079245157,1.8518664983867352,FALSE,FALSE,FALSE
Vcpip1,0.12174968421459198,0.9599406891274417,0.017755599440021197,FALSE,FALSE,FALSE
Cops5,-0.3789094090461731,0.08353856406754255,1.0781129940326197,FALSE,FALSE,FALSE
Cspp1,-0.436580091714859,0.47437694347316717,0.3238764274973229,FALSE,FALSE,FALSE
Arfgef1,-0.48610591888427734,0.1459138436523327,0.8359035022353892,FALSE,FALSE,FALSE
Ncoa2,-0.3761692941188812,0.5965522146849218,0.22435153764812915,FALSE,FALSE,FALSE
Tram1,0.4279003143310547,0.0081224511856202615,2.090312890001996,FALSE,FALSE,FALSE
Lactb2,-0.0022515589371323586,1,-0,FALSE,FALSE,FALSE
Terf1,0.3863321542739868,0.49373455753120143,0.30650647452267926,FALSE,FALSE,FALSE
Rpl7,-0.465677410364151,7.070246677862629e-14,13.150565433591268,FALSE,FALSE,FALSE
Eloc,0.03781694918870926,1,-0,FALSE,FALSE,FALSE
Tmem70,-0.6330024600028992,0.08226104544383325,1.0848057754054627,FALSE,FALSE,FALSE
Mcm3,-0.6394674777984619,0.005623333433503531,2.2500061643943137,FALSE,FALSE,FALSE
Smap1,0.46549519896507263,0.01822627338424011,1.7393021198313987,FALSE,FALSE,FALSE
Sdhaf4,0.1652160882949829,0.8198346728847938,0.08627371821748299,FALSE,FALSE,FALSE
Lmbrd1,1.024946928024292,0.0067433201401653495,2.171126221636301,TRUE,FALSE,FALSE
Phf3,-0.4033489227294922,0.17785829343635096,0.7499258790884507,FALSE,FALSE,FALSE
Prim2,-0.7663344740867615,0.07720132935234919,1.112375221355726,FALSE,FALSE,FALSE
Zfp451,-0.16953426599502563,0.8740617661047371,0.05845787659827139,FALSE,FALSE,FALSE
Ccdc115,-0.11157814413309097,0.9074383096364501,0.042182889922867395,FALSE,FALSE,FALSE
Imp4,-0.4609786868095398,0.10366353327027343,0.9843739927410188,FALSE,FALSE,FALSE
Ptpn18,0.4820488393306732,0.022795898924637854,1.6421432773241658,FALSE,FALSE,FALSE
Fam168b,0.1669606864452362,0.7845001975100462,0.10540694273668456,FALSE,FALSE,FALSE
Plekhb2,0.8721566796302795,0.0012836974541815208,2.8915373200848786,FALSE,FALSE,FALSE
Uggt1,0.6051588654518127,0.08916818023649978,1.0497900964433773,FALSE,FALSE,FALSE
Arid5a,0.27362388372421265,0.697829063560424,0.15625094678090592,FALSE,FALSE,FALSE
Kansl3,-0.6938424110412598,0.2220432338043131,0.6535624562945015,FALSE,FALSE,FALSE
Cox5b,0.5266764163970947,2.1354553467351904e-6,5.670509505421545,FALSE,FALSE,FALSE
Actr1b,-0.4622500538825989,0.40932084959381737,0.3879361331144986,FALSE,FALSE,FALSE
Zap70,0.7029988765716553,1.236484205978627e-4,3.90781142665419,FALSE,FALSE,FALSE
Coa5,0.36017948389053345,0.32554271965690135,0.48739201264449594,FALSE,FALSE,FALSE
Unc50,-0.15747585892677307,0.7329219851185556,0.13494225078272626,FALSE,FALSE,FALSE
Mitd1,0.3042001724243164,0.43021913259819444,0.366310279682969,FALSE,TRUE,FALSE
Mrpl30,-0.15167413651943207,0.6074501369375751,0.21648936569941574,FALSE,FALSE,FALSE
Txndc9,-0.3182368576526642,0.29669347354535464,0.5276920068830679,FALSE,FALSE,FALSE
Eif5b,-0.37441903352737427,0.10407952766708568,0.9826346873538854,FALSE,FALSE,FALSE
Pdcl3,0.1217024177312851,0.755798970156124,0.12159370418377977,FALSE,TRUE,FALSE
Rpl31,-0.6613108515739441,1.029217713812521e-10,9.987492747777637,FALSE,FALSE,FALSE
Cnot11,-0.2793073356151581,0.5898518993495975,0.22925701779724456,FALSE,FALSE,FALSE
Rnf149,-0.34315624833106995,0.6078591474017794,0.21619704341299853,FALSE,FALSE,FALSE
Map4k4,0.19843840599060059,0.7025798239530466,0.1533043260379753,FALSE,FALSE,FALSE
Il18r1,0.6879332661628723,0.001227077673394246,2.911127945782495,FALSE,FALSE,FALSE
Il18rap,0.23634055256843567,0.6074501369375751,0.21648936569941574,FALSE,FALSE,FALSE
Mrps9,-0.5696765780448914,0.06723607328490783,1.1723976581191435,FALSE,FALSE,FALSE
Fhl2,0.8144806623458862,0.016424984778530806,1.7844950242402144,FALSE,FALSE,FALSE
Tpp2,0.21556873619556427,0.5639122858352309,0.2487884434284541,FALSE,FALSE,FALSE
Tex30,-0.31612327694892883,0.39396068003719253,0.40454712156280226,FALSE,FALSE,FALSE
Wdr75,-1.0306893587112427,0.003731182168468547,2.428153546770129,TRUE,FALSE,TRUE
Nabp1,0.38911038637161255,0.3779089726834959,0.4226127965173091,FALSE,FALSE,FALSE
Stat4,0.6544374823570251,0.005521087609674667,2.257975361337241,FALSE,FALSE,FALSE
Stat1,0.3045910596847534,0.34363618436875243,0.463901111883037,FALSE,FALSE,FALSE
Gls,-0.06380617618560791,0.935533348377148,0.028940726861951847,FALSE,FALSE,FALSE
