gene_name,log2fc,padj,nlog10pval,significant,Tstem,TCM_vs_TEM-TRM
Mrpl15,-0.9926785826683044,1.89235277133089e-9,8.72299789945582,FALSE,FALSE,FALSE
Lypla1,-0.3691132664680481,0.15791039003532922,0.8015892937627136,FALSE,FALSE,FALSE
Tcea1,-0.8023754358291626,2.752719101134401e-6,5.560238103554515,FALSE,FALSE,FALSE
Atp6v1h,0.058133747428655624,0.9089650081478158,0.04145283521678021,FALSE,FALSE,FALSE
Rb1cc1,0.525962233543396,0.11782609589476997,0.9287585121977517,FALSE,FALSE,FALSE
Pcmtd1,0.9986972212791443,0.013267573193006511,1.877208507826622,FALSE,FALSE,FALSE
Rrs1,-1.356174111366272,3.4726542803200974e-9,8.459338450672195,TRUE,FALSE,FALSE
Vcpip1,0.6089666485786438,0.09473572543900965,1.0234862149229413,FALSE,FALSE,FALSE
Cops5,-0.837968647480011,1.4162211859033634e-6,5.848868913090044,FALSE,FALSE,FALSE
Cspp1,0.3501967787742615,0.2949379348758646,0.530269364960192,FALSE,FALSE,FALSE
Arfgef1,0.2224787324666977,0.45966063748775426,0.33756268496797037,FALSE,FALSE,FALSE
Ncoa2,0.7644635438919067,0.009991929830174455,2.0003506245213343,FALSE,FALSE,FALSE
Tram1,-0.19750067591667175,0.3220114899325531,0.49212863164181514,FALSE,FALSE,FALSE
Lactb2,-0.029365262016654015,1,-0,FALSE,FALSE,FALSE
Terf1,-0.22882218658924103,0.4855074887309281,0.31380406691058876,FALSE,FALSE,FALSE
Rpl7,-0.09624937176704407,0.017060142889901684,1.768017335651735,FALSE,FALSE,FALSE
Eloc,-0.786745011806488,3.1528329632221674e-10,9.50129903752121,FALSE,FALSE,FALSE
Tmem70,-0.64731764793396,0.00451008400706198,2.3458153686622447,FALSE,FALSE,FALSE
Mcm3,-1.9532136917114258,1.546449068608653e-20,19.810664378658835,TRUE,FALSE,FALSE
Smap1,0.5041233897209167,0.001075073073803418,2.968562015310215,FALSE,FALSE,FALSE
Sdhaf4,0.14907120168209076,0.651142730474531,0.1863238036542184,FALSE,FALSE,FALSE
Lmbrd1,0.7803672552108765,0.0999369013048086,1.0002741206437418,FALSE,FALSE,FALSE
