gene_name,log2fc,padj,nlog10pval,significant,Tex up,TE up
Mrpl15,-0.040526341646909714,0.9818783174403939,0.007942330276806239,FALSE,FALSE,FALSE
Lypla1,0.10918805003166199,0.8946655016461285,0.04833930875436275,FALSE,FALSE,FALSE
Tcea1,0.17226415872573853,0.6575862788925039,0.18204725730413832,FALSE,FALSE,FALSE
Atp6v1h,0.33368930220603943,0.4483891050886505,0.3483449483905422,FALSE,FALSE,FALSE
Rb1cc1,0.053910017013549805,1,-0,FALSE,FALSE,FALSE
Rrs1,0.03898242488503456,1,-0,FALSE,FALSE,FALSE
Vcpip1,0.011244676075875759,1,-0,FALSE,FALSE,FALSE
Cops5,-0.21444353461265564,0.3712203894608858,0.43036817796189375,FALSE,FALSE,FALSE
Cspp1,-0.0795084610581398,0.9992539840121811,3.241115381533473e-4,FALSE,FALSE,FALSE
Arfgef1,-0.4262803792953491,0.20174350410521993,0.6952004401334063,FALSE,FALSE,FALSE
Ncoa2,-0.24097944796085358,0.7633051705968983,0.11730179571601144,FALSE,FALSE,FALSE
Tram1,0.1679728627204895,0.5420694946433235,0.26594503227086336,FALSE,FALSE,FALSE
Lactb2,-0.4219789505004883,0.6094890611379118,0.21503408451659953,FALSE,FALSE,FALSE
Terf1,0.48552587628364563,0.35988394181707845,0.4438375313293643,FALSE,FALSE,FALSE
Rpl7,0.02280365489423275,0.9508271121208912,0.021898443186367245,FALSE,FALSE,FALSE
Eloc,-0.111582450568676,0.7222002329259747,0.14134237583933731,FALSE,FALSE,FALSE
Tmem70,-0.204376220703125,0.7295378281595123,0.13695218405154305,FALSE,FALSE,FALSE
Mcm3,-0.12197163701057434,0.7295378281595123,0.13695218405154305,FALSE,FALSE,FALSE
Smap1,-0.07656553387641907,0.8982525553500996,0.04660153864001866,FALSE,FALSE,FALSE
Sdhaf4,0.35819029808044434,0.41878498608247666,0.37800889666467025,FALSE,FALSE,FALSE
Phf3,0.2347699999809265,0.529910780921166,0.2757972447677165,FALSE,FALSE,FALSE
Prim2,-9.37292876187712e-4,1,-0,FALSE,FALSE,FALSE
Zfp451,-0.05808106064796448,1,-0,FALSE,FALSE,FALSE
Ccdc115,-0.16597290337085724,0.765667417584019,0.11595983359633522,FALSE,FALSE,FALSE
Imp4,-0.026768408715724945,1,-0,FALSE,FALSE,FALSE
Ptpn18,0.1807633489370346,0.6154593882325186,0.21080059918825964,FALSE,FALSE,FALSE
Fam168b,0.23408064246177673,0.686455691165952,0.16338749004143932,FALSE,FALSE,FALSE
Plekhb2,-0.02680746279656887,1,-0,FALSE,FALSE,FALSE
Uggt1,0.5767167806625366,0.08778967742364642,1.0565565467533924,FALSE,FALSE,FALSE
Kansl3,0.013283482752740383,1,-0,FALSE,FALSE,FALSE
Ankrd39,-0.0020330778788775206,1,-0,FALSE,FALSE,FALSE
Cox5b,-0.07927900552749634,0.6420470890469493,0.19243311871730157,FALSE,FALSE,FALSE
Actr1b,-0.031846143305301666,1,-0,FALSE,TRUE,FALSE
Zap70,-0.13127732276916504,0.7360262909637231,0.13310667232481124,FALSE,FALSE,FALSE
Coa5,0.1318577378988266,0.8262803194803119,0.08287259123833915,FALSE,FALSE,FALSE
Unc50,-0.36066195368766785,0.3418012111843187,0.46622640267515847,FALSE,FALSE,FALSE
Mitd1,-0.1257854551076889,0.8438804626006849,0.07371906772223946,FALSE,FALSE,FALSE
Mrpl30,-0.014325260184705257,1,-0,FALSE,FALSE,FALSE
Txndc9,0.010964755900204182,1,-0,FALSE,FALSE,FALSE
Eif5b,0.020336687564849854,1,-0,FALSE,FALSE,FALSE
Pdcl3,3.319432435091585e-4,1,-0,FALSE,FALSE,FALSE
Rpl31,-0.034304067492485046,0.9443630042083146,0.02486103491700326,FALSE,FALSE,FALSE
Cnot11,-0.0387570820748806,1,-0,FALSE,FALSE,FALSE
Rnf149,0.19793300330638885,0.8463959846323148,0.07242640563044543,FALSE,FALSE,FALSE
Map4k4,-0.12389495223760605,0.9384140484733634,0.02760549926337966,FALSE,FALSE,FALSE
Il18r1,-0.1662541627883911,0.7442425169022016,0.12828552333816673,FALSE,FALSE,FALSE
Il18rap,-0.29476988315582275,0.6420470890469493,0.19243311871730157,FALSE,FALSE,TRUE
Mrps9,-0.23769213259220123,0.6405388706003831,0.19345451029863853,FALSE,FALSE,FALSE
Fhl2,0.2100284844636917,0.767197426277034,0.1150928627659081,FALSE,FALSE,FALSE
Tpp2,0.11978468298912048,0.7879596978095267,0.10349599503143658,FALSE,FALSE,FALSE
Tex30,0.11703120917081833,0.7991672660182336,0.09736231316895626,FALSE,FALSE,FALSE
Wdr75,-0.20505128800868988,0.7295378281595123,0.13695218405154305,FALSE,FALSE,FALSE
Nabp1,0.05466597154736519,1,-0,FALSE,FALSE,FALSE
Stat4,-0.05437799170613289,0.9842998729236618,0.006872570963126618,FALSE,FALSE,FALSE
Stat1,-0.0544002503156662,0.9807634960034053,0.008435706956286215,FALSE,FALSE,FALSE
Gls,-0.11034450680017471,0.7386332991832831,0.13157111731113588,FALSE,FALSE,FALSE
Nab1,-0.5997170209884644,2.8968488017500906e-4,3.5380741717894133,FALSE,TRUE,FALSE
Inpp1,0.2414092719554901,0.7299036685035725,0.13673445357536562,FALSE,FALSE,FALSE
Hibch,-0.23367153108119965,0.7921961165955975,0.10116729087042417,FALSE,FALSE,FALSE
Ormdl1,-0.19119395315647125,0.761461757016872,0.1183519034029324,FALSE,FALSE,FALSE
