gene_name,log2fc,padj,nlog10pval,significant,Tex_term up,TCM_vs_TEM-TRM
Mrpl15,-1.4578074216842651,0.08098395930649478,1.0916009943874516,FALSE,FALSE,FALSE
Lypla1,-1.298304557800293,0.3123131476779342,0.5054097325684351,FALSE,FALSE,FALSE
Tcea1,-0.3341788053512573,0.7623113684741335,0.1178676034770251,FALSE,FALSE,FALSE
Atp6v1h,0.22598041594028473,0.9523735617133348,0.021192669295487014,FALSE,FALSE,FALSE
Rb1cc1,0.5049432516098022,0.8370821359810623,0.07723192617254286,FALSE,FALSE,FALSE
Pcmtd1,2.0857083797454834,0.17402118981428058,0.7593978663202158,FALSE,FALSE,FALSE
Rrs1,-2.1816277503967285,0.010563990308518074,1.9761720058898629,TRUE,FALSE,FALSE
Vcpip1,1.7742172479629517,0.15113755434343223,0.820627609667175,FALSE,FALSE,FALSE
Cops5,-0.850522518157959,0.19883622995857753,0.7015044799109722,FALSE,FALSE,FALSE
Cspp1,0.12748953700065613,1,-0,FALSE,FALSE,FALSE
Arfgef1,0.8223708271980286,0.3184620045453999,0.4969423755754274,FALSE,FALSE,FALSE
Ncoa2,1.7050459384918213,0.17565758838280418,0.7553330840069239,FALSE,FALSE,FALSE
Tram1,-0.9315701723098755,0.42467828914342354,0.3719399409076528,FALSE,FALSE,FALSE
Lactb2,1.1024266481399536,0.4837375570918479,0.315390192941196,FALSE,FALSE,FALSE
Terf1,-0.44653165340423584,0.7683053890449666,0.11446612057439182,FALSE,FALSE,FALSE
Rpl7,-0.453885942697525,2.7390344160077286e-4,3.5624025107952013,FALSE,FALSE,FALSE
Eloc,-0.4119343161582947,0.5121281481453995,0.29062135334297906,FALSE,FALSE,FALSE
Tmem70,-0.30228570103645325,0.8983973406851177,0.046531542284764665,FALSE,FALSE,FALSE
Mcm3,-2.738178253173828,0.002116498548615288,2.6743820250064547,TRUE,FALSE,FALSE
Smap1,0.7890507578849792,0.19018754466736115,0.7208179282995391,FALSE,FALSE,FALSE
Sdhaf4,-1.6714673042297363,0.0682749144041638,1.1657388356601828,FALSE,FALSE,FALSE
Phf3,0.7683154344558716,0.2731820965878863,0.5635477662198884,FALSE,FALSE,FALSE
Prim2,-0.8215439915657043,0.5376112768859986,0.2695316301365279,FALSE,FALSE,FALSE
Zfp451,-0.6759757399559021,0.7976675527586816,0.09817807366829093,FALSE,FALSE,FALSE
Ccdc115,-0.7118799686431885,0.6417425390864555,0.19263917174482098,FALSE,FALSE,FALSE
Imp4,-0.49488985538482666,0.5205385834039161,0.2835470741488669,FALSE,FALSE,FALSE
Ptpn18,1.7906187772750854,1.8907036098047428e-4,3.7233765466256132,TRUE,FALSE,FALSE
Fam168b,-1.5394037961959839,0.12150226788877562,0.9154156157085604,FALSE,FALSE,FALSE
Plekhb2,0.9532358050346375,0.47311231679906923,0.32503574557172304,FALSE,FALSE,FALSE
Uggt1,-0.6117456555366516,0.6133294000307399,0.21230621684668477,FALSE,FALSE,FALSE
Neurl3,2.263197660446167,0.28074696390265313,0.551684931655833,FALSE,FALSE,FALSE
Arid5a,1.3671064376831055,0.39535982643254536,0.40300746260216463,FALSE,FALSE,FALSE
Kansl3,-0.05107623711228371,1,-0,FALSE,FALSE,FALSE
Ankrd39,-0.7596137523651123,0.744386764203472,0.12820135757848108,FALSE,FALSE,FALSE
Cox5b,-0.28844520449638367,0.3879963479646395,0.4111723622054556,FALSE,FALSE,FALSE
Actr1b,0.49451619386672974,0.8289978046289058,0.0814466195568608,FALSE,FALSE,FALSE
Zap70,0.8421316146850586,0.361198548210654,0.44225400394371717,FALSE,FALSE,FALSE
Tmem131,0.7459709048271179,0.6960456535341736,0.1573622741427006,FALSE,FALSE,FALSE
Inpp4a,0.8883033394813538,0.7358355340832021,0.13321924357253218,FALSE,TRUE,FALSE
Coa5,0.9059884548187256,0.503970392211177,0.2975949771993402,FALSE,FALSE,FALSE
Unc50,0.44402575492858887,0.6554937755203444,0.18343142795559333,FALSE,FALSE,FALSE
Mitd1,-0.14282859861850739,1,-0,FALSE,FALSE,FALSE
Mrpl30,-1.1432751417160034,0.17709019725727335,0.751805478306827,FALSE,FALSE,FALSE
Txndc9,-1.0903968811035156,0.33510407234085854,0.4748202943837173,FALSE,FALSE,FALSE
Eif5b,-1.8248530626296997,0.01150377614678068,1.9391595778620785,TRUE,FALSE,FALSE
Pdcl3,0.5974336862564087,0.4126515764894094,0.3844164913777457,FALSE,FALSE,FALSE
Rpl31,-0.9099612832069397,0.017773510482002437,1.7502267853409657,FALSE,FALSE,FALSE
Cnot11,-2.553466796875,0.009512897461231483,2.0216871844538535,TRUE,FALSE,FALSE
Rnf149,0.16495680809020996,0.9814201480511866,0.00814503042109842,FALSE,TRUE,FALSE
Map4k4,0.4927957057952881,0.740197937175179,0.13065212955526154,FALSE,FALSE,FALSE
Il18r1,-0.006238680798560381,1,-0,FALSE,FALSE,FALSE
