gene_name,log2fc,padj,nlog10pval,significant,TE up,TCM_vs_TEM-TRM
Mrpl15,-2.0622363090515137,0.34657807836163324,0.4601989105997782,FALSE,FALSE,FALSE
Lypla1,-28.506900787353516,1.7228982844076654e-11,10.763740361451813,TRUE,FALSE,FALSE
Tcea1,-0.4611324667930603,1,-0,FALSE,FALSE,FALSE
Atp6v1h,-28.249317169189453,1.759848466399618e-10,9.754524725958417,TRUE,FALSE,FALSE
Rb1cc1,1.806397557258606,0.8797511877295633,0.0556401381625097,FALSE,FALSE,FALSE
Pcmtd1,-27.355016708374023,3.33941814988184e-5,4.476329196753908,TRUE,FALSE,FALSE
Rrs1,0.5416944622993469,1,-0,FALSE,FALSE,FALSE
Vcpip1,-27.830398559570312,7.389234329887045e-7,6.131400560730013,TRUE,FALSE,FALSE
Cops5,-29.886791229248047,5.5990249372160746e-24,23.251887598218318,TRUE,FALSE,FALSE
Cspp1,-27.948657989501953,3.432315629617778e-8,7.4644127820417205,TRUE,FALSE,FALSE
Arfgef1,0.900679886341095,1,-0,FALSE,FALSE,FALSE
Ncoa2,-28.262279510498047,1.9790620444489786e-7,6.703540590260788,TRUE,FALSE,FALSE
Tram1,-1.1263824701309204,0.7808895185434529,0.10741040643130205,FALSE,FALSE,FALSE
Lactb2,-27.4643497467041,7.350947401241336e-8,7.133656684777588,TRUE,FALSE,FALSE
Terf1,-27.28072738647461,4.0583819335065014e-7,6.391647084013119,TRUE,FALSE,FALSE
Rpl7,-1.1342146396636963,0.5452388152029324,0.26341323459010507,FALSE,FALSE,FALSE
Ube2w,2.6718194484710693,0.7886538154482438,0.10311359125622069,FALSE,FALSE,FALSE
Eloc,-1.5431761741638184,0.6496784449271438,0.18730154204560687,FALSE,FALSE,FALSE
Tmem70,1.0444364547729492,0.9830427464545769,0.007427596973857198,FALSE,FALSE,FALSE
Mcm3,-1.300583004951477,0.7814392383914173,0.10710478534437484,FALSE,FALSE,FALSE
Tram2,3.8742592334747314,0.7375300975843383,0.13222025203036347,FALSE,FALSE,FALSE
Smap1,0.7505027055740356,0.9113498076826256,0.04031489373329852,FALSE,FALSE,FALSE
Sdhaf4,2.103109121322632,0.8468638689706048,0.07218639569809202,FALSE,FALSE,FALSE
Lmbrd1,1.8142375946044922,0.8490844172974341,0.07104912937454265,FALSE,FALSE,FALSE
Phf3,1.3912441730499268,0.7220455766821815,0.14143538819648754,FALSE,FALSE,FALSE
Prim2,0.16566461324691772,1,-0,FALSE,FALSE,FALSE
Zfp451,-27.473981857299805,8.320944320718505e-8,7.079827384045212,TRUE,FALSE,FALSE
Ccdc115,-28.353883743286133,4.385761894683806e-12,11.357954950093953,TRUE,FALSE,FALSE
Imp4,-29.378435134887695,8.353179408928572e-18,17.07814819075134,TRUE,FALSE,FALSE
Ptpn18,0.44382065534591675,0.5942114009743777,0.22605901976096487,FALSE,FALSE,FALSE
Fam168b,-28.246192932128906,5.061925122841e-10,9.295684283313973,TRUE,FALSE,FALSE
Plekhb2,-27.753236770629883,2.9747479452721694e-9,8.52654982678078,TRUE,FALSE,FALSE
Uggt1,0.32247865200042725,1,-0,FALSE,FALSE,FALSE
Neurl3,2.0977752208709717,0.8315748214017348,0.08009866880164583,FALSE,FALSE,FALSE
Arid5a,0.6003949046134949,1,-0,FALSE,FALSE,FALSE
Kansl3,-27.846118927001953,2.0857200254330374e-7,6.680743989087816,TRUE,FALSE,FALSE
Cox5b,-1.7108098268508911,0.4530956264640631,0.34381012985720977,FALSE,FALSE,FALSE
Actr1b,0.33417344093322754,1,-0,FALSE,FALSE,FALSE
Zap70,-29.47754669189453,2.4943312948638154e-19,18.60304586441969,TRUE,FALSE,FALSE
Coa5,-0.12064964324235916,1,-0,FALSE,FALSE,FALSE
Unc50,2.7077863216400146,0.30487428994355487,0.5158791981549004,FALSE,FALSE,FALSE
