gene_name,log2fc,padj,nlog10pval,significant,TRM_vs_TCM-TEM,TCM_vs_TEM-TRM
Mrpl15,-0.3828386962413788,0.06687613389386769,1.1747288413867891,FALSE,FALSE,FALSE
Lypla1,0.18608498573303223,0.6093504864198317,0.21513283785254664,FALSE,FALSE,FALSE
Tcea1,-0.18251930177211761,0.5537662297562352,0.2566735322988314,FALSE,FALSE,FALSE
Atp6v1h,0.10903384536504745,0.8599622057773995,0.06552063501573581,FALSE,FALSE,FALSE
Rb1cc1,0.2651917040348053,0.5681445038969029,0.24554119023367993,FALSE,FALSE,FALSE
Pcmtd1,-0.1633467674255371,0.8885058886754167,0.05133968951229321,FALSE,FALSE,FALSE
Rrs1,-1.4860517978668213,7.136631152954764e-6,5.146506748580874,TRUE,FALSE,FALSE
Vcpip1,0.10865090042352676,0.9308377855915012,0.031125995668062255,FALSE,FALSE,FALSE
Cops5,-0.5224406719207764,0.003977856428613765,2.4003508957681485,FALSE,FALSE,FALSE
Cspp1,0.5538362860679626,0.08705488760157622,1.0602068408728302,FALSE,FALSE,FALSE
Arfgef1,-0.31513649225234985,0.32847214754828363,0.48350145008871875,FALSE,FALSE,FALSE
Ncoa2,0.2127738893032074,0.6796837075719077,0.16769314025343518,FALSE,FALSE,FALSE
Tram1,0.5552504062652588,2.3405343479683837e-5,4.6306849811019415,FALSE,FALSE,FALSE
Lactb2,-0.28790995478630066,0.568765193612251,0.24506698872810412,FALSE,FALSE,FALSE
Terf1,1.478403925895691,2.5480075185580283e-10,9.593799294836119,TRUE,FALSE,FALSE
Rpl7,-0.49103763699531555,4.84289475423172e-16,15.314894968936748,FALSE,FALSE,FALSE
Eloc,-0.0034461363684386015,1,-0,FALSE,FALSE,FALSE
Tmem70,-0.3609496057033539,0.31740074351228914,0.49839206024372196,FALSE,FALSE,FALSE
Mcm3,-0.8488317728042603,4.1333355928414934e-5,4.383699332148155,FALSE,FALSE,FALSE
Smap1,0.4884670078754425,0.004315862622508732,2.364932387723125,FALSE,FALSE,FALSE
Sdhaf4,0.6744728088378906,0.015528586027187116,1.8088680876421592,FALSE,FALSE,FALSE
Phf3,-0.10321514308452606,0.7947199678880208,0.0997858748972408,FALSE,FALSE,FALSE
Prim2,0.006260300520807505,1,-0,FALSE,FALSE,FALSE
Zfp451,0.044578917324543,1,-0,FALSE,FALSE,FALSE
Ccdc115,-0.30462801456451416,0.42798489077133056,0.36857156269351665,FALSE,FALSE,FALSE
Imp4,-0.47396665811538696,0.04985563183342609,1.3022857754460404,FALSE,FALSE,FALSE
