gene_name,log2fc,padj,nlog10pval,significant,EE up,TCM_vs_TEM-TRM
Mrpl15,-0.42660340666770935,8.00099793478485e-10,9.096855841690406,FALSE,FALSE,FALSE
Lypla1,-0.002049856586381793,1,-0,FALSE,FALSE,FALSE
Tcea1,-0.3995208740234375,5.884989073952616e-7,6.230254339129211,FALSE,FALSE,FALSE
Atp6v1h,-0.132294699549675,0.3602335355565761,0.4434158594531229,FALSE,FALSE,FALSE
Rb1cc1,0.24232910573482513,0.123428156356742,0.9085857580052218,FALSE,FALSE,FALSE
Rrs1,-0.5594838261604309,1.0081392923785241e-7,6.996479458235715,FALSE,FALSE,FALSE
Vcpip1,0.23803646862506866,0.15886607044017528,0.7989688466191773,FALSE,FALSE,FALSE
Cops5,-0.3240608274936676,4.319780544014563e-5,4.364538315903703,FALSE,FALSE,FALSE
Cspp1,-0.1684909462928772,0.3611507698691653,0.44231145501226243,FALSE,FALSE,FALSE
Arfgef1,-0.16232304275035858,0.27484468575661447,0.5609126558926849,FALSE,FALSE,FALSE
Ncoa2,-0.20136788487434387,0.2853484014403894,0.5446245560835266,FALSE,FALSE,FALSE
Tram1,0.42393332719802856,1.380405315929042e-10,9.859993376913003,FALSE,FALSE,FALSE
Lactb2,0.05207644775509834,0.860157530083349,0.06542200436014643,FALSE,FALSE,FALSE
Terf1,-0.2353133261203766,0.10938461767590685,0.9610437468158755,FALSE,FALSE,FALSE
Rpl7,-0.3734344244003296,2.018826782492171e-65,64.69490094239119,FALSE,FALSE,FALSE
Eloc,-0.1463770866394043,0.01754405235385253,1.7558700853344473,FALSE,FALSE,FALSE
Tmem70,-0.3093349039554596,0.007668168622562753,2.1153083455796637,FALSE,FALSE,FALSE
Mcm3,-0.5416015386581421,1.4243559453059494e-11,10.846381467324663,FALSE,FALSE,FALSE
Smap1,0.23851455748081207,0.002487530485948809,2.6042315880502924,FALSE,FALSE,FALSE
Sdhaf4,-0.391445517539978,0.0023156634934896557,2.6353245509630026,FALSE,FALSE,FALSE
Phf3,-0.21488595008850098,0.02928849989500841,1.5333028715414758,FALSE,FALSE,FALSE
Prim2,-0.6552011370658875,1.8583844792713186e-7,6.7308644303036935,FALSE,FALSE,FALSE
Zfp451,-0.31185397505760193,0.09814201172261108,1.0081450440616992,FALSE,FALSE,FALSE
Ccdc115,-0.045421700924634933,0.8090219989643725,0.0920396688711188,FALSE,FALSE,FALSE
Imp4,-0.45720207691192627,2.7560365352228898e-8,7.559715029529098,FALSE,FALSE,FALSE
Ptpn18,0.5334630608558655,1.5822304557215705e-15,14.800730260181586,FALSE,FALSE,FALSE
Fam168b,0.01188120897859335,1,-0,FALSE,FALSE,FALSE
Plekhb2,0.27206337451934814,0.043823361910350064,1.3582943085848065,FALSE,FALSE,FALSE
Uggt1,-0.06606972962617874,0.7098491228842742,0.14883394995970084,FALSE,FALSE,FALSE
Arid5a,0.4921322762966156,0.023651152189068304,1.6261476973293072,FALSE,FALSE,FALSE
Kansl3,-0.3156391382217407,0.07868928753090935,1.1040843868642802,FALSE,FALSE,FALSE
Ankrd39,-0.42773401737213135,0.015279931093945032,1.815878604241148,FALSE,FALSE,FALSE
Cox5b,0.4327338635921478,2.401245353193625e-32,31.619563462560993,FALSE,FALSE,FALSE
Actr1b,-0.27400344610214233,0.07713527447378268,1.1127469707697297,FALSE,FALSE,FALSE
Zap70,0.3847532570362091,1.3176203575160484e-6,5.880209703843929,FALSE,FALSE,FALSE
Coa5,0.015589782036840916,0.988487227713202,0.005028937852093018,FALSE,FALSE,FALSE
Unc50,0.24148938059806824,0.019342605967215737,1.7134850152096157,FALSE,FALSE,FALSE
Mitd1,0.1977395862340927,0.12183442600977314,0.9142299784226068,FALSE,TRUE,FALSE
Mrpl30,-0.005196711979806423,1,-0,FALSE,FALSE,FALSE
Txndc9,-0.33077263832092285,1.1897159098159634e-4,3.924556730648496,FALSE,FALSE,FALSE
Eif5b,-0.40980809926986694,6.046646245382152e-10,9.218485438731996,FALSE,FALSE,FALSE
Pdcl3,0.004693799652159214,1,-0,FALSE,TRUE,FALSE
Rpl31,-0.5873310565948486,5.984014864165804e-44,43.223007336363985,FALSE,FALSE,FALSE
Cnot11,-0.3471876084804535,0.00393409198279194,2.4051554900821728,FALSE,FALSE,FALSE
Rnf149,-0.440986305475235,0.0026854978175065995,2.570975196237737,FALSE,FALSE,FALSE
Map4k4,0.35389137268066406,0.0014231135695883428,2.846760440268903,FALSE,FALSE,FALSE
Il18r1,0.2559627890586853,0.01933587056429551,1.7136362697890888,FALSE,FALSE,FALSE
Il18rap,0.5725975632667542,5.390989617023884e-6,5.268331504616101,FALSE,FALSE,FALSE
Mrps9,-0.3187798261642456,9.902776019121453e-4,3.0042430437067327,FALSE,FALSE,FALSE
Fhl2,0.27823927998542786,0.06009226404535779,1.2211814331329975,FALSE,FALSE,FALSE
Tpp2,0.09098264575004578,0.40333751100264936,0.39433138606601836,FALSE,FALSE,FALSE
Tex30,-0.4455321729183197,3.33755030975517e-7,6.476572179085232,FALSE,FALSE,FALSE
Wdr75,-0.692160964012146,9.370814292582405e-9,8.028222668726997,FALSE,FALSE,TRUE
Nabp1,0.6868621706962585,3.0553669042734485e-9,8.514936629960378,FALSE,FALSE,FALSE
Stat4,0.5287460684776306,2.6026384905047485e-8,7.584586151707241,FALSE,FALSE,FALSE
Stat1,0.28130754828453064,0.004398296756412661,2.356715471809111,FALSE,FALSE,FALSE
Gls,-0.08135085552930832,0.4382240110885804,0.35830383034083513,FALSE,FALSE,FALSE
Nab1,0.050435975193977356,0.6892910380118423,0.16159736805638045,FALSE,FALSE,FALSE
Inpp1,0.7495023608207703,5.408935846902417e-8,7.26688816951033,FALSE,FALSE,FALSE
Hibch,-0.21851806342601776,0.2657625976655834,0.5755061399110613,FALSE,FALSE,FALSE
Ormdl1,0.3056609332561493,0.02052539414784797,1.6877084943989298,FALSE,FALSE,FALSE
Asnsd1,-0.17980146408081055,0.13406806479542024,0.8726746593955139,FALSE,FALSE,FALSE
Stk17b,0.7133785486221313,9.614148387900317e-27,26.017089179113036,FALSE,FALSE,FALSE
Ankrd44,0.15326660871505737,0.11000435769220147,0.9585901104400346,FALSE,FALSE,FALSE
Sf3b1,-0.10058168321847916,0.07634573042594238,1.1172152455008295,FALSE,TRUE,FALSE
Coq10b,0.006168422754853964,1,-0,FALSE,FALSE,FALSE
Hspd1,-1.3568273782730103,2.0458180586681793e-69,68.68913299214385,TRUE,FALSE,FALSE
Hspe1,-1.2760121822357178,1.1039460822100176e-94,93.95705213744965,TRUE,FALSE,FALSE
Mob4,0.05402463302016258,0.6909994446769296,0.16052230164728065,FALSE,FALSE,FALSE
Maip1,-0.16370898485183716,0.29008036080218225,0.5374816730724105,FALSE,FALSE,FALSE
Sgo2a,-1.0970577001571655,8.499386590584752e-14,13.070612416631255,TRUE,FALSE,FALSE
Bzw1,-0.08210472762584686,0.2278105876803843,0.6424260956023374,FALSE,FALSE,FALSE
Clk1,0.36665284633636475,1.1713790923105809e-5,4.931302531866176,FALSE,FALSE,FALSE
Ppil3,-0.07103527337312698,0.6430151396282977,0.191778801602025,FALSE,FALSE,FALSE
Orc2,-0.8746969699859619,1.1064693899667905e-14,13.95606059615371,FALSE,FALSE,FALSE
Ndufb3,0.06637370586395264,0.3910538138519811,0.40776347418771913,FALSE,FALSE,FALSE
Cflar,0.6054865121841431,6.645244284616817e-9,8.177489049407319,FALSE,FALSE,FALSE
Casp8,-0.15375544130802155,0.13203266424121432,0.8793186131516593,FALSE,FALSE,FALSE
Sumo1,-0.08723203837871552,0.1347052685444639,0.8706154179738066,FALSE,FALSE,FALSE
Nop58,-0.8936414122581482,2.3971807409133958e-30,29.62029922010814,FALSE,FALSE,FALSE
Fam117b,0.17198936641216278,0.30718416997989545,0.5126011684176008,FALSE,FALSE,FALSE
Wdr12,-0.9248000979423523,2.304234622051768e-12,11.637473302212952,FALSE,FALSE,TRUE
Cyp20a1,-0.05898911878466606,0.7754258134848823,0.11045974567154436,FALSE,FALSE,FALSE
Raph1,-0.25504153966903687,0.23094773581753986,0.636486291164863,FALSE,FALSE,FALSE
Cd28,0.45587873458862305,4.5227980551984664e-10,9.344592803249201,FALSE,FALSE,FALSE
Ctla4,0.39684268832206726,9.201917405155301e-4,3.036121669207092,FALSE,FALSE,FALSE
Icos,0.3909900486469269,1.9462826395756684e-5,4.7107940911515085,FALSE,FALSE,FALSE
Ino80d,-0.03932778537273407,0.8919785991140236,0.049645565352782285,FALSE,FALSE,FALSE
Ndufs1,-0.38808807730674744,6.0097820721613545e-5,4.221141276179252,FALSE,FALSE,FALSE
