gene_name,log2fc,padj,nlog10pval,significant,TE up,TCM_vs_TEM-TRM
Mrpl15,-1.7601975202560425,1.1295695562420369e-92,91.94708702108535,TRUE,FALSE,FALSE
Lypla1,-0.34680497646331787,0.0029691931793036095,2.5273615457598644,FALSE,FALSE,FALSE
Tcea1,-0.8438672423362732,2.161654431597081e-22,21.665213732420572,FALSE,FALSE,FALSE
Atp6v1h,-0.23318129777908325,0.05852666523704028,1.2326462206391289,FALSE,FALSE,FALSE
Rb1cc1,1.330234169960022,6.956049422808818e-30,29.15763734099122,TRUE,FALSE,FALSE
Pcmtd1,1.1689915657043457,5.255989287639636e-12,11.279345528593582,TRUE,FALSE,FALSE
Rrs1,-2.0553717613220215,2.0905804281715756e-58,57.67973311974753,TRUE,FALSE,FALSE
Vcpip1,0.20008695125579834,0.24371647208811104,0.6131151171213223,FALSE,FALSE,FALSE
Cops5,-1.498532772064209,1.6135625573207007e-62,61.79221419247109,TRUE,FALSE,FALSE
Cspp1,-0.007951980456709862,1,-0,FALSE,FALSE,FALSE
Arfgef1,0.37766435742378235,0.0014029530693828714,2.8529568564477232,FALSE,FALSE,FALSE
Ncoa2,1.0344892740249634,2.679404639121137e-16,15.571961695026584,TRUE,FALSE,FALSE
Tram1,-0.11850190162658691,0.16954285035721303,0.7707205197512987,FALSE,FALSE,FALSE
Lactb2,0.36920055747032166,0.029572682153489245,1.5291092844818481,FALSE,FALSE,FALSE
Terf1,-0.417426198720932,0.0027817742704503903,2.5556781141265685,FALSE,FALSE,FALSE
Rpl7,-0.37399256229400635,3.0725768881933017e-68,67.51249724051628,FALSE,FALSE,FALSE
Eloc,-1.226062536239624,5.218058790737627e-69,68.28249103210642,TRUE,FALSE,FALSE
Tmem70,-1.5819909572601318,3.0524601015984794e-34,33.515350003965835,TRUE,FALSE,FALSE
Mcm3,-3.876239776611328,2.6231902793237966e-211,210.58117020568753,TRUE,FALSE,FALSE
Smap1,0.3895624577999115,3.1769022882184427e-7,6.497996142535187,FALSE,FALSE,FALSE
Sdhaf4,-0.08953959494829178,0.5451792712802643,0.26346066519932165,FALSE,FALSE,FALSE
Phf3,0.32984471321105957,2.2006623230156055e-4,3.6574465919317687,FALSE,FALSE,FALSE
Prim2,-3.0419952869415283,1.3198177120472817e-64,63.879486047672046,TRUE,FALSE,FALSE
Zfp451,-0.21960420906543732,0.24566230758618238,0.6096614729992665,FALSE,FALSE,FALSE
Ccdc115,-0.6273972392082214,4.0988212835450124e-7,6.3873410173415355,FALSE,FALSE,FALSE
Imp4,-1.4978837966918945,1.116659743010734e-53,52.95207914044242,TRUE,FALSE,FALSE
Ptpn18,1.7744102478027344,5.1441884522268957e-172,171.28868312984608,TRUE,FALSE,FALSE
Fam168b,-0.20133720338344574,0.1416799919688835,0.8486914764359212,FALSE,FALSE,FALSE
Plekhb2,-0.47080498933792114,7.439405910623944e-4,3.128461744566952,FALSE,FALSE,FALSE
Uggt1,-0.1307917982339859,0.3907850791189048,0.40806202678548903,FALSE,FALSE,FALSE
Neurl3,1.350135087966919,7.704635309212405e-9,8.113247913330383,TRUE,FALSE,FALSE
Arid5a,1.7100547552108765,4.208635922425945e-27,26.375858642253956,TRUE,FALSE,FALSE
Kansl3,0.3499368727207184,0.029880512179211827,1.5246119625896024,FALSE,FALSE,FALSE
Ankrd39,-0.9612667560577393,5.638703996692995e-8,7.248820703066723,FALSE,FALSE,FALSE
Cox5b,-0.8919637203216553,7.170236720936037e-64,63.14446650613147,FALSE,FALSE,FALSE
Actr1b,-0.9373297691345215,3.2450442617209304e-10,9.488779375137861,FALSE,FALSE,FALSE
Zap70,-0.013144154101610184,0.9747283432122278,0.011116405309415609,FALSE,FALSE,FALSE
Inpp4a,0.7641146183013916,1.1028745218221052e-4,3.9574738960640365,FALSE,FALSE,FALSE
Coa5,-0.6930748820304871,2.3647862132139883e-8,7.626208115229848,FALSE,FALSE,FALSE
Unc50,-0.3628446161746979,0.0012614966974851104,2.8991138820991376,FALSE,FALSE,FALSE
Mitd1,-1.410105586051941,1.1461461086851179e-27,26.940760015744704,TRUE,FALSE,FALSE
Mrpl30,-0.4869421720504761,3.498359099011905e-11,10.456135613177855,FALSE,FALSE,FALSE
Txndc9,-0.694389283657074,3.3752711988530435e-14,13.471691326408214,FALSE,FALSE,FALSE
Eif5b,-1.5673531293869019,1.357687041028305e-85,84.86720032727071,TRUE,FALSE,FALSE
Pdcl3,-0.9969593286514282,1.4607423329575287e-27,26.8354263845063,FALSE,FALSE,FALSE
Rpl31,-1.526657223701477,6.857579566549732e-162,161.16382914469855,TRUE,FALSE,FALSE
Cnot11,-1.3215737342834473,9.68064496639571e-25,24.01409570715281,TRUE,FALSE,FALSE
Rnf149,-0.990294873714447,1.772022471391713e-10,9.751530775033876,FALSE,FALSE,FALSE
Map4k4,0.77779388427734375,2.6262046673971838e-14,13.580671431156834,FALSE,FALSE,FALSE
Il18r1,1.2802529335021973,2.4795149301714606e-47,46.60563327230066,TRUE,FALSE,FALSE
Il18rap,3.6904995441436768,0,Inf,TRUE,TRUE,FALSE
Mrps9,-1.3058321475982666,6.217546073122425e-34,33.206380987846735,TRUE,FALSE,FALSE
Fhl2,-0.6557698845863342,4.770580971818638e-6,5.321428728404174,FALSE,FALSE,FALSE
Nck2,1.1239019632339478,6.245330330985593e-8,7.204444585771803,TRUE,FALSE,FALSE
Tpp2,0.2273486852645874,0.011242862103202259,1.9491231160446425,FALSE,FALSE,FALSE
Tex30,-1.5423920154571533,6.957264590995687e-53,52.15756147972065,TRUE,FALSE,FALSE
Wdr75,-2.3841419219970703,2.0723878526684055e-53,52.68352896200089,TRUE,FALSE,TRUE
Nabp1,0.765616238117218,2.674956959375707e-12,11.572683201476774,FALSE,FALSE,FALSE
Stat4,1.1592347621917725,4.367675776329218e-37,36.3597496078897,TRUE,FALSE,FALSE
Stat1,0.10946247726678848,0.3246337086313438,0.48860638681259827,FALSE,FALSE,FALSE
Gls,0.19330637156963348,0.018493673852955708,1.7329768056836923,FALSE,FALSE,FALSE
Nab1,-0.20307351648807526,0.032213243969061334,1.4919655382376402,FALSE,FALSE,FALSE
Inpp1,0.6657994985580444,2.171008019247829e-6,5.663338572349979,FALSE,FALSE,FALSE
Hibch,-0.7287561297416687,1.57868009875731e-5,4.801705865824459,FALSE,FALSE,FALSE
Ormdl1,-0.7314283847808838,1.8719775544682496e-7,6.727699362878375,FALSE,FALSE,FALSE
Asnsd1,-1.0781773328781128,1.2357511439282189e-21,20.908068978842923,TRUE,FALSE,FALSE
Stk17b,1.3875974416732788,9.50362634383594e-100,99.02211064727874,TRUE,FALSE,FALSE
Ankrd44,1.338936686515808,4.5039599243897e-76,75.34640548243154,TRUE,FALSE,FALSE
Sf3b1,-0.009292684495449066,0.9543044029102192,0.020313072447519506,FALSE,FALSE,FALSE
Coq10b,0.4728475511074066,9.839533463771225e-6,5.007025492921617,FALSE,FALSE,FALSE
Hspd1,-3.546525001525879,4.14073841921616e-231,230.38292220409778,TRUE,FALSE,FALSE
Hspe1,-2.2592225074768066,2.2491704711168107e-222,221.64797762688556,TRUE,FALSE,FALSE
Mob4,-0.025287149474024773,0.8873085543901544,0.05192533150198571,FALSE,TRUE,FALSE
Maip1,-1.0391322374343872,2.2523728051447232e-14,13.647359724914265,TRUE,FALSE,FALSE
Sgo2a,-4.849789619445801,6.32535104870679e-67,66.1989153667078,TRUE,FALSE,FALSE
Bzw1,-0.9274684190750122,1.846489855280686e-46,45.7336530740448,FALSE,FALSE,FALSE
Clk1,1.2392423152923584,3.637765638994769e-59,58.43916528354903,TRUE,FALSE,FALSE
Ppil3,-0.7392017841339111,2.4131836922053605e-10,9.617409618217707,FALSE,FALSE,FALSE
Orc2,-2.2381770610809326,2.95884114919626e-56,55.52887835010782,TRUE,FALSE,FALSE
Ndufb3,-0.6834807991981506,2.267885951627892e-23,22.64437878920773,FALSE,FALSE,FALSE
Cflar,0.5309054255485535,3.7801227238243752e-6,5.422494100317659,FALSE,FALSE,FALSE
Casp8,-0.5286089777946472,1.3838788310694123e-8,7.858901933941135,FALSE,FALSE,FALSE
Sumo1,-0.8935851454734802,5.129559031524134e-51,50.28991996791103,FALSE,FALSE,FALSE
Nop58,-3.007229804992676,6.374285741847637e-170,169.19556847218857,TRUE,FALSE,FALSE
Fam117b,0.11772613227367401,0.46733825369496934,0.3303686686040189,FALSE,FALSE,FALSE
Wdr12,-2.252347707748413,1.855873196748623e-43,42.731451700441326,TRUE,FALSE,TRUE
Cyp20a1,-2.6948344707489014,4.31922455522786e-49,48.3645942165218,TRUE,FALSE,FALSE
Raph1,-0.6467124819755554,4.267438362896025e-4,3.369832742936709,FALSE,FALSE,FALSE
Cd28,0.10437005758285522,0.2468924378048841,0.6074922120928001,FALSE,FALSE,FALSE
Ctla4,-1.9302172660827637,5.596672222805979e-43,42.25207012743222,TRUE,FALSE,FALSE
Icos,-0.48473650217056274,2.1483175182523557e-6,5.6679015301261355,FALSE,FALSE,FALSE
Ino80d,0.24550555646419525,0.10315112287835694,0.9865260400396422,FALSE,FALSE,FALSE
Ndufs1,-1.4196873903274536,1.6717596879316884e-37,36.77682615136235,TRUE,FALSE,FALSE
Eef1b2,-0.8608790636062622,1.5837055533083611e-149,148.8003255604108,FALSE,FALSE,FALSE
Fastkd2,-3.000586986541748,9.8578883773483e-40,39.006216103748365,TRUE,FALSE,FALSE
Klf7,0.6006820797920227,2.981727266491552e-4,3.5255320832420587,FALSE,FALSE,FALSE
Creb1,-0.330130398273468,0.010532015252314368,1.9774885206264357,FALSE,FALSE,FALSE
Rpe,-0.9308958649635315,2.4210034555298994e-13,12.61600459068363,FALSE,FALSE,FALSE
Acadl,-1.3671330213546753,4.81630513956297e-52,51.317286005921666,TRUE,FALSE,FALSE
Bard1,-3.5673651695251465,2.163949957098587e-60,59.66475278682205,TRUE,FALSE,FALSE
Atic,-2.911813497543335,8.960756196588909e-154,153.04765533875886,TRUE,FALSE,FALSE
