gene_name,log2fc,padj,nlog10pval,significant,TE up,TCM_vs_TEM-TRM
Mrpl15,1.211838960647583,6.714579900407587e-9,8.172981153902509,TRUE,FALSE,FALSE
Lypla1,0.7733414173126221,0.010852396111633987,1.9644743629055303,FALSE,FALSE,FALSE
Tcea1,0.7592924237251282,3.103740647593463e-4,3.5081145760816552,FALSE,FALSE,FALSE
Atp6v1h,0.011211855337023735,1,-0,FALSE,FALSE,FALSE
Rb1cc1,-1.0747095346450806,3.94507189578018e-6,5.403945077712841,TRUE,FALSE,FALSE
Pcmtd1,-1.431215524673462,2.654915401210561e-7,6.575949313141003,TRUE,FALSE,FALSE
Rrs1,1.071947455406189,1.9878556138312669e-4,3.701615163396246,TRUE,FALSE,FALSE
Vcpip1,-0.19841550290584564,0.655563115725831,0.18338548934095952,FALSE,FALSE,FALSE
Cops5,1.7854208946228027,1.615247275109e-14,13.79176098293359,TRUE,FALSE,FALSE
Cspp1,-0.15963615477085114,0.7158819927973024,0.1451585616317851,FALSE,FALSE,FALSE
Arfgef1,0.0664963498711586,0.9044143231152045,0.04363256839585035,FALSE,FALSE,FALSE
Ncoa2,-0.08322372287511826,0.940221565355443,0.026769791854998556,FALSE,FALSE,FALSE
Tram1,0.5738046765327454,2.1302152762948473e-4,3.6715765052079137,FALSE,FALSE,FALSE
Lactb2,0.7318993210792542,0.0672749124478981,1.1721468587581056,FALSE,FALSE,FALSE
Terf1,-0.35347720980644226,0.33775679113027646,0.47139591004611214,FALSE,FALSE,FALSE
Rpl7,-0.2972906529903412,1.7341860209415866e-8,7.760904318892474,FALSE,FALSE,FALSE
Eloc,1.7173486948013306,3.0730209106534886e-16,15.512434484536813,TRUE,FALSE,FALSE
Tmem70,1.1204800605773926,2.725559546265348e-4,3.5645443253471765,TRUE,FALSE,FALSE
Mcm3,3.347850799560547,9.50139945607317e-21,20.022212422996567,TRUE,FALSE,FALSE
Smap1,1.4262715578079224,2.6907211703328795e-10,9.570131304265187,TRUE,FALSE,FALSE
Sdhaf4,0.010444465093314648,1,-0,FALSE,FALSE,FALSE
Phf3,-0.2597067952156067,0.23802896591328457,0.623370190124777,FALSE,FALSE,FALSE
Prim2,2.85679292678833,2.3255738922191733e-7,6.6334698567660055,TRUE,FALSE,FALSE
Zfp451,-0.3022957742214203,0.41438450821231443,0.38259648908248645,FALSE,FALSE,FALSE
Ccdc115,0.31447502970695496,0.3050605369661423,0.5156139696317008,FALSE,FALSE,FALSE
Imp4,1.1307175159454346,2.311782528966294e-6,5.636053022722138,TRUE,FALSE,FALSE
Ptpn18,-1.1085724830627441,1.669990781196097e-10,9.777285926269611,TRUE,FALSE,FALSE
Fam168b,4.464796802494675e-4,1,-0,FALSE,FALSE,FALSE
Plekhb2,1.1891478300094604,0.0016273523805123862,2.7885183964535183,TRUE,FALSE,FALSE
Uggt1,-0.23486465215682983,0.5010110618490656,0.30015268521663957,FALSE,FALSE,FALSE
Neurl3,-1.7726049423217773,6.381776802972247e-7,6.19505838894423,TRUE,FALSE,FALSE
Arid5a,-0.8075405955314636,0.011306799399912144,1.9466603128173814,FALSE,FALSE,FALSE
Kansl3,0.37299397587776184,0.39956467731183837,0.3984129116537753,FALSE,FALSE,FALSE
Cox5b,1.6796363592147827,1.831702820041212e-27,26.737144985954995,TRUE,FALSE,FALSE
Actr1b,0.6673283576965332,0.07495426347072556,1.1252036590245287,FALSE,FALSE,FALSE
Zap70,0.3156741261482239,0.14122130780820336,0.8500997709515908,FALSE,FALSE,FALSE
Coa5,0.939389705657959,0.0019061779408657128,2.7198365606079737,FALSE,FALSE,FALSE
Unc50,0.6036311388015747,0.018814263422067847,1.7255127796291672,FALSE,FALSE,FALSE
Mitd1,0.32159075140953064,0.2805896805696686,0.5519283053463652,FALSE,FALSE,FALSE
Mrpl30,0.24014560878276825,0.1697278227309045,0.7702469598740058,FALSE,FALSE,FALSE
