gene_name,log2fc,padj,nlog10pval
Mrpl15,-0.5233545899391174,1.5458403444974532e-10,9.810835362348
Lypla1,-0.2920379936695099,0.006689224524852392,2.1746242266414826
Tcea1,-0.14018909633159637,0.1719332009273498,0.7646402513683651
Atp6v1h,0.2859518229961395,0.01024800153238075,1.989360818323435
Rb1cc1,0.546816349029541,6.79970092619024e-10,9.16751018861165
Pcmtd1,0.33621370792388916,0.006290621765227857,2.2013064267546976
Rrs1,-0.7213663458824158,2.037003053698566e-7,6.691008319942672
Vcpip1,-0.09070002287626266,0.5630260252011526,0.2494715299443511
Cops5,-0.6319411993026733,3.653100083885528e-12,11.437338429270758
Cspp1,-0.33181989192962646,0.011728045091026653,1.9307743729599038
Arfgef1,0.04321731999516487,0.7598692793617291,0.11926111315971305
Ncoa2,0.4288884401321411,1.8834341865353026e-5,4.725049550891523
Tram1,-0.37519600987434387,1.273529444162882e-9,8.894991009640579
Lactb2,0.049469709396362305,0.8370067674316634,0.07727103060130813
Terf1,-0.10389938950538635,0.494377300335291,0.3059414783833321
Rpl7,-0.022120336070656776,0.4207301949804182,0.37599631840182945
Ube2w,-0.2716326117515564,0.11848033746555617,0.9263537174914044
Eloc,-0.7392775416374207,1.5650541763774058e-31,30.805470624191322
Tmem70,-0.969736635684967,5.10682166954056e-12,11.291849307463966
Mcm3,-1.5255601406097412,2.3238375475406475e-34,33.633794235435175
Smap1,0.2754869759082794,3.348619219717045e-5,4.475134234418246
Sdhaf4,0.20454947650432587,0.09023316354847197,1.0446338161271882
Lmbrd1,-0.5695206522941589,1.0803400948156893e-4,3.966439505577035
Phf3,0.15291309356689453,0.06277494350553592,1.2022136694592462
Zfp451,-0.7355552315711975,2.8867599507838516e-7,6.53958932847965
Ccdc115,-0.5699892640113831,1.9008415585248943e-6,5.721054081517537
Imp4,-0.22556455433368683,0.05908508601386736,1.2285221279049872
Ptpn18,0.14711512625217438,6.199428300031915e-5,4.207648358500027
Fam168b,-0.36443671584129333,0.0012046870688161605,2.9191257513763924
Plekhb2,-0.8248220086097717,2.6065660096606617e-12,11.58393127236045
Uggt1,0.1961974799633026,0.1557417877259694,0.8075948444397449
Neurl3,0.5889598727226257,1.1224329349245941e-5,4.949839598531583
Arid5a,0.8914286494255066,1.5092349302649463e-17,16.821243151890226
Kansl3,-0.08755169808864594,0.6120629622723945,0.2132039001404062
Ankrd39,-0.7867164611816406,1.1652286840546694e-6,5.933588833027093
Cox5b,-0.6724881529808044,1.455792116013309e-68,67.83690063691452
Actr1b,-0.37954413890838623,0.014090930725440287,1.8510603201927507
Zap70,-0.81607818603515625,5.101135241120729e-35,34.29233316231593
Coa5,-0.562568187713623,1.4580954713429114e-6,5.836214038898733
Unc50,-0.29350346326828003,0.0044613717051399686,2.3505315914263636
Mitd1,-1.1684455871582031,6.2118125501020565e-25,24.20678165817281
Mrpl30,-0.09359267354011536,0.24552387405807607,0.6099062719012126
Txndc9,-0.5209907293319702,2.1045401339961873e-10,9.676842787755406
