Run,Type,Name
276_1,WT_MP,WT_MP_1
276_2,WT_TE,WT_TE_1
276_3,WT_EE,WT_EE_1
276_4,WT_DP,WT_DP_1
276_5,WT_MP,WT_MP_2
276_6,WT_TE,WT_TE_2
276_7,WT_EE,WT_EE_2
276_8,WT_DP,WT_DP_2
276_9,KO_MP,KO_MP_1
276_10,KO_TE,KO_TE_1
276_11,KO_EE,KO_EE_1
276_12,KO_DP,KO_DP_1
276_13,KO_MP,KO_MP_2
276_14,KO_TE,KO_TE_2
276_15,KO_EE,KO_EE_2
276_16,KO_DP,KO_DP_2
276_17,WT_48h,WT_48h_1
276_18,WT_48h,WT_48h_2
276_19,KO_48h,KO_48h_1
276_20,KO_48h,KO_48h_2
276_21,WT_Naive,WT_Naive_1
276_22,KO_Naive,KO_Naive_1
276_23,WT_Naive,WT_Naive_2
276_24,KO_Naive,KO_Naive_2
