,moderate,none,sev,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
Slc4a10,0.056942243,0.0,0.0,-25.80426597595215,0.9900496714447689,1.273324966430664,-25.80426597595215,6.617575315634992e-08,6.3617753982543945,-25.80426597595215,1.1972374604844396e-08,6.3617753982543945
Adgrg3,0.03962657,0.04605875,0.0,-25.268644332885746,0.8813204097673865,1.402406096458435,-25.268644332885746,2.3177909348846904e-09,6.983104705810548,-25.268644332885746,2.8636799195486525e-10,6.983104705810548
Lingo2,0.025047973,0.006697074,0.0,-24.596296310424805,0.9989414490854748,0.9377142190933228,-24.596296310424805,3.581997358613497e-06,5.544923305511475,-24.596296310424805,8.96994330203714e-07,5.544923305511475
Csf2,0.02084804,0.091236725,0.0,-24.328474044799805,0.9989414490854748,0.31812503933906555,-24.328474044799805,0.07538533335945054,2.506430149078369,-24.328474044799805,0.04300701363843865,2.506430149078369
Fbln5,0.020260097,0.003348537,0.0,-24.28677749633789,0.9989414490854748,0.8344493508338928,-24.28677749633789,1.2841754630700694e-05,5.26606559753418,-24.28677749633789,3.431692517346178e-06,5.26606559753418
Il23r,0.019151496,0.0,0.0,-24.204790115356445,0.9989414490854748,0.6537358164787292,-24.204790115356445,0.0005984072413454309,4.305494785308838,-24.204790115356445,0.00019008739432029243,4.305494785308838
Cpne2,0.018143311,0.0,0.0,-24.12604141235352,0.9989414490854748,0.7311844825744629,-24.12604141235352,0.00014790288384803314,4.6931800842285165,-24.12604141235352,4.179759748724714e-05,4.6931800842285165
Gpr55,0.017803986,0.0,0.0,-24.09855842590332,0.9989414490854748,0.627919614315033,-24.09855842590332,0.000800694486841145,4.217528820037842,-24.09855842590332,0.0002641124972413729,4.217528820037842
Lrfn3,0.017362067,0.0,0.0,-24.06197738647461,0.9989414490854748,0.7828168869018555,-24.06197738647461,2.031011881413319e-05,5.1616172790527335,-24.06197738647461,5.580587468084153e-06,5.1616172790527335
Clic5,0.017084916999999998,0.0,0.0,-24.03856086730957,0.9989414490854748,0.7311844825744629,-24.03856086730957,8.006572124192397e-05,4.843034744262695,-24.03856086730957,2.264536022173125e-05,4.843034744262695
Efna5,0.016253468,0.010045611,0.0,-23.965984344482425,0.9989414490854748,0.6795520782470703,-23.965984344482425,0.0001834076493953229,4.6410746574401855,-23.965984344482425,5.10945084976081e-05,4.6410746574401855
Ocln,0.016139995,0.006697074,0.0,-23.955795288085927,0.9989414490854748,0.7053682804107666,-23.955795288085927,0.000100100786589599,4.787675857543945,-23.955795288085927,2.8309276370201954e-05,4.787675857543945
Zswim3,0.015749374,0.0,0.0,-23.920166015625,0.9989414490854748,0.7053682804107666,-23.920166015625,9.015074705515414e-05,4.814326286315918,-23.920166015625,2.542232305093317e-05,4.814326286315918
Exph5,0.014804452,0.0,0.0,-23.830219268798828,0.9989414490854748,0.6537358164787292,-23.830219268798828,0.00024056255150640225,4.5661797523498535,-23.830219268798828,6.829269365015511e-05,4.5661797523498535
Fgf9,0.014527301,0.0,0.0,-23.80275535583496,0.9989414490854748,0.627919614315033,-23.80275535583496,0.0003899270495014929,4.431145191192627,-23.80275535583496,0.000117963712447924,4.431145191192627
Emp1,0.013191758,0.0,0.0,-23.662660598754893,0.9989414490854748,0.5504710078239441,-23.662660598754893,0.0016025658406339013,4.017109394073486,-23.662660598754893,0.0005500375514934129,4.017109394073486
Fmn1,0.013191758,0.0,0.0,-23.662660598754893,0.9989414490854748,0.5504710078239441,-23.662660598754893,0.0016025658406339013,4.017109394073486,-23.662660598754893,0.0005500375514934129,4.017109394073486
Chn1,0.01299172,0.0,0.0,-23.640470504760746,0.9989414490854748,0.4472061097621918,-23.640470504760746,0.01632642560540707,3.1953907012939453,-23.640470504760746,0.007455914848691395,3.1953907012939453
Prss21,0.012801136,0.0,0.0,-23.6190128326416,0.9989414490854748,0.5762872099876404,-23.6190128326416,0.0008066932021393372,4.214431285858153,-23.6190128326416,0.00026670265050320947,4.214431285858153
Il1r1,0.012246836,0.0,0.0,-23.55474853515625,0.9989414490854748,0.4472061097621918,-23.55474853515625,0.014820074550535729,3.237248420715332,-23.55474853515625,0.006612201403446988,3.237248420715332
Cbx8,0.012133365,0.0,0.0,-23.54123687744141,0.9989414490854748,0.5504710078239441,-23.54123687744141,0.0012522174952760243,4.091126441955566,-23.54123687744141,0.00042083367497589713,4.091126441955566
Phgdh,0.011856214,0.0,0.0,-23.507701873779297,0.9989414490854748,0.5246547460556029,-23.507701873779297,0.001991813972850459,3.9453227519989014,-23.507701873779297,0.0007048199824968738,3.9453227519989014
Mamld1,0.011856214,0.0,0.0,-23.507701873779297,0.9989414490854748,0.5246547460556029,-23.507701873779297,0.001991813972850459,3.9453227519989014,-23.507701873779297,0.0007048199824968738,3.9453227519989014
Spsb1,0.011742743,0.0,0.0,-23.49374580383301,0.9989414490854748,0.5504710078239441,-23.49374580383301,0.0011364050203195337,4.118386745452882,-23.49374580383301,0.00037952873999155237,4.118386745452882
Wwtr1,0.010797821,0.0,0.0,-23.372032165527344,0.9989414490854748,0.4988385438919067,-23.372032165527344,0.002823104843644449,3.833775520324707,-23.372032165527344,0.001036498463892017,3.833775520324707
Phex,0.010622174,0.0,0.0,-23.34824562072754,0.9989414490854748,0.3697574734687805,-23.34824562072754,0.02873981586271962,2.9611239433288574,-23.34824562072754,0.014175902894923863,2.9611239433288574
Dnm3,0.010520671,0.0,0.0,-23.33432006835937,0.9989414490854748,0.4730223417282105,-23.33432006835937,0.004468835702719713,3.681406974792482,-23.33432006835937,0.0017068389732087436,3.681406974792482
Smad1,0.010520671,0.0,0.0,-23.33432006835937,0.9989414490854748,0.4730223417282105,-23.33432006835937,0.004468835702719713,3.681406974792482,-23.33432006835937,0.0017068389732087436,3.681406974792482
