wilcoxon,t-test,t-test_overestim_var
Arl4c,Klrg1,Klrg1
Ly6c2,Arl4c,Arl4c
Klrg1,Ly6c2,Ly6c2
Cd8b1,Ccr2,Ccr2
H2-Q7,Gzma,H2-Q7
Ccr2,Cd8b1,Cd8b1
Ccl5,H2-Q7,Gzma
Lat,Jak1,Jak1
Thy1,S1pr5,Ccl5
Jak1,Zeb2,Klf2
Gzma,Ccl5,Thy1
Klf2,Esm1,Zeb2
Hopx,Klf2,Klf3
Klf6,Klf3,Klf6
Klrd1,Thy1,Esm1
Npc2,Fcgrt,Fos
Klf3,Fos,S1pr5
Krtcap2,Slco3a1,Hopx
Ccr5,Klf6,Slco3a1
Ier2,Ass1,Ccr5
Ctla2a,Ccr5,Fcgrt
Rap1b,Wdr95,Txk
Ugcg,Txk,Wdr95
Srsf5,Hopx,Lat
H2-K1,Ier2,Klrd1
Fos,Lat,Ass1
H2-D1,Klrd1,Ier2
Slco3a1,As3mt,Srsf5
Txk,1700025G04Rik,Npc2
Macroh2a1,Srsf5,Ugcg
Gzmk,Rara,Gzmk
Zeb2,Cx3cr1,Ctla2a
H2-Q6,Npc2,1700025G04Rik
Zyx,Gzmk,Rps27
Esm1,Ugcg,Ccdc88c
Wdr95,Rps27,Rpl19
Rps14,Chchd10,H2-Q10
Rpl19,Acss2,Sema4a
Ccdc88c,Ccdc88c,Chchd10
Bcl11b,Gzmm,As3mt
Sema4a,Klre1,Cx3cr1
Ppp1r15a,Sema4a,Rps14
H2-Q10,Rpl19,Rara
Btg1,H2-Q10,H2-K1
Cyba,Ctla2a,Fau
Fau,Fau,Rap1b
Ass1,Rps14,H2-D1
Rps27,Rap1b,H2-Q6
Saraf,H2-K1,Ppp1r15a
Supt4a,Tpt1,Grap2
Junb,H2-D1,Bcl11b
Sp100,Grap2,Acss2
Gabarapl2,Borcs7,Junb
Grap2,H2-Q6,Zyx
Btg2,Bcl11b,Tpt1
Fth1,Ppp1r15a,Gzmm
Cd69,Samd3,Borcs7
Selplg,Junb,Ggh
Ankrd11,Ggh,Krtcap2
Rpl24,Zyx,Btg1
Atp1b3,Smpdl3b,Klre1
Fcgrt,Btg1,Gabarapl2
Rps3,Slc20a1,Slc20a1
1700025G04Rik,Runx1,Rpl37a
Rpl37a,Gabarapl2,Macroh2a1
H3f3b,Nhsl2,Btg2
Rpl9,Krtcap2,Runx1
Emp3,Rpl37a,Smpdl3b
Satb1,Macroh2a1,Rpl24
Apbb1ip,Btg2,Ncald
Epsti1,Phf21a,Satb1
Hspa8,Ncald,Ier5
Cd8a,Ier5,Rps3
Gramd3,Satb1,Sp100
Fyb,Sp100,Cd69
Rara,Rps3,Samd3
Ppp2r5a,Cmah,Phf21a
Tpt1,Fcgr2b,Selplg
Ier5,Jun,Cmah
Chchd10,Cd69,Jun
Ccnd2,Ifitm10,Itgax
4930523C07Rik,Rpl24,Rpl9
S1pr5,Sgk1,Saraf
Klrk1,Adgrg5,Sgk1
Ankrd44,Selplg,Ankrd11
Ncald,Itgax,Ifitm10
Znrf2,Fasl,Ddx5
Ddx5,Saraf,Gramd3
Hcst,Kdm7a,Apbb1ip
Cmah,Ankrd11,Fasl
Ppp1r12a,Rap2a,Nhsl2
Slc20a1,Rpl9,H2-Q4
Itgb2,Apbb1ip,Gtf2i
Itgax,Zdhhc20,Zdhhc20
Eif4a2,Gramd3,Fam189b
Dnaja1,Ddx5,Kdm7a
Rpl5,H2-Q4,Fth1
Ablim1,Fam189b,Pik3cd
Lck,Gtf2i,Supt4a
Jun,Vps37b,Vps37b
Rpl17,Ypel3,Ypel3
Ubb,Sidt1,Rpl17
Ggh,Pik3cd,Sidt1
Rps15,Rpl17,Klrk1
