wilcoxon,t-test,t-test_overestim_var
Lgals1,Lgals1,Lgals1
S100a6,S100a6,S100a6
S100a10,Gzmb,Gzmb
Gzmb,S100a4,Ly6c2
Ly6c2,Ifng,S100a4
S100a4,Bhlhe40,Ahnak
Ahnak,Ahnak,S100a10
Sub1,Lgals3,Ifng
Hmgb2,Ctla2a,Hmgb2
Nkg7,Ly6c2,Ctla2a
Actg1,Anxa2,Bhlhe40
Ifng,Gzmk,Hopx
Ctla2a,Plek,Lgals3
Crip1,Serpinb6b,Sub1
Tmsb4x,Klrc1,Anxa2
Bhlhe40,Ccl5,Ccl5
Hopx,Hmgb2,Actg1
H2az1,Hopx,Tmsb4x
Ccl5,Gzma,Serpinb6b
Abracl,S100a10,Crip1
Cd48,Ccr2,Nkg7
Lsp1,Klrk1,H2az1
Itga4,Tmsb4x,Plek
Lgals3,Il18rap,Cd48
Vim,Ccl4,Itga4
Ctsd,Klrg1,Vim
Txn1,Stmn1,Klrc1
Klrc1,Klrc2,Ctsd
Anxa2,Rora,Id2
Pycard,Itgb1,Lsp1
Actb,Mki67,Txn1
Id2,Slamf7,Gzmk
Dnajc15,Pclaf,Abracl
Cyba,Bcl2a1b,Klrk1
Serpinb6b,H2az1,Pim1
Plek,Zeb2,Cd28
Klrk1,Cks2,Pycard
Cdc42,1500009L16Rik,Ybx3
Pim1,Serpinb9,Actb
Itgb1,Ybx3,Itgb1
Cd28,Actg1,Gzma
Reep5,Birc5,Serpinb9
H3f3b,Sub1,Reep5
S100a11,Vim,Tnfaip3
Tnfaip3,Osbpl3,Bcl2a1b
Rbm3,Bcl2a1d,S100a13
Gapdh,Ncald,Dnajc15
S100a13,Id2,Cyba
Cox8a,Crip1,Dennd4a
Myl6,Tbx21,Dusp5
Dusp5,Dusp5,Rora
Il18rap,Anxa1,Cks2
Clic1,Cdca8,S100a11
Cox5b,Ccr5,Ccr2
Rora,Nkg7,Gapdh
Dennd4a,Itga4,Stmn1
Gzmk,Top2a,H3f3b
Ccl4,Itgax,Pkm
Ybx3,Rrm2,Il18rap
Bcl2a1b,Cd48,Cxcr3
Gzma,Cxcr3,Cdc42
Calm1,Ccnb2,Prr13
Rap1b,Lmnb1,Ccl4
Cox5a,Tyms,Slamf7
Krtcap2,Wdr95,Klrc2
Klrc2,Gna15,Klf6
Ccr2,Txn1,Lmnb1
Srgn,Dennd4a,Srgn
Klf6,Tnfaip3,Cox5b
Serpinb9,Ctla4,Myl6
Prr13,Cd28,Rpa2
Pkm,Cks1b,Rilpl2
Cxcr3,Ctsd,Clic1
Rac2,Ptms,Rbm3
Slamf7,Pik3ap1,Pclaf
Ppp1ca,Ccl3,Rap1b
Ly6a,Mapre2,Cox8a
Cfl1,Runx2,Zyx
Cks2,Pycard,Mki67
Zyx,Actb,Gng2
Hint1,Cdca3,1500009L16Rik
Sh3bgrl3,Kif11,Krtcap2
Arpc3,Havcr2,Sept11
Il2rb,Spc24,Ptms
Chsy1,Lsp1,Il2rb
Gng2,Hmmr,Myo1f
Rilpl2,Tpx2,Chsy1
Rpa2,Ccna2,Ccr5
Myo1f,Pim1,Osbpl3
Il18r1,H1f5,Efhd2
Prdx1,Ube2c,Birc5
Pfn1,Hip1,Klrg1
1810037I17Rik,Chsy1,Ly6a
Ccr5,Fasl,Pfkp
Cox6b1,Cx3cr1,Gna15
Rgs1,Myo1f,Cox5a
Sept11,Sdf2l1,Sdf2l1
Thy1,Rgs1,Rgs1
Prelid1,Pkm,Calm1
Dusp2,Cenpe,Top2a
Stmn1,Kif15,Runx2
Efhd2,Acot7,Ctla4
Arpc2,Abracl,Cks1b
Arpc5,Reep5,Ncald
Ptms,Adap1,Tyms
Pfkp,Carhsp1,Thy1
Runx2,Tk1,Mapre2
Gnai2,Zbtb32,Icos
Icos,Mt1,Acot7
Pglyrp1,Gapdh,Bcl2a1d
Btf3,Cdk1,Rrm2
Gna15,Zdhhc2,Il18r1
Prf1,Rpa2,Prf1
Lmnb1,Asf1b,Rac2
Osbpl3,Rilpl2,Dusp2
Ube2s,Atp2b4,Cdca8
Capzb,Cdkn3,1810037I17Rik
Polr1d,S100a13,Pglyrp1
Ppib,Emp1,Ccnb2
Cox7c,Tmem163,Dut
Oaz1,Icos,Zeb2
Ostf1,Nr4a2,Ube2s
Acot7,Prr13,Prelid1
Nr4a2,S100a11,Tbx21
Hspa8,Casp3,Casp3
Mapre2,Ncapg,Ppp1ca
Anxa6,Cenpw,Cdca3
Arl6ip1,Dut,Sh3bgrl3
Cox4i1,Uhrf1,Nr4a2
Ctla4,Fignl1,Arpc3
Zeb2,Bub1,Cox17
Klrg1,AA467197,Spc24
Supt4a,Tacc3,Eif4e2
Cox17,Sept11,Racgap1
Cd47,Ccnb1,Prdx1
Calm2,Klf6,Hint1
Myl12a,Prc1,Phf11b
Ifngr1,Esm1,Itgax
Ube2l3,Cenpf,Cfl1
Hsp90aa1,Pglyrp1,Ccna2
Mbd2,Kif4,Cenpw
Calm3,Nuf2,Ccl3
Ccl3,Hist1h2ap,Ap2s1
Ncald,Cdc25b,Anxa1
Sumo2,Zyx,Pik3ap1
Atxn1,Il18r1,Ifngr1
Ywhah,H2ac8,Arpc5
Ybx1,Cyba,Hsp90aa1
Phf11b,Gng2,Itgb2
Ap2s1,Il2rb,Ube2c
Hspa5,Knl1,Anxa6
1500009L16Rik,Cdc20,Cenpa
Eif4e2,Mt3,Polr1d
Sec61b,Stard10,Supt4a
Gmfg,Dnajc15,S1pr4
Dut,Efhd2,Mbd2
Hsp90b1,Prf1,Ostf1
Bcl2a1d,Plk1,Zbtb32
Sdf2l1,Car5b,Asf1b
Top2a,Cenph,Hsp90b1
Psmb3,Cenpm,Cdc25b
Casp3,Gmnn,Mcm6
Itgb2,Lamc1,Ezh2
Dek,Bub1b,Cox6b1
S1pr4,Dapk2,Pfn1
Mki67,Clspn,Itgal
Tmem14c,Ncapg2,Alyref
Slc25a5,H1f4,Vmp1
Ms4a4b,Smc2,Wdr95
Racgap1,Nusap1,Calm2
Tbx21,Cenpa,Ywhah
Ywhaq,Rad51,Arpc2
Vmp1,E2f8,Calm3
Itgal,Racgap1,Kif15
Sh2d1a,Aurkb,Havcr2
Pclaf,Stx11,Gmnn
Alyref,H3f3b,Tk1
Atp5pb,Myl6,Capzb
Psmd8,Ska1,Tpx2
Ywhae,Smpdl3b,Mt1
Atp5j,Cenpk,Sh2d1a
Txndc5,Dtl,Atxn1
Atp5c1,Srgn,Arl6ip1
Selenok,Cox5b,Smc2
Arf1,Ube2s,Gnai2
Cdc25b,Cdc42,Hspa8
Dynll1,Prdx4,Hmmr
Actr3,Pfkp,Carhsp1
Sytl3,Hells,Btf3
Gpr183,Prdm1,H1f5
Birc5,Mcm5,Kif11
Ubald2,Shcbp1,Ube2l3
Pik3ap1,Rap1gap2,Glrx
Hif1a,Ezh2,Cdk1
Sh2d2a,Depdc1a,Ccdc50
Atp5d,Rrm1,Dek
Rps27l,Lig1,Gmfg
Mcm6,Lxn,Hif1a
Cenpa,Ccdc50,Mcm5
Tyms,Cd44,Tacc3
Ccdc50,Cdc45,Hip1
Manf,Rap1b,Rrm1
Cks1b,Cdca5,Sh2d2a
Nfkbia,Phlda1,Uhrf1
Itgax,Gins2,H2-Q10
H2-Q10,Rbm3,H1f4
Tagln2,Cit,Cenpe
Ndufb7,Arsb,Sytl3
Hprt,Aspm,Oaz1
Glrx,Mcm6,Txndc5
Nr4a1,Nsd2,Cd47
Mrpl33,Clic1,Ywhaq
Ndufb9,Mad2l1,Nsd2
Spn,Cep55,Ppib
Nptn,Rom1,Spn
Fam107b,Ly6a,Selenok
Cd44,Dgkh,Etfb
Arpc1b,Dusp2,Atp2b4
1110008P14Rik,Rad51ap1,Ybx1
Hmgb1,Esco2,Ubald2
Ube2n,Cox5a,Adap1
Ubb,Kif22,Hspa5
Fkbp1a,Glrx,Tmem14c
Smap1,Hsp90aa1,Psmd8
Atpif1,Spc25,Fasl
Ube2c,Phf11b,Ube2n
Sec61g,Krtcap2,Dtl
Anp32b,H4c9,Smap1
Atox1,E2f2,Myl12a
Dbi,Atxn1,Rbbp8
Snx10,Thy1,Cd44
Arhgdib,Fabp5,Lig1
Ezh2,Snx10,Fam107b
Rrm2,Rbbp8,Atox1
Arpc4,Cox8a,Arf1
Snrpe,Ckap2l,Atpif1
Rac1,Incenp,Clspn
Etfb,Hsp90b1,Nptn
Cenpw,Kif2c,Cox4i1
Smdt1,Pmaip1,Manf
Nap1l1,Prelid1,Ccnb1
Ube2g2,Ckap2,Hells
Pgk1,Alyref,Hmgn2
Ap3s1,1810037I17Rik,Cox7c
Cwc15,Bspry,Phlda1
Anxa1,Fhl2,Cdkn3
Rbbp8,H2-Q10,Mad2l1
Pomp,Calm1,Ywhae
Mrpl18,Sdcbp2,Cx3cr1
Ccnb2,Eif4e2,Ncapg
Cdca8,H3c3,Zdhhc2
Tmem167,Sytl3,Prc1
Ldha,Hmgb3,Tipin
Dnajb6,Cox17,Fignl1
H1f2,Txndc5,Arsb
Ndufb8,Mis18bp1,Rps27l
Cox7a2,Chaf1a,Rom1
Gramd3,Nr4a1,Hprt
