wilcoxon,t-test,t-test_overestim_var
Ifi27l2a,Ifi27l2a,Ifi27l2a
Gm8369,Gm8369,Gm8369
Cd52,Cd52,Cd52
Trbc2,Slamf6,Slamf6
Slamf6,Ifi213,Trbc2
mt-Co1,Cd9,mt-Co1
Ms4a4b,Tcf7,Tcf7
Rac2,mt-Co1,Ms4a6b
S100a11,Xaf1,B2m
B2m,Rtp4,Shisa5
Cd3d,Saraf,Cd9
Ms4a6b,Zbp1,Ltb
Trac,Tnfsf8,Ms4a4b
Tmsb10,Trim30a,Rac2
Cd9,Trbc2,Gimap6
Tcf7,Asap1,S100a11
Shisa5,Oas1a,Gmfg
Cd28,Cxcl10,Tmsb10
Gmfg,Lag3,Cd3d
Ltb,Sdcbp2,Cd28
Limd2,Phf11c,Trac
Gimap6,Slfn1,Saraf
Cox7a2l,Trbv13-3,Tnfaip3
Saraf,Ms4a6b,Asap1
Slfn2,Cd28,Limd2
Cd3e,Tnfaip3,Ctla4
Srgn,Ctla4,Rtp4
Pnrc1,B2m,Fyn
Tnfaip3,Slfn5,Trim30a
Emb,Rac2,Cox7a2l
Serf2,Gimap6,Slfn1
Fyn,Ifi209,Slfn2
Rhoh,Usp18,Srgn
Fxyd5,Gmfg,Ifi213
Ctla4,Ifi208,Emb
Traf1,S100a11,Rhoh
Arpc3,Ltb,Xaf1
Slfn1,Shisa5,Serf2
Asap1,Aff3,Tnfsf8
mt-Co3,Rnf213,Cd3e
Trim30a,Icos,mt-Co3
mt-Atp6,Rhoh,Zbp1
Cd8b1,Isg15,Cotl1
Lsp1,Ifit3,Traf1
Tspo,Tmsb10,Pnrc1
Cd3g,Vgll4,Icos
Ly6e,Ifi206,Clk1
Clk1,Ifit1,Ifi209
Cotl1,Cotl1,Lag3
Coro1a,Serf2,Arpc3
Rinl,Cd3d,Fxyd5
Rtp4,Emb,Utrn
Akap13,Oas3,Sept1
Icos,Irf2bp2,Tspo
Sept1,Eva1b,Cd8b1
Mndal,Ms4a4b,mt-Atp6
Map4k4,Trac,Ly6e
Eif3f,Cox7a2l,Ptms
Ucp2,Ptms,Gimap3
Ifi209,Limd2,Lsp1
Ighm,Fyn,Ighm
Utrn,Slfn2,Laptm5
Ptprc,Irf7,Akap13
Ptms,Mxd4,Ptprc
Tnfsf8,Srgn,Mndal
Xaf1,Tnfrsf25,Itgb1
Il2rg,Clk1,Map4k4
Abracl,Utrn,Cd3g
Cd27,Traf1,Ucp2
Gimap3,Itgb1,Irf2bp2
Laptm5,Gpr183,Ifi206
Arhgdib,Cblb,Eif3f
Selenow,Tox,Abracl
Itgb1,Arl5c,Rinl
Zbp1,Cd3e,Nr4a2
Ablim1,Pnrc1,Trbv13-3
S100a13,Ifi214,Rnf213
Cd69,Inpp4b,Il2rg
Pdcd4,Ucp2,Coro1a
Ly6a,Ly6e,S100a13
Gimap5,Fxyd5,Vgll4
Crtam,Crtam,Tox
Uqcrh,Mndal,Phf11c
Rilpl2,Map4k4,Evl
Irf2bp2,Ccr6,Cd27
Ifi213,Ighm,Ablim1
Itga4,Itgal,Gimap4
mt-Co2,Akap13,Ly6a
Ctsw,Laptm5,Crtam
H2-T23,Nr4a2,Selenow
Nr4a2,Lsp1,Cblb
Gimap4,Arpc3,Oas1a
Lag3,mt-Co3,Itgal
Evl,S100a13,Arl5c
Myl6,Tspo,Eva1b
Fau,Sept1,Isg15
Junb,Actn1,Pdcd4
Ets1,Maml2,Rilpl2
Zfp36l1,Gstp3,Cxcl10
H2-K1,Il2rg,Nfkbiz
Nfkbiz,Nfkbiz,Gpr183
Itgal,Tgif1,Gimap5
Epsti1,Rinl,Usp18
Cblb,mt-Atp6,Uqcrh
Tpt1,Tagap,Cd69
Stk17b,Ablim1,mt-Co2
Prr13,Uqcrh,Irf7
Ubl5,Evl,Oas3
Ifi203,Cd27,H2-T23
Arl5c,Mgat5,Ets1
Btg1,Id3,Sdcbp2
S100a6,Gimap3,Ifi208
Tox,Mctp2,Itga4
S100a10,Selenow,Ctsw
Rnf213,Cd8b1,Arhgdib
Ifi206,Eif3f,Ifi203
Jak1,Orai1,H2-K1
Rgs10,Prkca,Btg1
Ubc,Lpxn,Actn1
Pfdn5,Pdcd4,Inpp4b
