,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.5468441,-0.5329002141952515,False,,,,,,,,,,,,,,,,0.020802319049835205
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,2.3048265,-1.032850742340088,False,,,,,,,,,,,,,,,,-0.46635663509368896
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.88674045,-0.6067473888397217,False,,,,,,,,,,,,,,,,-0.6017731428146362
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.4550725,-1.2122454643249512,False,,,,,,,,,,,,,,,,0.09759926795959473
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5504862,-0.35431969165802,False,,,,,,,,,,,,,,,,-0.32778918743133545
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,9.826722,-10.67172622680664,False,,,,,,,,,,,,,,,,-6.884776592254639
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.5106624,-1.496518850326538,False,,,,,,,,,,,,,,,,-0.7012642621994019
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.8405343,-0.7076671123504639,False,,,,,,,,,,,,,,,,-0.40981197357177734
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0038117627,-4.90550422668457,False,,,,,,,,,,,,,,,,0.025067031383514404
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,8.000207,-10.56271743774414,False,,,,,,,,,,,,,,,,-9.717092514038086
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08849153,-2.133742570877075,False,,,,,,,,,,,,,,,,-0.22230398654937744
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.13970514,-1.3072359561920166,False,,,,,,,,,,,,,,,,0.01167595386505127
