comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval,old_names
P9_A,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,1.943293797011819,7.398753894080997e-4,1.1380448389666553e-4,29,3.130841418443987,3.943840626401261,0_A
P9_A,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,1.949872428657328,7.398753894080997e-4,1.1514104778353483e-4,29,3.130841418443987,3.9387698227831174,0_A
P9_A,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_up,1.8967586196640391,7.398753894080997e-4,1.2027904738994468e-4,30,3.130841418443987,3.9198100201701958,0_A
P9_A,2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,1.7462280830733252,7.398753894080997e-4,2.5624599615631005e-4,25,3.130841418443987,3.591342911734455,0_A
P9_A,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,-2.5150517539317168,7.398753894080997e-4,3.15955766192733e-4,61,3.130841418443987,3.500373714353374,0_A
P9_A,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,-2.4254654511815903,7.398753894080997e-4,3.1959092361776926e-4,55,3.130841418443987,3.495405563146193,0_A
P9_A,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,-2.7542672120897094,7.398753894080997e-4,3.645643456069996e-4,60,3.130841418443987,3.4382258076045296,0_A
P9_A,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,-3.149773639988519,7.398753894080997e-4,4.100041000410004e-4,70,3.130841418443987,3.3872118003137306,0_A
P9_A,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_dn,-2.784273288820662,7.398753894080997e-4,4.23908435777872e-4,50,3.130841418443987,3.3727279408855955,0_A
P9_A,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,-3.074706145283783,7.398753894080997e-4,4.4464206313917296e-4,55,3.130841418443987,3.351989455435632,0_A
P9_A,2016_SCIENCE_Mackay---TCM_vs_TEM-TRM,-2.10848207411303,7.398753894080997e-4,4.6040515653775324e-4,41,3.130841418443987,3.336859820916809,0_A
P9_A,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_up,1.5866771663504082,7.398753894080997e-4,4.6728971962616824e-4,28,3.130841418443987,3.330413773349191,0_A
P9_A,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_up,-1.6619194887938067,8.110646290446512e-4,5.549389567147614e-4,32,3.090944537997052,3.255754786643044,0_A
P9_A,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,-2.436563119428487,0.0016550522648083625,0.0012195121951219512,48,2.7811882871091256,2.9138138523837167,0_A
P9_A,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,-2.225732248781373,0.001910507792860734,0.0015082956259426848,43,2.7188511865076253,2.821513528404773,0_A
P9_A,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,1.54445064182882,0.0037410638555676725,0.003150369562583303,23,2.4270048788416236,2.501638497138528,0_A
