pathway,comparison,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval,old_names
2013_IMMUNITY_Locci---GC-Tfh,P0_A,-2.5818644576437304,0.0006743915149285758,0.00010455876202425764,19,0.9931600721058976,1.2216394006212672,0_A
2013_IMMUNITY_Locci---non-GC-Tfh,P0_A,-1.9817179650638743,0.0006743915149285758,0.00011743981209630063,13,0.004231621853245365,0.04561571683185005,0_A
2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_dn,P0_A,-1.4085479966491306,0.11195540560363797,0.02529877386310725,13,0.06560802292231334,0.12553942063477078,0_A
2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_up,P0_A,-2.1555570826801063,0.0018334606569900683,0.00016866250632484398,10,0.24849907591160755,0.2862876368010073,0_A
2015_NAT_IMMUNOL_Choi---GC-Tfh,P0_A,-2.2974014888677052,0.0007703530784943098,0.00011033873993158998,11,0.007200056337472645,0.07086913620684991,0_A
2015_NAT_IMMUNOL_Choi---Tfh,P0_A,-2.3750538271480535,0.0007703530784943098,0.0001143772160585611,20,0.1676883018832748,0.2882622330891247,0_A
2015_PLOA_PATHOGENS_Gupta---CD39pos_vs_CD39neg_dn,P0_A,-1.8133023290341197,0.0012752391073326248,0.00020894274968658591,13,0.04859624243602848,0.12777748848365328,0_A
2015_PLOA_PATHOGENS_Gupta---CD39pos_vs_CD39neg_up,P0_A,-1.4245383747512352,0.07944097094520045,0.018980812873942644,7,0.02058072234077726,0.07173324478815854,0_A
2016_IMMUNITY_De_Simone---Th17_vs_Th1-or-Treg,P0_A,-1.2164040889904404,0.11605026078710287,0.07033349138612296,10,-0.0,0.0008002971832906243,0_A
2016_IMMUNITY_De_Simone---Th1_vs_Th17-or-Treg,P0_A,-2.08592899140243,0.0006743915149285758,0.00018162005085361425,18,0.3401224980566324,0.4907937736489916,0_A
2016_IMMUNITY_De_Simone---Treg_vs_Th1-or-Th17,P0_A,-2.206761558452827,0.0009156993125211314,0.00010347682119205298,9,0.23945900973659284,0.3594193482470711,0_A
2016_SCIENCE_Mackay---TCM_vs_TEM-TRM,P0_A,-2.7219439722885794,0.0003322840153899965,0.00012100677637947724,13,0.4157111437591213,0.4157111437591213,0_A
2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,P0_A,-2.6733386315086367,0.0003322840153899965,0.00017271157167530224,15,0.0035595130451678593,0.0035595130451678593,0_A
2016_SCIENCE_Mackay---TRM_vs_TCM-TEM,P0_A,-1.683361740229098,0.00030313666677303036,9.999000099990003e-05,12,0.4289564580599327,0.5615820233345237,0_A
2017_CELL_REP_Kumar---CD4Lung_CD69pos_vs_neg_dn,P0_A,-2.155137076417605,0.0021235521235521237,0.0003750937734433609,4,0.05704643564470883,0.09843912080293392,0_A
2017_CELL_REP_Kumar---CD4Lung_CD69pos_vs_neg_up,P0_A,-1.6396268317155216,0.0012422360248447205,0.00012589701624071508,18,-0.0,0.031662215051658275,0_A
2017_CELL_REP_Kumar---CD4Spleen_CD69pos_vs_neg_dn,P0_A,-1.6799566866233586,0.0028095866502064622,0.0005319148936170213,12,0.1836061947285617,0.3078269180022186,0_A
2017_CELL_REP_Kumar---CD4Spleen_CD69pos_vs_neg_up,P0_A,-1.3948944518479955,0.016995808766072318,0.0036343304445065703,9,0.08172562353157467,0.10637681084864113,0_A
2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_dn,P0_A,-1.4458929871164399,0.05909943714821764,0.021341463414634148,3,0.0018632612716550606,0.0018632612716550606,0_A
2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_up,P0_A,-1.8247918760227384,0.0007844504488799791,0.00012281994595922374,15,0.0971172078378372,0.15979127892120287,0_A
2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_dn,P0_A,-1.8740445156054155,0.0046875,0.001171875,8,0.12655661770597526,0.16962610194664993,0_A
2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_up,P0_A,-1.3687625079542691,0.0624228028503563,0.017339667458432306,9,0.00461323882523529,0.00461323882523529,0_A
2017_IMMUNITY_WOLSKI---chronic_early_vs_late_dn,P0_A,-1.5801189305969139,0.027887021809081158,0.013321492007104795,14,0.0026804625984420704,0.0026804625984420704,0_A
2017_IMMUNITY_WOLSKI---chronic_early_vs_late_up,P0_A,-1.6583220564138117,0.0111766532132878,0.0009313877677739832,20,0.10179662507612636,0.1879157135711976,0_A
2017_IMMUNITY_WOLSKI---early_Resolver_vs_Chronic_dn,P0_A,-1.7370599248385543,0.013711673966863454,0.00609407731860598,21,0.07911982826563604,0.0913542846826476,0_A
2017_IMMUNITY_WOLSKI---early_Resolver_vs_Chronic_up,P0_A,-1.3838581364884102,0.1843655468874383,0.06982343499197431,15,0.034650444891140456,0.04688490130815203,0_A
2017_IMMUNITY_WOLSKI---late_Resolver_vs_Chronic_dn,P0_A,-1.2930323751254087,0.08261860091128384,0.02983449477351916,18,0.011122281281706241,0.011122281281706241,0_A
