gene_name,KO_48h-KO_NAV,KO_48h-WT_48h,KO_48h-WT_NAV,KO_DP-KO_NAV,KO_DP-WT_DP,KO_DP-WT_NAV,KO_EE-KO_NAV,KO_EE-WT_EE,KO_EE-WT_NAV,KO_MP-KO_NAV,KO_MP-WT_MP,KO_MP-WT_NAV,KO_NAV-WT_NAV,KO_TE-KO_NAV,KO_TE-WT_NAV,KO_TE-WT_TE,WT_48h-WT_NAV,WT_DP-WT_NAV,WT_EE-WT_NAV,WT_MP-WT_NAV,WT_MP-WT_TE,WT_TE-WT_NAV
Rpl17-ps5,0.872,1.0,0.985,0.769,1.0,0.545,0.973,1.0,0.833,1.0,0.972,1.0,,0.815,1.0,,0.748,0.563,0.548,0.809,,1.0
Gm21242,,,,,,,,,,,,,,,,,,,,,,
Gm10563,0.553,1.0,0.076,0.772,0.988,0.536,0.832,1.0,0.2,1.0,0.984,0.217,,0.361,0.034,0.619,0.003,0.626,0.367,0.156,0.749,0.515
Polr3gl,0.0,1.0,0.0,0.017,0.966,0.053,0.013,1.0,0.042,0.225,0.828,0.258,0.783,0.267,0.471,0.701,0.0,0.024,0.048,0.02,0.89,0.052
Tonsl,0.0,1.0,0.0,0.86,0.98,0.022,0.976,1.0,0.038,1.0,0.896,0.017,0.092,0.943,0.032,0.967,0.0,0.039,0.033,0.148,0.31,0.066
St8sia4,0.0,1.0,0.0,0.0,0.828,0.002,0.006,0.148,0.163,0.004,0.201,0.095,0.329,0.009,0.203,0.692,0.0,0.049,0.264,0.452,0.473,0.911
C4bp-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Adipoq,,,,,,,,,,1.0,,,,,,,,,,,,
Sri,0.0,0.977,0.0,0.87,0.797,0.013,0.603,1.0,0.003,1.0,0.906,0.011,0.065,0.781,0.008,0.931,0.0,0.228,0.006,0.094,0.804,0.032
Vmn1r-ps56,,,,,,,,,,0.972,,,,,,,,,,,,
Gm44133,,,,,,,,,,1.0,,,,,,,,,,,,
Cideb,,,,,,,,,,1.0,,,,,,,,,,,,
Gm11945,,,,,,,,,,1.0,,,,,,,,,,,,
Ngb,,,,,,,,,,1.0,,,,,,,,,,,,
Casp14,,,,,,,,,,1.0,,,,,,,,,,,,
Proser2,0.5,,0.942,0.451,,0.91,0.041,,0.191,0.604,,0.758,,0.08,0.298,,0.766,0.214,0.193,0.979,,0.208
BC022960,0.002,1.0,0.041,0.102,0.976,0.438,0.507,1.0,0.984,1.0,0.947,0.809,,0.409,0.924,,0.06,0.576,0.91,0.882,,0.478
Gm12311,,,,,,,,,,,,,,,,,,,,,,
Ckm,0.006,1.0,0.099,0.476,0.39,0.902,0.031,1.0,0.244,0.18,0.519,0.487,,0.662,0.718,0.838,0.19,0.049,0.107,0.006,0.101,0.799
Gm16265,,,,,,,,,,1.0,,,,,,,,,,,,
Stk36,,,,,,0.949,,,,1.0,,,,,,,,,,,,
Peak1,0.693,1.0,0.462,0.71,0.649,0.368,0.001,0.644,0.08,0.918,0.973,0.533,0.257,0.166,0.973,0.732,0.256,0.652,0.985,0.369,0.055,0.316
Plpbp,0.815,0.85,0.049,0.575,0.972,0.019,0.479,1.0,0.479,0.947,0.842,0.392,0.185,0.936,0.146,0.963,0.0,0.009,0.251,0.053,0.67,0.255
Gm48330,,,,,,,,,,,,,,,,,,,,,,
Slc37a2,0.98,1.0,0.042,0.0,0.163,0.183,0.0,1.0,0.076,0.001,0.86,0.23,,0.001,0.259,0.901,0.016,0.232,0.109,0.798,0.912,0.585
Il1f10,,,,,,,,,,1.0,,,,,,,,,,,,
Gm48373,,,,,,,,,,,,,,,,,,,,,,
Dok5,0.677,,0.723,0.752,,0.558,,,0.252,1.0,,0.562,,0.797,0.177,,0.038,0.181,0.171,0.534,,0.462
C130073F10Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Ttc17,0.0,1.0,0.0,0.381,0.962,0.015,0.883,0.937,0.274,0.345,0.999,0.003,0.275,0.854,0.11,0.983,0.0,0.006,0.012,0.003,0.379,0.164
