,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.55357885,-0.723196268081665,False,,,,,,,,,,,,,,,,0.04246377944946289
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.71557546,-0.6156113147735596,False,,,,,,,,,,,,,,,,-0.5809814929962158
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.831493,-0.6900044679641724,False,,,,,,,,,,,,,,,,-0.618354082107544
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.4786042,-1.6111338138580322,False,,,,,,,,,,,,,,,,-0.152610182762146
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.373559,-1.1246235370635986,False,,,,,,,,,,,,,,,,-0.9067555665969849
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,8.695716,-8.158614158630371,False,,,,,,,,,,,,,,,,-5.203403472900391
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.45394498,-0.8093999624252319,False,,,,,,,,,,,,,,,,-0.6036244630813599
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.2269033,-1.516826868057251,False,,,,,,,,,,,,,,,,-0.21667182445526123
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0038834212,-4.358600616455078,False,,,,,,,,,,,,,,,,0.0569225549697876
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,5.8936496,-7.222402572631836,False,,,,,,,,,,,,,,,,-6.256397724151611
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.120879,-3.885676383972168,False,,,,,,,,,,,,,,,,-0.14040875434875488
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.10559876,0.08268606662750244,True,1.6407342393179773,2.550174539269327,0.22354765366066673,15.588965205143552,0.04582917457446456,0.13910983502864838,1.4342260360717773,0.3722546532123241,0.0,0.0,0.46973662420393464,0.4299492525705903,4.846497240251509,0.44144387456258694,3.8503532271372785,0.1816476583480835
