comparison,pathway,NES,padj,leadingEdge_signal,mlog10padj
CD25KO,2020_NAT_IMMUNOL_Hayward---Parenchyma_TRM,2.0126051437254073,0.0021220159151193636,28,2.6732513632138493
CD25KO,2018_SCI_IMMUNOL_Patil---CD4_CTL_EFF,2.0157577222539764,0.0021220159151193636,31,2.6732513632138493
CD25KO,2020_NAT_IMMUNOL_Hayward---Lung_Vasculature_TRM,2.0573574509564994,0.0021220159151193636,39,2.6732513632138493
CD25KO,2019_JCI_Tian---DENV_TEM,1.8571773812206653,0.0029392553886348795,29,2.5317626769229173
CD25KO,2019_JCI_Tian---DENV_TEMRA,1.6105060784680432,0.0072264280798348245,24,2.1410763152280836
CD25KO,2019_EJI_Remmerswaal---TE,1.8142860755745382,0.0072264280798348245,24,2.1410763152280836
CD25KO,2020_NAT_IMMUNOL_Hayward---Lung_Intersitium_TRM,1.8300827313065486,0.008528784648187635,33,2.069112851387121
CD25KO,2017_NAT_Akondy---YFV_MEM,1.669816799902645,0.018084393837910245,24,1.7426960435660381
CD25KO,2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_dn,-1.5913303742800955,0.0469437652811736,27,1.3284220793037922
CD25KO,2019_JCI_Tian---unstimuTEMRA_vs_unstimuTEM_up,1.613808648641483,0.08279608837377762,26,1.0819901805800003
CD25KO,2018_SCI_IMMUNOL_Patil---CD4_TCM,-1.2631328282590917,0.18969610016955785,20,0.7219415973783422
CD25KO,2017_NAT_Akondy---YFV_D14,1.2150840419055637,0.29578546125560656,17,0.5290231766935541
CD25KO,2015_PLOA_PATHOGENS_Gupta---CD39pos_vs_CD39neg_dn,1.305079728125417,0.29578546125560656,15,0.5290231766935541
CD25KO,2017_IMMUNITY_WOLSKI---early_Resolver_vs_Chronic_dn,1.3754720529065556,0.29596706023505037,27,0.5287566212187456
CD25KO,2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_up,1.3125872495327082,0.3305595408895265,21,0.48075030334683505
CD25KO,2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_up,1.2046827675182552,0.38825441813937983,24,0.4108835935192092
CD25KO,2017_IMMUNITY_WOLSKI---resolver_early_vs_late_up,1.2211820177371446,0.4536432741621598,42,0.3432855237063841
CD25KO,2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_dn,-1.1526173631057943,0.48963245492371704,38,0.3101298030211299
CD25KO,2018_SCI_IMMUNOL_Buggert---CD69pos_CD69neg_dn,1.1244527490640939,0.48963245492371704,36,0.3101298030211299
CD25KO,2018_SCI_IMMUNOL_Buggert---CD69pos_CD69neg_up,1.1244527490640939,0.48963245492371704,36,0.3101298030211299
CD25KO,2017_IMMUNITY_WOLSKI---early_Resolver_vs_Chronic_up,1.142271294163169,0.5754505986054467,75,0.23999195383080515
CD25KO,2017_IMMUNITY_WOLSKI---late_Resolver_vs_Chronic_dn,1.0848806639870465,0.5754505986054467,33,0.23999195383080515
CD25KO,2017_IMMUNITY_WOLSKI---chronic_early_vs_late_up,1.0454338708748672,0.6753057065217392,14,0.17049958035470142
CD25KO,2020_NAT_IMMUNOL_Hayward---Spleen_TCM,0.9697022928524163,0.6991591150297982,16,0.15542397602025892
CD25KO,2019_EJI_Remmerswaal---EE,0.9784848187506366,0.6991591150297982,18,0.15542397602025892
CD25KO,2017_IMMUNITY_WOLSKI---chronic_early_vs_late_dn,-0.9808096187497316,0.6991591150297982,64,0.15542397602025892
CD25KO,2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_dn,-0.9619744672634082,0.6991591150297982,24,0.15542397602025892
CD25KO,2020_NAT_IMMUNOL_Hayward---Airway_TRM,0.9367766780160361,0.7055040421520263,18,0.1515004936328211
CD25KO,2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_up,-0.8971882447699914,0.7426854754440961,28,0.12919506941436382
CD25KO,2019_EJI_Remmerswaal---DP,-0.9024052584016018,0.7633993239980686,17,0.11724822896124351
CD25KO,2019_EJI_Remmerswaal---MP,-0.8506209005170778,0.7691063006886752,29,0.11401363079414223
CD25KO,2015_PLOA_PATHOGENS_Gupta---CD39pos_vs_CD39neg_up,-0.8671463538545128,0.7691063006886752,20,0.11401363079414223
CD25KO,2019_JCI_Tian---DENV-TEMRA_vs_DENV-TEM_up,-0.8317376390164163,0.7691063006886752,36,0.11401363079414223
CD25KO,2017_IMMUNITY_WOLSKI---late_Resolver_vs_Chronic_up,-0.7075954822460322,0.8514464056230165,55,0.06984268354954988
CD25KO,2017_IMMUNITY_WOLSKI---resolver_early_vs_late_dn,0.7364780242313718,0.8514464056230165,27,0.06984268354954988
CD25KO,2017_NAT_Akondy---NAV,0.6005871893621373,0.9808488612836439,17,0.008397907775383386
CD25WT,2017_NAT_Akondy---YFV_D14,2.7199870470742398,9.74025974025974e-4,55,3.0114294617807817
CD25WT,2020_NAT_IMMUNOL_Hayward---Parenchyma_TRM,2.3362060607188777,9.74025974025974e-4,35,3.0114294617807817
CD25WT,2018_SCI_IMMUNOL_Patil---CD4_CTL_EFF,2.443701854117936,9.74025974025974e-4,38,3.0114294617807817
CD25WT,2019_EJI_Remmerswaal---TE,2.146730879167232,9.74025974025974e-4,32,3.0114294617807817
CD25WT,2020_NAT_IMMUNOL_Hayward---Lung_Vasculature_TRM,2.097192853171975,9.74025974025974e-4,34,3.0114294617807817
CD25WT,2020_NAT_IMMUNOL_Hayward---Lung_Intersitium_TRM,1.941903282250901,9.74025974025974e-4,44,3.0114294617807817
CD25WT,2019_EJI_Remmerswaal---MP,-2.126887181339587,0.0013186813186813187,49,2.8798601462734688
CD25WT,2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_up,1.8894518306688086,0.0019342359767891683,32,2.7134905430939424
CD25WT,2018_SCI_IMMUNOL_Patil---CD4_TCM,-2.076134076859081,0.0019342359767891683,29,2.7134905430939424
CD25WT,2015_PLOA_PATHOGENS_Gupta---CD39pos_vs_CD39neg_dn,1.8350588108142334,0.002194118543349078,29,2.6587399121616735
CD25WT,2017_NAT_Akondy---NAV,-1.9013928104324231,0.0038299909569657962,31,2.4168022514476935
CD25WT,2019_JCI_Tian---unstimuTEMRA_vs_unstimuTEM_up,1.8228425591241642,0.0038747174685179204,28,2.411759959309162
CD25WT,2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_up,1.7274017583854642,0.008396098283738733,49,2.07592248625977
CD25WT,2017_IMMUNITY_WOLSKI---chronic_early_vs_late_up,1.700462014433945,0.010718345693715152,78,1.9698722399727755
CD25WT,2019_EJI_Remmerswaal---EE,1.6099700449825716,0.0253558327219369,28,1.595922122027818
CD25WT,2019_JCI_Tian---DENV_TEM,1.386022076090555,0.11173469387755103,19,0.9518119565163576
CD25WT,2017_IMMUNITY_WOLSKI---early_Resolver_vs_Chronic_dn,1.4882207906965013,0.12961396414054924,36,0.8873482066252479
CD25WT,2019_JCI_Tian---DENV_TEMRA,1.285978934509646,0.17644032921810698,26,0.7534021405474853
CD25WT,2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_up,1.330678546345628,0.24311498681808966,28,0.6141882682575306
CD25WT,2017_IMMUNITY_WOLSKI---chronic_early_vs_late_dn,-1.341140008898952,0.24311498681808966,99,0.6141882682575306
CD25WT,2019_JCI_Tian---DENV-TEMRA_vs_DENV-TEM_up,1.2555702607711594,0.34592161360832774,12,0.46102230188393495
CD25WT,2017_IMMUNITY_WOLSKI---late_Resolver_vs_Chronic_up,-1.2292559195668984,0.34592161360832774,67,0.46102230188393495
CD25WT,2017_IMMUNITY_WOLSKI---resolver_early_vs_late_up,1.2292988947878691,0.34592161360832774,28,0.46102230188393495
