comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval,old_names
P9_A5P,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,-2.240751010631078,0.0025641025641025637,4.248088360237893e-4,40,2.591064607026499,3.371806458507416,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,-2.227549436899737,0.0025641025641025637,4.297378599054577e-4,47,2.591064607026499,3.36679638328673,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,-2.339458970797084,0.0025641025641025637,5.76036866359447e-4,42,2.591064607026499,3.239549720840473,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,-2.905271634989277,0.0025641025641025637,7.002801120448179e-4,46,2.591064607026499,3.1547282074401557,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_dn,-1.7764074403999475,0.0025641025641025637,7.326007326007326e-4,35,2.591064607026499,3.1351326513767748,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,-2.6907512207182216,0.0025641025641025637,8.097165991902834e-4,39,2.591064607026499,3.0916669575956846,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,1.4545446332224434,0.00729646697388633,0.002688172043010753,20,2.1368873789433254,2.5705429398818973,0_A5P
P9_A5P,2016_SCIENCE_Mackay---TCM_vs_TEM-TRM,-1.6050231157808428,0.008589511754068717,0.003616636528028933,33,2.0660315216798315,2.441695135640717,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_up,1.4342488957394133,0.02047656268504702,0.009699424429759114,19,1.6887429447765419,2.013254036290046,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,1.3648564952534243,0.03187655343827672,0.016777133388566696,17,1.4965286415938328,1.775282242546662,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_up,1.2333254016833712,0.14545830746948066,0.08421270432443617,14,0.8372614701190565,1.0746223859136603,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_up,1.2071024232646332,0.19993346640053225,0.12627376825296774,22,0.6991145042481499,0.898686859153354,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_up,1.1915966216041554,0.24879678068410463,0.17485029940119762,24,0.604155243515682,0.7573336196991649,0_A5P
P9_A5P,2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,1.192801358159491,0.24879678068410463,0.18332394366197183,25,0.604155243515682,0.736780808790273,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,1.0621760829248326,0.46623853865639153,0.36808305683399334,19,0.3313918311284891,0.43405417302563676,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_up,0.9970938861332989,0.5830731129535911,0.4910089372240767,20,0.2342769845866939,0.3089106028835981,0_A5P
P9_A5P,2016_SCIENCE_Mackay---TRM_vs_TCM-TEM,0.9364921581555936,0.8182513577602692,0.7321196358907672,18,0.08711326537552978,0.13541794495008483,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,-0.6911485214660908,1,1,36,-0,-0,0_A5P
P9_A5P,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,0.3708102631072911,1,1,6,-0,-0,0_A5P
P9_A5T,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,1.8585907940203266,7.36348486610084e-4,1.1031439602868175e-4,25,3.1329166014329806,3.9573678084315276,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,1.9814158814653802,7.36348486610084e-4,1.1144544745347152e-4,23,3.1329166014329806,3.9529376677509807,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_up,1.7392231728793914,7.36348486610084e-4,1.162655505173817e-4,25,3.1329166014329806,3.934548947666147,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,-2.1730855258421746,8.907641819034224e-4,3.139717425431711e-4,46,3.0502372544966,3.503109436671369,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,-2.380906701307157,8.907641819034224e-4,3.161555485298767e-4,46,3.0502372544966,3.500099191915723,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_up,1.6408844832452711,8.907641819034224e-4,3.4230944774075767e-4,25,3.0502372544966,3.465581114169005,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,-2.628228657124038,8.907641819034224e-4,3.6859565057132326e-4,52,3.0502372544966,3.433449793761596,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,-3.09785057434872,8.907641819034224e-4,4.233700254022015e-4,61,3.0502372544966,3.373279893277496,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_dn,-2.3301120604070458,8.907641819034224e-4,4.472271914132379e-4,36,3.0502372544966,3.3494717992143856,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,-3.1383028435506315,8.907641819034224e-4,4.6882325363338024e-4,50,3.0502372544966,3.3289908554494287,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_up,1.5538650735795834,0.0013413478024083749,7.765697803416907e-4,16,2.872458597926098,3.109819513720702,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,-1.4345713744132802,0.0026836158192090395,0.001694915254237288,35,2.57127965673694,2.7708520116421442,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_up,1.4928603352237255,0.01642376473212626,0.01123731271145481,27,1.7845272847937697,1.9493375334397618,0_A5T
P9_A5T,2016_SCIENCE_Mackay---TCM_vs_TEM-TRM,-1.4155333816337603,0.022683003455859253,0.01689545934530095,33,1.644299441051364,1.7722299963473487,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,1.413992174001646,0.022683003455859253,0.017907634307257305,20,1.644299441051364,1.7469617829485116,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_up,1.4029297966497685,0.029496969336819584,0.02483955312574281,24,1.5302226032730193,1.6048562215699236,0_A5T
P9_A5T,2016_SCIENCE_Mackay---TRM_vs_TCM-TEM,1.1612367612372827,0.08316430020283976,0.07441016333938294,21,1.0800630625574945,1.1283677421320495,0_A5T
P9_A5T,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,-1.0882526356166708,0.16006375227686703,0.15163934426229508,34,0.7957070064222116,0.8191881022717344,0_A5T
P9_A5T,2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,0.8886057264680957,0.6714553404122423,0.6714553404122423,21,0.17298286766767562,0.17298286766767562,0_A5T
P9_A8P,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,1.8860610084986538,7.242233657327996e-4,1.0823682216690118e-4,27,3.1401274675815287,3.965624967109243,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,1.834666318452424,7.242233657327996e-4,1.0969723562966213e-4,26,3.1401274675815287,3.959804316508338,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_up,1.8679870763928674,7.242233657327996e-4,1.1435105774728416e-4,23,3.1401274675815287,3.9417598138146954,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,-2.581601427819447,0.0010989010989010987,3.4164673727365904e-4,56,2.959041392321094,3.466422722433792,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,-2.6739300115618954,0.0010989010989010987,3.502626970227671e-4,60,2.959041392321094,3.455606112581867,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,-2.8606230974174522,0.0010989010989010987,4.2283298097251583e-4,55,2.959041392321094,3.3738311450738303,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_dn,-2.809682948870462,0.0010989010989010987,4.897159647404506e-4,43,2.959041392321094,3.3100557377508912,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,-3.2975275587360526,0.0010989010989010987,4.955401387512388e-4,72,2.959041392321094,3.3049211619008916,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,-3.2267730125571505,0.0010989010989010987,5.299417064122947e-4,54,2.959041392321094,3.2757719001649312,0_A8P
P9_A8P,2016_SCIENCE_Mackay---TCM_vs_TEM-TRM,-2.2447242773113802,0.0010989010989010987,5.78368999421631e-4,43,2.959041392321094,3.2377949932739227,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_up,-1.7517222885675592,0.0011830635118306352,6.849315068493151e-4,35,2.926991939989833,3.164352855784437,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_up,1.5959857546892091,0.0014221024662250663,8.98169978668463e-4,21,2.8470691104185595,3.0466414653237637,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,1.581585996372394,0.0020112914608327453,0.0013761467889908258,18,2.69652499023895,2.8613352388849425,0_A8P
P9_A8P,2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,1.6488126908439633,0.002146594128587072,0.001581700936853632,30,2.6682500628660453,2.8008756281406364,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_up,-1.5703035697924579,0.0024484536082474227,0.0019329896907216496,30,2.6111081203053597,2.713770462202507,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,-2.525777673388798,0.0024739583333333332,0.0020833333333333333,46,2.606607619078683,2.681241237375587,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,-2.2411422723497756,0.0028731286859216693,0.002570694087403599,43,2.5416449217511525,2.5899496013257077,0_A8P
P9_A8P,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_up,1.4054876835472687,0.008635107620709716,0.008180628272251309,18,2.063732245382092,2.0872133412316147,0_A8P
P9_A8P,2016_SCIENCE_Mackay---TRM_vs_TCM-TEM,-1.3924753197608262,0.020833333333333332,0.020833333333333332,23,1.6812412373755872,1.6812412373755872,0_A8P
P9_A8T,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,1.905024150562351,7.316134000770119e-4,1.1990407673860912e-4,27,3.1357183486764737,3.921166050637739,0_A8T
P9_A8T,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,1.9356863885747575,7.316134000770119e-4,1.2090436464756378e-4,30,3.1357183486764737,3.917558020825436,0_A8T
