gene_name,WT_0h_rep1,WT_0h_rep2,WT_0h_rep3,KO_0h_rep1,KO_0h_rep2,KO_0h_rep3,WT_6h_rep1,WT_6h_rep2,WT_6h_rep3,KO_6h_rep1,KO_6h_rep2,WT_24h_rep1,WT_24h_rep2,WT_24h_rep3,KO_24h_rep1,KO_24h_rep2,KO_24h_rep3,WT_48h_rep1,WT_48h_rep2,WT_48h_rep3,KO_48h_rep1,KO_48h_rep2,KO_48h_rep3
Xkr4,0.45,0.231,0.278,0.868,0.319,0.147,1.5,0.401,0.175,1.013,1.489,0.297,0.123,0.095,0.949,0.15,0.109,0.259,0.166,0.118,0.638,0.113,0.179
Rp1,0.692,0.305,0.316,0.78,0.3,0.181,2.012,0.298,0.306,1.176,1.322,0.196,0.137,0.189,0.902,0.16,0.178,0.371,0.198,0.149,0.525,0.273,0.2
Sox17,0.263,0.0,0.0,0.686,0.0,0.0,1.029,0.679,0.0,1.653,3.418,0.962,0.0,0.0,0.913,0.464,0.598,1.052,0.0,0.0,1.272,0.0,0.0
Mrpl15,35.141,20.322,25.934,47.308,26.941,43.782,74.027,91.846,100.591,113.664,61.303,98.601,114.548,114.059,84.677,127.825,103.324,56.061,90.884,89.567,40.194,74.62,72.891
Lypla1,32.194,21.294,32.526,37.493,26.636,24.14,27.668,24.258,29.069,36.584,18.373,33.615,32.154,37.338,32.476,38.411,34.716,40.746,43.369,49.441,44.041,47.669,39.652
Gm37988,40.947,20.47,35.042,46.722,26.948,32.539,36.236,33.941,46.755,46.402,22.913,56.792,52.461,63.154,42.37,53.003,45.403,63.766,70.823,72.202,51.437,63.355,50.716
Tcea1,75.798,23.611,49.562,76.192,34.259,53.241,58.975,54.374,80.955,71.324,34.675,100.785,100.537,116.507,63.173,90.978,73.795,123.929,140.845,131.219,86.862,110.185,78.307
Rgs20,0.63,0.628,0.526,0.905,0.74,0.308,1.742,0.488,0.302,1.215,2.14,0.077,0.07,0.09,0.876,0.259,0.191,0.589,0.252,0.268,0.932,0.232,0.359
Atp6v1h,142.095,35.842,79.866,100.353,48.152,84.341,20.034,22.058,25.189,30.866,13.367,32.794,29.637,32.319,25.035,27.167,26.542,53.164,49.305,48.149,53.453,50.639,34.095
Oprk1,0.0,0.272,0.15,0.875,0.218,0.0,2.499,0.247,0.323,0.481,0.415,0.0,0.0,0.0,0.997,0.0,0.436,0.0,0.0,0.0,0.0,0.163,0.0
