gene_name,WT_0h,KO_0h,WT_6h,KO_6h,WT_24h,KO_24h,WT_48h,KO_48h
Xkr4,0.32,0.445,0.692,1.251,0.172,0.403,0.181,0.31
Rp1,0.438,0.42,0.872,1.249,0.174,0.413,0.239,0.333
Sox17,0.088,0.229,0.569,2.535,0.321,0.658,0.351,0.424
Mrpl15,27.132,39.344,88.821,87.484,109.07,105.275,78.837,62.568
Lypla1,28.671,29.423,26.998,27.479,34.369,35.201,44.519,43.787
Gm37988,32.153,35.403,38.978,34.658,57.469,46.925,68.931,55.17
Tcea1,49.657,54.564,64.768,52.999,105.943,75.982,131.998,91.785
Rgs20,0.595,0.651,0.844,1.678,0.079,0.442,0.369,0.508
Atp6v1h,85.934,77.616,22.427,22.117,31.583,26.248,50.206,46.062
Oprk1,0.141,0.364,1.023,0.448,0.0,0.478,0.0,0.054
Npbwr1,0.0,0.398,0.597,0.288,0.0,0.0,0.0,0.246
Rb1cc1,136.888,125.276,20.721,20.878,27.308,30.496,73.312,88.878
Alkal1,0.576,0.737,0.792,2.053,0.255,0.331,0.41,0.366
St18,0.596,0.827,1.078,1.86,1.183,2.874,1.463,2.625
Pcmtd1,43.381,43.253,13.156,16.837,18.615,22.642,61.252,70.05
Sntg1,0.525,0.573,0.854,1.224,0.223,0.477,0.324,0.384
Rrs1,93.392,75.817,235.142,257.071,212.447,144.708,122.15,78.276
Adhfe1,13.393,13.671,26.258,22.943,19.772,18.066,19.019,11.073
Vxn,0.319,0.435,0.319,0.873,0.0,0.275,0.228,0.202
Mybl1,1.94,1.834,1.146,2.928,6.327,7.934,27.244,26.883
Vcpip1,73.284,78.748,39.878,38.285,46.073,46.224,93.013,100.068
Sgk3,10.51,10.208,3.504,3.738,12.178,9.752,20.318,20.01
Mcmdc2,13.017,10.525,0.662,0.96,0.683,0.904,1.165,1.8
Tcf24,0.732,0.284,1.229,1.078,0.0,0.503,1.195,0.357
Ppp1r42,0.426,0.52,0.749,1.031,0.305,0.588,1.193,0.866
