,P0,P1,P2,P3,P4,P5,P6,P7
Ikzf2,0.3198882043361664,0.08497253805398941,0.10656680911779404,0.1648036539554596,0.054676514118909836,0.06401368230581284,0.10727893561124802,0.0638018324971199
Scaf1,0.06151754409074783,0.059352416545152664,0.08841349184513092,0.037449996918439865,0.05764558166265488,0.14381368458271027,0.054633788764476776,0.02413579635322094
Zfp217,0.11836192011833191,0.04777767136693001,0.08003700524568558,0.05906474590301514,0.037680525332689285,0.0606921911239624,0.046298228204250336,0.07449163496494293
Mcm5,0.083692267537117,0.06986010819673538,0.8274937272071838,0.07959331572055817,1.1048954725265503,0.913716733455658,0.1457916796207428,0.23484165966510773
Pa2g4,0.5600365400314331,0.5293375849723816,1.0800745487213135,0.5969944596290588,0.9121533036231995,0.948621392250061,0.4555070102214813,0.5291649103164673
Sap30,0.03537798672914505,0.04901597648859024,0.19008582830429077,0.08987648040056229,0.16516131162643433,0.24951660633087158,0.13166353106498718,0.09952934831380844
Btg1,2.3410773277282715,2.1956965923309326,0.8820325136184692,1.6421623229980469,0.999304473400116,1.270634651184082,1.8300515413284302,1.3048447370529175
Gmeb1,0.07996402680873871,0.045775581151247025,0.14328227937221527,0.10376185178756714,0.10075456649065018,0.18055419623851776,0.06909853965044022,0.12752516567707062
Abcb1a,0.02148810774087906,0.03679441288113594,0.037564486265182495,0.054826200008392334,0.04085339605808258,0.051482152193784714,0.08854866772890091,0.03163129463791847
Rbm15,0.09717370569705963,0.0656767413020134,0.23114539682865143,0.07554476708173752,0.14989590644836426,0.24517077207565308,0.10491803288459778,0.07926705479621887
Itga4,0.3426015377044678,0.40323394536972046,1.1614006757736206,1.1907930374145508,1.3599178791046143,1.375186800956726,1.4167475700378418,1.4531726837158203
Dnajc2,0.3423561751842499,0.4067356586456299,0.8073968291282654,0.501629650592804,0.7632809281349182,0.7862147688865662,0.4029284119606018,0.6339379549026489
Taf5,0.05887196958065033,0.01742088980972767,0.09953954815864563,0.045884665101766586,0.07283629477024078,0.1635340452194214,0.011280317790806293,0.05642562359571457
E2f1,0.0051246751099824905,0.0038657793775200844,0.18757270276546478,0.02678593620657921,0.39053046703338623,0.21247228980064392,0.03956608846783638,0.051410045474767685
Pogk,0.006839255802333355,0.01864509843289852,0.055574916303157806,0.025219887495040894,0.09485501796007156,0.08413918316364288,0.08138442784547806,0.03794310986995697
Tbc1d22a,0.02951241470873356,0.07056520879268646,0.0734608843922615,0.15965159237384796,0.098536416888237,0.09390784054994583,0.11056718975305557,0.0853857547044754
Il18r1,0.1127859503030777,0.19271941483020782,0.4067128598690033,0.5245983600616455,0.4982143044471741,0.5155184864997864,0.6633962988853455,0.4946313500404358
Supt16,0.27704766392707825,0.20381636917591095,0.6564885377883911,0.3974188566207886,0.6135229468345642,0.7848274111747742,0.36716970801353455,0.541117787361145
Irf7,0.2708200514316559,0.4470274746417999,0.24987877905368805,0.2410774677991867,0.17650814354419708,0.18631145358085632,0.2838647961616516,0.2376435399055481
Nfyb,0.17597749829292297,0.1882026195526123,0.3375381827354431,0.20991553366184235,0.3071785271167755,0.5392455458641052,0.26375752687454224,0.3975065350532532
Ehmt2,0.0979171171784401,0.06988517940044403,0.21356016397476196,0.14616742730140686,0.16931115090847015,0.29352328181266785,0.1821061074733734,0.31604984402656555
Smarca4,0.20345349609851837,0.25316372513771057,0.5305172204971313,0.30712535977363586,0.38911429047584534,0.4730856418609619,0.2770686447620392,0.3446425497531891
Myc,0.1945507824420929,0.16801947355270386,0.1431596428155899,0.07075665146112442,0.06263729929924011,0.057728562504053116,0.031930577009916306,0.06830383837223053
Id2,0.40582719445228577,0.37732037901878357,1.1464080810546875,0.8070526123046875,1.5695959329605103,1.6806002855300903,1.7172746658325195,1.5996885299682617
Calcoco1,0.06998894363641739,0.03490126505494118,0.024549230933189392,0.051748912781476974,0.014152548275887966,0.009522778913378716,0.044110726565122604,0.012681101448833942
Tsc22d3,0.40644213557243347,0.678217887878418,0.2302214801311493,0.2155008465051651,0.16095693409442902,0.160646453499794,0.2461099773645401,0.23767897486686707
Mcm4,0.08888884633779526,0.05776521563529968,0.5045250058174133,0.06616769731044769,0.8179095983505249,0.5139119029045105,0.1521129012107849,0.15385809540748596
H2afz,1.3163524866104126,1.309219241142273,2.7878165245056152,2.0890257358551025,3.113191843032837,3.4725866317749023,2.2880749702453613,3.5657498836517334
Hnrnpab,0.7303106784820557,0.6282180547714233,1.4615802764892578,0.5745410919189453,1.5024410486221313,1.602944016456604,0.6788566708564758,1.1436446905136108
Ttf2,0.03153429552912712,0.03516775742173195,0.16024792194366455,0.0673607811331749,0.08224769681692123,0.20546476542949677,0.04430628940463066,0.10034628212451935
Asxl1,0.09285939484834671,0.062492821365594864,0.23684141039848328,0.15191781520843506,0.1621479094028473,0.23510217666625977,0.16390153765678406,0.15038301050662994
Cd55,0.11215320229530334,0.19044415652751923,0.1092441976070404,0.06536076217889786,0.0458100251853466,0.035222433507442474,0.06882404536008835,0.0593329481780529
Paxip1,0.04837961122393608,0.04906647279858589,0.2442210465669632,0.07272135466337204,0.21611760556697845,0.22417451441287994,0.0622280016541481,0.059151798486709595
Pou2f1,0.0860980749130249,0.06976036727428436,0.12082967162132263,0.04071379080414772,0.04863252863287926,0.14124347269535065,0.043117281049489975,0.08188553899526596
Prdm1,0.00370192714035511,0.0,0.09098389744758606,0.005625399295240641,0.1093173399567604,0.10540594905614853,0.09501130878925323,0.1271001547574997
Dek,0.6043855547904968,0.5773817896842957,1.535011649131775,0.6896007061004639,1.7507108449935913,2.095000743865967,0.7460083365440369,1.4128856658935547
Fasl,0.00439913384616375,0.0038505923002958298,0.042379554361104965,0.023719634860754013,0.16258849203586578,0.1783720999956131,0.21376614272594452,0.1311034858226776
Zfp91,0.2904371917247772,0.2131868451833725,0.5113272666931152,0.3247654438018799,0.45385652780532837,0.6004519462585449,0.29083263874053955,0.3856462240219116
Klf9,0.010836644098162651,0.06449159234762192,0.009085817262530327,0.005967858713120222,0.002338354242965579,0.0076522137969732285,0.016871357336640358,0.0
Gtf3c5,0.02210277132689953,0.022702086716890335,0.08461824059486389,0.06004995107650757,0.07808184623718262,0.08101212233304977,0.06557749956846237,0.019121408462524414
Hist1h1b,0.017864158377051353,0.0,0.5424830317497253,0.02336643449962139,0.2774209976196289,1.1310755014419556,0.025256594642996788,0.15595105290412903
Ly6d,0.03211288899183273,0.0,0.0,0.0,0.006208242382854223,0.0,0.0,0.0
Cxcr6,0.2129780501127243,0.07899323105812073,0.3012840747833252,0.16817551851272583,0.5595144629478455,0.42253026366233826,0.6737547516822815,0.49244606494903564
Ifngr1,0.47767409682273865,0.5888723134994507,0.7129907011985779,0.9387408494949341,0.9894981980323792,1.1560627222061157,1.325437307357788,1.1715129613876343
Xbp1,0.13982684910297394,0.0760573074221611,0.2538319528102875,0.19236178696155548,0.29465463757514954,0.17663970589637756,0.1822814792394638,0.3165190517902374
Id3,0.6600546836853027,0.20987345278263092,0.21833732724189758,0.30521082878112793,0.020473729819059372,0.03153245896100998,0.019683580845594406,0.0161768589168787
Tnfsf8,0.13556477427482605,0.13971704244613647,0.14095447957515717,0.4539675712585449,0.01311088539659977,0.020494095981121063,0.03683298081159592,0.019633937627077103
Gtf2f2,0.1757507622241974,0.15247003734111786,0.35060667991638184,0.2942467927932739,0.4165351092815399,0.2937809228897095,0.2728417217731476,0.2741614580154419
Tgif1,0.07799645513296127,0.10857006162405014,0.1364445835351944,0.2677980065345764,0.11854410916566849,0.10031457245349884,0.10875476896762848,0.07013880461454391
Zfp282,0.03728637099266052,0.013613270595669746,0.04909305274486542,0.06352367252111435,0.07340727746486664,0.04681837558746338,0.01392382849007845,0.03922929987311363
Kat8,0.10832797735929489,0.11409255117177963,0.08774778246879578,0.12063143402338028,0.10906114429235458,0.09006279706954956,0.09167440235614777,0.2062508761882782
Ar,0.13269375264644623,0.0419812835752964,0.11199639737606049,0.1737484335899353,0.0418846420943737,0.05843627452850342,0.060981765389442444,0.044604819267988205
Hdac1,0.38513848185539246,0.29020798206329346,0.6878059506416321,0.5659260153770447,0.8270115852355957,0.8660359382629395,0.5684593319892883,0.7356930375099182
Hoxa7,0.015826337039470673,0.0074587492272257805,0.0,0.0,0.0,0.0,0.0,0.0
Rbbp4,0.5231432318687439,0.44918879866600037,0.815632700920105,0.5703620314598083,0.8099810481071472,1.1197786331176758,0.5494779944419861,0.4608008861541748
Rfc1,0.25385811924934387,0.1657724231481552,0.44394126534461975,0.3574342727661133,0.5130947232246399,0.5494067668914795,0.23272709548473358,0.1604597419500351
Mycbp,0.07453295588493347,0.07254556566476822,0.29162734746932983,0.1292630285024643,0.2884655296802521,0.2699374258518219,0.17117728292942047,0.15535449981689453
Ctcf,0.4426117539405823,0.3934292197227478,0.7585175633430481,0.5044224262237549,0.5421882271766663,0.9965785145759583,0.49452346563339233,0.5249882340431213
Pou6f1,0.02406289242208004,0.026694336906075478,0.03306928649544716,0.10148449242115021,0.019235895946621895,0.01787145435810089,0.018183110281825066,0.0
Pecam1,0.31403055787086487,0.26226985454559326,0.1747581511735916,0.34369584918022156,0.09831281751394272,0.07030341774225235,0.11569207906723022,0.07729189842939377
Foxm1,0.007282075006514788,0.0,0.1345602124929428,0.0,0.03930613398551941,0.3119734525680542,0.005696871783584356,0.11559469252824783
Foxp1,0.9342808723449707,0.9434213042259216,0.4687686264514923,0.5497491955757141,0.3553020656108856,0.3786267042160034,0.4767951965332031,0.41816362738609314
Hat1,0.13012981414794922,0.12130768597126007,0.44445931911468506,0.20816434919834137,0.6059385538101196,0.6354940533638,0.24207615852355957,0.2844771146774292
Rbbp5,0.03395884484052658,0.060117896646261215,0.0730934590101242,0.06008090078830719,0.11097630858421326,0.10155452787876129,0.05713620409369469,0.06609266251325607
Smad3,0.05744394659996033,0.030210144817829132,0.11566504836082458,0.06752394139766693,0.11421160399913788,0.12605035305023193,0.15486231446266174,0.060835350304841995
Zhx3,0.01691635325551033,0.00574093870818615,0.01426595076918602,0.010867957957088947,0.02841717004776001,0.050193753093481064,0.017175279557704926,0.005877581425011158
Tnfsf14,0.01146242767572403,0.00705969100818038,0.04141362011432648,0.10493601858615875,0.06075835973024368,0.06879456341266632,0.1213270053267479,0.042102422565221786
Pias3,0.02625364251434803,0.010538000613451004,0.06025747209787369,0.04922735318541527,0.05121038109064102,0.1004243791103363,0.029342561960220337,0.04769454151391983
Insr,0.03994135558605194,0.043868765234947205,0.015562041662633419,0.033976078033447266,0.0019669162575155497,0.002082736697047949,0.0038805606309324503,0.0
Zscan2,0.06245744973421097,0.016721419990062714,0.0,0.019766608253121376,0.0116037055850029,0.012730550952255726,0.031460750848054886,0.014856143854558468
