P0,P1,P2,P3,P4,P5,P6,P7
Btg1,Sell,Smarca5,Batf,Hmgb2,Hmgb2,Sub1,Hmgb2
Tcf7,Ccr7,Baz1a,Cxcr3,H2afz,H2afz,Klrd1,H2afz
Sell,Lef1,Phf5a,Nfkbia,Mcm5,Dek,Itga4,Cd48
Ccr7,Stat1,Mcm5,Tcf7,Mcm6,Aurkb,Id2,Itgb2
Ccr9,Il7r,Cbx5,Cd28,Lgals3,Ezh2,Itgb2,Lgals3
Id3,Tsc22d3,Pa2g4,Crtam,Dek,Snrpd1,Ifngr1,Hdgf
Lef1,Jun,Mcm7,Cd9,Mcm3,Mxd3,Klrc1,Fkbp2
Chd3,Il6ra,Nap1l1,Itgb1,Sub1,Sub1,Cd48,Itga4
Ighm,Ssbp2,Hnrnpab,Slamf6,Ybx1,Hist1h1e,Hcls1,Actb
Foxp1,Irf7,Baz1b,Ighm,Mcm7,Cbx3,Ccr2,Ly6a
Ssbp2,Treml2,Il2rb,Tnfaip3,Snrpd1,Hnrnpab,Itgax,Id2
Il6ra,Cd55,Ezh2,Pou2f2,Hells,Cd48,Itgb1,Klrg1
Il6st,Izumo1r,Hells,Cd160,Mcm2,Nap1l1,Klrk1,Cx3cr1
S1pr1,Ctsl,Rad51,Trbc1,Nap1l1,Hist1h1b,Zeb2,Spn
Il7r,Cd274,Tfdp1,Icos,Mcm4,Hmmr,Itgal,Sin3b
Itgae,Klf9,Uhrf1,Hif1a,Cd48,Dnmt1,Klrg1,Nmi
Zbtb20,Tlr1,Snrpd1,Ctla4,Hnrnpab,Hdgf,Il18rap,Hmmr
Cd7,,Dnmt1,Cd5,Tcf19,Ssrp1,Slamf7,Ube2a
Sox4,,Tardbp,Nfkbiz,Itga4,Itgb2,Lgals3,Itgb1
Ikzf2,,Mcm6,Lag3,Actb,Rbbp4,Ccr5,Havcr2
Treml2,,Dek,Tnfsf8,Dpy30,Mcm5,Il18r1,Pttg1
Ifngr2,,Smarca4,Zbtb32,Id2,Med30,Cxcr3,Rora
Scml4,,Hmgb2,Tnfrsf25,Fkbp2,Fkbp2,Adgre5,Hmgb3
Ly6c1,,Rnps1,Cnot6l,Rpa3,Rbbp7,Klrc2,Ccr2
Pecam1,,Pdcd1,Cd44,E2f1,Cbx5,Rora,Itgax
Zeb1,,Suz12,Nr4a2,Polr2k,Mcm7,Cd28,Slamf7
Thra,,Mybl2,Mxd4,Ezh2,Ctcf,Cxcr6,Zeb2
Nrip1,,H2afz,Tgif1,Ssrp1,Id2,Mxd4,Nfkbib
Myc,,Mcm3,Rora,Hat1,Ube2i,Htatip2,Il18rap
Aff3,,Zbtb32,Pdcd1,Chaf1b,Cbfb,Cx3cr1,Klrk1
Pdlim4,,Rpa3,Rel,Dnmt1,Actb,Tbx21,Tbx21
Il4ra,,Polr3k,Tox,Uhrf1,Rpa3,Tnfaip3,Klrc2
Hdac4,,Parp1,Hopx,Chaf1a,Lgals3,Cd44,Igkc
Kdm5b,,Mcm4,Runx2,Phf5a,Hnrnpd,Dennd4a,Ankra2
Sirt5,,Lgals3,Klrc2,Timeless,Itga4,Hopx,Ehmt2
Tox,,Nsd2,Igkc,Ube2a,Uhrf1,Itga1,Htatip2
Dbp,,Zfpm1,Zfp296,Nsd2,Rad51,Fasl,Ccr5
Rarg,,Atad2,Fosb,Atad2,Tcf19,Lair1,Tnfrsf1b
Rere,,Fkbp2,Nr4a1,Klrc1,Klrc1,Crtam,Zbtb32
Crebl2,,Batf,Cd68,Tbx21,Kmt5a,Lag3,Xbp1
Art4,,Hmmr,Tbc1d22a,Tfdp1,Dpy30,Klrb1c,L1cam
Ly6k,,E2f2,Trps1,Zbtb32,Nsd2,Fhl2,Asb6
Zfp217,,Preb,Cxcr5,Cenpk,Smarca5,Nr4a2,Kat8
Eng,,Chaf1a,Nrp1,Itgax,Cbx1,Itgam,Prdm1
Ighd,,Fkbp5,Pou6f1,Itgb1,Hat1,Nr4a1,
Ly75,,Smarcc1,Zfhx2,Slamf7,E2f2,Il10ra,
Zscan2,,Mcm2,Aff3,Baz1b,Hmgb3,Tax1bp3,
Trgv2,,Kmt5a,Alcam,Klrg1,Tfdp1,Irf8,
L3mbtl3,,Paxip1,Plxnc1,Cxcr3,Spn,Mxd1,
Gtf2ird1,,Mxd3,,Cbx5,Espl1,Tnfsf14,
Ar,,Aurkb,,Nab1,Maz,Cd68,
Maml3,,Zdhhc2,,Baz1a,Trip13,Fcgr3,
Igf1r,,Suv39h1,,Mybl2,Foxm1,Cd38,
Calcoco1,,Hmgb3,,Fhl2,Mcm3,Ezh1,
Tcf4,,Wdr82,,Rad51,Supt16,Smad3,
Smad1,,E2f8,,Eed,Pcbd2,Zbtb7b,
Zfp1,,Chaf1b,,Fkbp5,Brd8,Ncr1,
Cd81,,Toe1,,Suz12,Atad2,Zfhx2,
Zfp146,,Hist1h1e,,Gtf2f2,Brd9,Fcgr2b,
Ly6d,,Tcf19,,Cd160,Slamf7,Abcb1a,
Ppargc1b,,Smyd2,,Rfc1,Smarcc1,Entpd1,
Zfp467,,Cnot6,,Lag3,Sf1,Cd101,
Zfp358,,Brip1,,Hopx,Suz12,Nrp1,
Tet1,,Cenpk,,Klrk1,E2f8,Adam8,
Insr,,Hist1h1b,,Ccr5,Itgal,Cd80,
Gata1,,Mycbp,,Cxcr6,Hdac1,,
Ahr,,Icos,,E2f3,Itgb1,,
Eya2,,E2f3,,Mycbp,Baz1a,,
Plaur,,Timeless,,E2f2,Ube2a,,
Tef,,Ruvbl2,,Paxip1,Psip1,,
Carf,,Znhit3,,Brca1,Chaf1a,,
Nfix,,Gtf2e2,,Wdhd1,Itgax,,
Abcg2,,Trip13,,Gabpa,Cenpk,,
Krba1,,Mta1,,Dennd4a,Fhl2,,
Egr3,,Alcam,,Igf2r,Klrk1,,
Hoxa7,,Upf1,,Ccr2,Rnps1,,
Zfp623,,Ggt1,,Havcr2,Baz1b,,
Zfp354c,,Brca2,,Orc1,Nab1,,
Zfp286,,Bop1,,E2f8,Il18rap,,
Kdm4b,,Plagl2,,Runx2,Klrg1,,
Sox13,,Tnfrsf9,,Cx3cr1,Nfyb,,
,,Runx2,,Znhit3,Suv39h1,,
,,H1f0,,Zdhhc2,Dnajc2,,
,,Espl1,,Rbl1,Bard1,,
,,Foxm1,,Bard1,Fmr1,,
,,Epas1,,Tdg,Trim28,,
,,Myef2,,Rbm14,Mybl2,,
,,Wdhd1,,Klf10,Mcm6,,
,,Rbm15,,Cd44,Zfp91,,
,,Ttf2,,Tnfrsf9,Mcm4,,
,,Brca1,,Ctnnbip1,Tbx21,,
,,E2f1,,Zdhhc21,Brip1,,
,,Bard1,,Pdcd1,Tcf3,,
,,Mcm8,,Ctla4,Myef2,,
,,Eaf1,,Atf6,Cx3cr1,,
,,Mbd4,,Lair1,Taf12,,
,,Tfrc,,Fasl,Rbl1,,
,,Il2ra,,Nr4a2,Taf15,,
,,Sap30,,Csrp2,Hells,,
,,Eya3,,Brca2,Dennd4a,,
,,Mtf1,,Itgam,Ccr5,,
,,,,Brip1,Cnot6,,
,,,,Brpf1,Smarcc2,,
,,,,Klf11,Zeb2,,
,,,,Rb1,Tnfaip3,,
,,,,Adam8,Cxcr3,,
,,,,Phf19,Polr3k,,
,,,,Alcam,Rfc1,,
,,,,Irf8,Chaf1b,,
,,,,Prdm1,Zdhhc2,,
,,,,Zdhhc16,Ing2,,
,,,,Sfmbt1,Mcm2,,
,,,,Tnfsf9,Sap30,,
,,,,Trip13,Hcfc1,,
,,,,Nrp1,Ttf2,,
,,,,Pogk,Tcerg1,,
,,,,Pcgf2,Rbmx,,
,,,,Cd68,Hist3h2ba,,
,,,,Mbd4,Gtf2f1,,
,,,,Xrcc3,Hist1h1d,,
,,,,Rbbp5,Ccr2,,
,,,,Phf13,Msl3,,
,,,,Creb3l1,Ctnnbip1,,
,,,,Epas1,Runx2,,
,,,,Mllt1,Cd44,,
,,,,Igsf8,Nfya,,
,,,,Kntc1,Hist1h2bb,,
,,,,Hmga1,Ehmt2,,
,,,,Zbtb7b,Fkbp5,,
,,,,E2f6,Sp2,,
,,,,Zfp282,Paxip1,,
,,,,Pms1,Wdr5,,
,,,,Suv39h2,Taf5,,
,,,,Hsf2,Suv39h2,,
,,,,Ptprj,Alcam,,
,,,,Smyd1,Rbm15,,
,,,,Hic1,Mycbp,,
,,,,Il1rl1,Parp2,,
,,,,Hsf4,Klrc2,,
,,,,Mcm8,Gtf2a1,,
,,,,,Fasl,,
,,,,,Zfpm1,,
,,,,,Hopx,,
,,,,,E2f1,,
,,,,,H1f0,,
,,,,,Ilf3,,
,,,,,Klf10,,
,,,,,Toe1,,
,,,,,Wdhd1,,
,,,,,Brca2,,
,,,,,Brca1,,
,,,,,Brpf1,,
,,,,,Kntc1,,
,,,,,Timeless,,
,,,,,Med14,,
,,,,,Scaf1,,
,,,,,Rb1,,
,,,,,Igsf8,,
,,,,,Gabpb1,,
,,,,,Asxl1,,
,,,,,Btaf1,,
,,,,,Sin3a,,
,,,,,Ptprj,,
,,,,,Csrp2,,
,,,,,Gmeb1,,
,,,,,Dot1l,,
,,,,,Pias3,,
,,,,,Ctdp1,,
,,,,,E2f3,,
