,NAV-P0,WT-P1,KO-P1,WT-P2,KO-P2,WT-P3,KO-P3,WT-P4,KO-P4,WT-P5,KO-P5,WT-P6,KO-P6,WT-P7,KO-P7
Ikzf2,0.3319686949253082,0.12342217564582825,0.09241335093975067,0.0345466211438179,0.08402610570192337,0.13206884264945984,0.18480826914310455,0.04609675332903862,0.0671195238828659,0.04645153135061264,0.09390328079462051,0.12112154811620712,0.05958184599876404,0.0455145426094532,0.06496187299489975
Scaf1,0.06321768462657928,0.050873395055532455,0.03731803223490715,0.06959022581577301,0.10303943604230881,0.037714309990406036,0.037288472056388855,0.06365920603275299,0.050080426037311554,0.14285865426063538,0.14731015264987946,0.04747868701815605,0.06643909960985184,0.02237841486930847,0.027129536494612694
Zfp217,0.12273338437080383,0.12462404370307922,0.037826523184776306,0.07750537991523743,0.06101261079311371,0.05693899467587471,0.06036382168531418,0.04728474095463753,0.024943187832832336,0.05629372596740723,0.0687735378742218,0.060396552085876465,0.030115272849798203,0.11844021081924438,0.017468329519033432
Mcm5,0.07521381229162216,0.06297370791435242,0.08061505854129791,1.1087262630462646,0.734736442565918,0.0753725916147232,0.08217264711856842,1.115973711013794,1.0901442766189575,0.9936811923980713,0.7936917543411255,0.1260840892791748,0.15939901769161224,0.22118695080280304,0.2593477964401245
Pa2g4,0.5651378035545349,0.3659861981868744,0.5779517889022827,1.0924917459487915,1.1980762481689453,0.5119657516479492,0.6489565372467041,0.941171407699585,0.8670229911804199,0.9484802484512329,0.947018027305603,0.41561031341552734,0.4943273663520813,0.5118935704231262,0.5662703514099121
Sap30,0.0317663736641407,0.0,0.04363406077027321,0.2919425666332245,0.14307118952274323,0.1288718432188034,0.06604597717523575,0.17349237203598022,0.15570850670337677,0.26975104212760925,0.2193891406059265,0.13949227333068848,0.12754866480827332,0.08472365885972977,0.12201931327581406
Btg1,2.3558943271636963,2.265876293182373,2.1541264057159424,0.5583472847938538,0.9229133725166321,1.6091030836105347,1.6623650789260864,0.9403053522109985,1.08431875705719,1.244574785232544,1.3031504154205322,1.8974984884262085,1.724785327911377,1.2049833536148071,1.4270590543746948
Gmeb1,0.0788579061627388,0.04501698538661003,0.050501272082328796,0.12951041758060455,0.1822851449251175,0.14416052401065826,0.07907379418611526,0.10471902787685394,0.09652330726385117,0.17669528722763062,0.18934158980846405,0.05736488476395607,0.06882277876138687,0.1295062005519867,0.12822234630584717
Abcb1a,0.020656848326325417,0.0,0.03814166411757469,0.03065701574087143,0.06312806159257889,0.08893699198961258,0.03398071229457855,0.04479595646262169,0.03593052551150322,0.046326588839292526,0.06069246307015419,0.062019165605306625,0.11182843893766403,0.03347352147102356,0.029991233721375465
Rbm15,0.09656714648008347,0.14592309296131134,0.05927226319909096,0.30976372957229614,0.19625292718410492,0.11267773807048798,0.05285239964723587,0.15762309730052948,0.14108861982822418,0.24287733435630798,0.25223150849342346,0.11642322689294815,0.09479830414056778,0.07975699007511139,0.08069546520709991
Itga4,0.3366401195526123,0.46595340967178345,0.40777313709259033,1.4434837102890015,1.1254477500915527,1.1263782978057861,1.230157494544983,1.3850882053375244,1.3270546197891235,1.435868501663208,1.2931954860687256,1.3891141414642334,1.4567540884017944,1.3913650512695312,1.5493037700653076
Dnajc2,0.3427194654941559,0.5342329144477844,0.41211771965026855,0.9334602355957031,0.6884414553642273,0.5539125204086304,0.4696790277957916,0.7879292964935303,0.7339304089546204,0.7983633279800415,0.776611864566803,0.3890606462955475,0.43946605920791626,0.6113924980163574,0.6432157754898071
Taf5,0.054642945528030396,0.0,0.0184217169880867,0.13950836658477783,0.06812257319688797,0.06696475297212601,0.03300238773226738,0.07628555595874786,0.06897629797458649,0.18180979788303375,0.13549858331680298,0.014868799597024918,0.007138051558285952,0.0446365587413311,0.07373268157243729
E2f1,0.0,0.0,0.005137745290994644,0.18174293637275696,0.24887768924236298,0.0,0.04315511882305145,0.37236693501472473,0.4154912233352661,0.19937285780906677,0.23696304857730865,0.036157798022031784,0.045812081545591354,0.04329009726643562,0.06366076320409775
Pogk,0.0067216395400464535,0.051495619118213654,0.0187998004257679,0.07448101043701172,0.05820189788937569,0.025334246456623077,0.025150002911686897,0.07223443686962128,0.12706710398197174,0.09863553941249847,0.061293743550777435,0.07262624800205231,0.0757521465420723,0.05277062579989433,0.0190415196120739
Tbc1d22a,0.027224890887737274,0.0,0.08610716462135315,0.10146529227495193,0.061373744159936905,0.17236709594726562,0.15188100934028625,0.09014197438955307,0.11125332117080688,0.09333071112632751,0.09611408412456512,0.10486266016960144,0.12306008487939835,0.07780211418867111,0.07274837046861649
Il18r1,0.10428504645824432,0.15055829286575317,0.16021646559238434,0.527750551700592,0.331871896982193,0.47359931468963623,0.555764377117157,0.5304545164108276,0.44924500584602356,0.5269397497177124,0.4852088391780853,0.6421666741371155,0.7027784585952759,0.5164804458618164,0.47832417488098145
Supt16,0.26862654089927673,0.22314013540744781,0.181437686085701,0.8046507835388184,0.6535928845405579,0.3827246129512787,0.40639862418174744,0.6297587752342224,0.5857677459716797,0.8377348184585571,0.7078182101249695,0.3289377987384796,0.3942660987377167,0.520881712436676,0.5574543476104736
Irf7,0.25329360365867615,0.4252360463142395,0.46373605728149414,0.17856965959072113,0.2591860890388489,0.2546347379684448,0.232792466878891,0.17121249437332153,0.18590828776359558,0.2051835060119629,0.15759395062923431,0.2699010372161865,0.31505292654037476,0.2647252082824707,0.20755088329315186
Nfyb,0.17270728945732117,0.2504926323890686,0.1459084004163742,0.4006423056125641,0.2464197427034378,0.21128268539905548,0.20908008515834808,0.31180107593536377,0.29646986722946167,0.5822314023971558,0.47536540031433105,0.2904966473579407,0.24115422368049622,0.43872731924057007,0.3149816691875458
Ehmt2,0.09889759868383408,0.05069926753640175,0.07065488398075104,0.23614390194416046,0.15202666819095612,0.1927832067012787,0.11768000572919846,0.18333525955677032,0.14739686250686646,0.29254236817359924,0.29905879497528076,0.1776585578918457,0.19625547528266907,0.28197696805000305,0.3324333131313324
Smarca4,0.19916200637817383,0.15031245350837708,0.2617209851741791,0.62488853931427,0.45676517486572266,0.32812169194221497,0.29429420828819275,0.39707109332084656,0.38287386298179626,0.4768466353416443,0.4731753468513489,0.3099178075790405,0.2471413016319275,0.38273265957832336,0.3025912046432495
Myc,0.19520163536071777,0.22165903449058533,0.17159996926784515,0.05384480208158493,0.16453462839126587,0.05466950312256813,0.08058768510818481,0.050671860575675964,0.07982642948627472,0.06182917207479477,0.051718614995479584,0.006884030066430569,0.06593037396669388,0.024824921041727066,0.12845459580421448
Id2,0.3622897267341614,0.51332688331604,0.3283693790435791,1.6142526865005493,0.8502255082130432,0.7908574938774109,0.8169494867324829,1.5679231882095337,1.5678625106811523,1.7286064624786377,1.5869008302688599,1.7705931663513184,1.6054742336273193,1.6468148231506348,1.5534756183624268
Calcoco1,0.06811531633138657,0.0,0.040185168385505676,0.0096038319170475,0.0,0.10012567043304443,0.02218533493578434,0.010997801087796688,0.018656088039278984,0.007773633114993572,0.012541670352220535,0.030075950548052788,0.06436787545681,0.02237841486930847,0.0
Tsc22d3,0.3802056610584259,0.8508352637290955,0.6598314642906189,0.18333005905151367,0.24204225838184357,0.2786370813846588,0.17691756784915924,0.1714257299900055,0.1438252031803131,0.15844418108463287,0.15194468200206757,0.2883380055427551,0.20257750153541565,0.20579324662685394,0.24057942628860474
Mcm4,0.08578053116798401,0.1276760697364807,0.05060585215687752,0.6203942894935608,0.45632919669151306,0.01785600557923317,0.0956914946436882,0.8411272168159485,0.7958747148513794,0.5472473502159119,0.4656493663787842,0.16689226031303406,0.11916077136993408,0.12201414257287979,0.20064492523670197
H2afz,1.2916336059570312,1.4345624446868896,1.3467246294021606,3.353752851486206,2.543774366378784,2.1068851947784424,2.0781116485595703,3.136817216873169,3.0813002586364746,3.4579155445098877,3.4989514350891113,2.269085168838501,2.2814009189605713,3.5687713623046875,3.5612123012542725
