P0,P1,P2,P3,P4,P5,P6,P7
Btg1,Sell,Smarca5,Batf,Hmgb2,Hmgb2,Sub1,Hmgb2
Tcf7,Ccr7,Baz1a,Cxcr3,H2afz,H2afz,Klrd1,H2afz
Sell,Lef1,Phf5a,Nfkbia,Mcm5,Dek,Itga4,Cd48
Ccr7,Stat1,Mcm5,Tcf7,Mcm6,Aurkb,Id2,Itgb2
Ccr9,Il7r,Cbx5,Cd28,Lgals3,Ezh2,Itgb2,Lgals3
Id3,Tsc22d3,Pa2g4,Crtam,Dek,Snrpd1,Ifngr1,Hdgf
Lef1,Jun,Mcm7,Cd9,Mcm3,Mxd3,Klrc1,Fkbp2
Chd3,Il6ra,Nap1l1,Itgb1,Sub1,Sub1,Cd48,Itga4
Ighm,Ssbp2,Hnrnpab,Slamf6,Ybx1,Hist1h1e,Hcls1,Actb
Foxp1,Irf7,Baz1b,Ighm,Mcm7,Cbx3,Ccr2,Ly6a
Ssbp2,Treml2,Il2rb,Tnfaip3,Snrpd1,Hnrnpab,Itgax,Id2
Il6ra,,Ezh2,Pou2f2,Hells,Cd48,Itgb1,Klrg1
Il6st,,Hells,Cd160,Mcm2,Nap1l1,Klrk1,Cx3cr1
S1pr1,,Rad51,Trbc1,Nap1l1,Hist1h1b,Zeb2,Spn
Il7r,,Tfdp1,Icos,Mcm4,Hmmr,Itgal,Sin3b
Itgae,,Uhrf1,Hif1a,Cd48,Dnmt1,Klrg1,Nmi
Zbtb20,,Snrpd1,Ctla4,Hnrnpab,Hdgf,Il18rap,Hmmr
Cd7,,Dnmt1,Cd5,Tcf19,Ssrp1,Slamf7,Ube2a
Sox4,,Tardbp,Nfkbiz,Itga4,Itgb2,Lgals3,Itgb1
Ikzf2,,Mcm6,Lag3,Actb,Rbbp4,Ccr5,Havcr2
Treml2,,Dek,Tnfsf8,Dpy30,Mcm5,Il18r1,Pttg1
Ifngr2,,Smarca4,Zbtb32,Id2,Med30,Cxcr3,Rora
Scml4,,Hmgb2,Tnfrsf25,Fkbp2,Fkbp2,Adgre5,Hmgb3
Ly6c1,,Rnps1,Cnot6l,Rpa3,Rbbp7,Klrc2,Ccr2
Pecam1,,Pdcd1,Cd44,E2f1,Cbx5,Rora,Itgax
Zeb1,,Suz12,Nr4a2,Polr2k,Mcm7,Cd28,Slamf7
Thra,,Mybl2,Mxd4,Ezh2,Ctcf,Cxcr6,Zeb2
Myc,,H2afz,Tgif1,Ssrp1,Id2,Mxd4,Nfkbib
Il4ra,,Mcm3,Rora,Hat1,Ube2i,Htatip2,Il18rap
Kdm5b,,Zbtb32,Pdcd1,Chaf1b,Cbfb,Cx3cr1,Klrk1
,,Rpa3,,Dnmt1,Actb,Tbx21,Tbx21
,,Polr3k,,Uhrf1,Rpa3,Tnfaip3,
,,Parp1,,Chaf1a,Lgals3,Cd44,
,,Mcm4,,Phf5a,Hnrnpd,Dennd4a,
,,Lgals3,,Timeless,Itga4,Hopx,
,,Nsd2,,Ube2a,Uhrf1,Itga1,
,,Zfpm1,,Nsd2,Rad51,Fasl,
,,Atad2,,Atad2,Tcf19,Lair1,
,,Fkbp2,,Klrc1,Klrc1,Crtam,
,,Batf,,Tbx21,Kmt5a,Lag3,
,,Hmmr,,Tfdp1,Dpy30,Klrb1c,
,,E2f2,,Zbtb32,Nsd2,Fhl2,
,,Chaf1a,,Cenpk,Smarca5,Nr4a2,
,,Fkbp5,,Itgax,Cbx1,Nr4a1,
,,Mcm2,,Itgb1,Hat1,Tax1bp3,
,,Kmt5a,,Slamf7,E2f2,,
,,Paxip1,,Baz1b,Hmgb3,,
,,Mxd3,,Klrg1,Tfdp1,,
,,Aurkb,,Cxcr3,Spn,,
,,Zdhhc2,,Cbx5,Espl1,,
,,Suv39h1,,Nab1,Maz,,
,,E2f8,,Baz1a,Trip13,,
,,Chaf1b,,Mybl2,Foxm1,,
,,Hist1h1e,,Fhl2,Mcm3,,
,,Tcf19,,Rad51,Supt16,,
,,Smyd2,,Eed,Pcbd2,,
,,Brip1,,Fkbp5,Brd8,,
,,Cenpk,,Suz12,Atad2,,
,,Hist1h1b,,Gtf2f2,Brd9,,
,,E2f3,,Cd160,Slamf7,,
,,,,Rfc1,Smarcc1,,
,,,,Lag3,Sf1,,
,,,,Hopx,Suz12,,
,,,,Klrk1,E2f8,,
,,,,Ccr5,Itgal,,
,,,,Cxcr6,Hdac1,,
,,,,E2f3,Itgb1,,
,,,,Mycbp,Baz1a,,
,,,,E2f2,Ube2a,,
,,,,Paxip1,Psip1,,
,,,,Brca1,Chaf1a,,
,,,,Wdhd1,Itgax,,
,,,,Gabpa,Cenpk,,
,,,,Dennd4a,Fhl2,,
,,,,Igf2r,Klrk1,,
,,,,Ccr2,Rnps1,,
,,,,Havcr2,Baz1b,,
,,,,Orc1,Nab1,,
,,,,E2f8,Il18rap,,
,,,,Runx2,Klrg1,,
,,,,Cx3cr1,Nfyb,,
,,,,Znhit3,Suv39h1,,
,,,,Zdhhc2,Dnajc2,,
,,,,Rbl1,Bard1,,
,,,,Bard1,Fmr1,,
,,,,Tdg,Trim28,,
,,,,Rbm14,Mybl2,,
,,,,Klf10,Mcm6,,
,,,,Cd44,Zfp91,,
,,,,Tnfrsf9,Mcm4,,
,,,,Ctnnbip1,Tbx21,,
,,,,Zdhhc21,Brip1,,
,,,,Pdcd1,Tcf3,,
,,,,Ctla4,Myef2,,
,,,,Atf6,Cx3cr1,,
,,,,Lair1,Taf12,,
,,,,Fasl,Rbl1,,
,,,,Nr4a2,Taf15,,
,,,,Csrp2,Hells,,
,,,,Brca2,Dennd4a,,
,,,,Itgam,Ccr5,,
,,,,Brip1,Cnot6,,
,,,,Brpf1,Smarcc2,,
,,,,Klf11,Zeb2,,
,,,,Rb1,Tnfaip3,,
,,,,Adam8,Cxcr3,,
,,,,Alcam,Polr3k,,
,,,,Irf8,Rfc1,,
,,,,Prdm1,Chaf1b,,
,,,,Zdhhc16,Zdhhc2,,
,,,,Sfmbt1,Ing2,,
,,,,Trip13,Mcm2,,
,,,,Nrp1,Sap30,,
,,,,Cd68,Hcfc1,,
,,,,,Ttf2,,
,,,,,Tcerg1,,
,,,,,Rbmx,,
,,,,,Hist3h2ba,,
,,,,,Gtf2f1,,
,,,,,Hist1h1d,,
,,,,,Ccr2,,
,,,,,Msl3,,
,,,,,Ctnnbip1,,
,,,,,Runx2,,
,,,,,Cd44,,
,,,,,Nfya,,
,,,,,Hist1h2bb,,
,,,,,Ehmt2,,
,,,,,Fkbp5,,
,,,,,Sp2,,
,,,,,Paxip1,,
,,,,,Wdr5,,
,,,,,Taf5,,
,,,,,Suv39h2,,
,,,,,Alcam,,
,,,,,Rbm15,,
,,,,,Mycbp,,
,,,,,Parp2,,
,,,,,Klrc2,,
,,,,,Gtf2a1,,
,,,,,Fasl,,
,,,,,Zfpm1,,
,,,,,Hopx,,
,,,,,E2f1,,
,,,,,H1f0,,
,,,,,Ilf3,,
,,,,,Klf10,,
,,,,,Toe1,,
,,,,,Wdhd1,,
,,,,,Brca2,,
,,,,,Brca1,,
,,,,,Brpf1,,
,,,,,Kntc1,,
,,,,,Timeless,,
,,,,,Med14,,
,,,,,Scaf1,,
,,,,,Rb1,,
,,,,,Igsf8,,
,,,,,Gabpb1,,
,,,,,Asxl1,,
,,,,,Btaf1,,
,,,,,Sin3a,,
,,,,,Ptprj,,
,,,,,Csrp2,,
,,,,,Gmeb1,,
,,,,,Dot1l,,
,,,,,Pias3,,
,,,,,Ctdp1,,
,,,,,E2f3,,
,,,,,Zfp41,,
,,,,,Havcr2,,
,,,,,Sp1,,
,,,,,Il3ra,,
,,,,,Ddx20,,
,,,,,Itga1,,
,,,,,Tnfrsf9,,
,,,,,Prdm1,,
,,,,,Pou2f1,,
,,,,,Gmeb2,,
,,,,,Slamf1,,
,,,,,Habp4,,
,,,,,Asb1,,
,,,,,Klf11,,
,,,,,Sfmbt1,,
,,,,,Atf6,,
,,,,,Jade1,,
