wilcoxon,t-test,t-test_overestim_var
,Ppa1,Ppa1
,Ep400,Gbp4
,Tm2d1,Rbbp4
,Ss18,Ep400
,Rars,Mrps18c
,Trnau1ap,Zfp644
,Anxa5,Pkp3
,Was,Tm2d1
,Zrsr2,Gm10076
,Washc1,Tuba4a
,Erbin,Polr1c
,Sdhaf1,Ss18
,Aimp2,Rars
,Tars,Trnau1ap
,Spr,Phf3
,Slc7a6os,Anxa5
,Mllt3,Was
,Ciapin1,Txnl1
,Dnajb9,Rps11
,Nadk,Zrsr2
,Galk1,Elob
,Pih1d1,Washc1
,Fdx1,Tnfaip3
,Ino80d,Tagln2
,Dbf4,Erbin
,Gm8186,Sdhaf1
,Gbp4,Aimp2
,Rab35,Rps27
,Setd3,Tars
,Dhx36,Spr
,Vps50,Slc7a6os
,Pcyt2,Mllt3
,Alkbh3,Ciapin1
,Pip5k1c,Dnajb9
,Mzt1,Nadk
,Cc2d1b,Galk1
,Ap1s1,Srsf6
,Kat7,D16Ertd472e
,Flii,Pih1d1
,Foxn2,Fdx1
,Acot8,Ino80d
,Rrad,Dbf4
,Tmem183a,Gm8186
,Hsdl1,Rab35
,Mmadhc,Setd3
,Commd1,Dhx36
,Dennd1c,Gar1
,Cep350,Trmt1l
,Dyrk1a,Vps50
,Sfxn3,Pcyt2
,Rbm10,Dnajc5
,Ahcyl2,Alkbh3
,Pou2f2,Pip5k1c
,Magohb,Mzt1
,Chd1l,Cc2d1b
,Zfp644,Ap1s1
,Psd4,Kat7
,Pkp3,Flii
,Napg,Ndufs5
,Irf2bp2,4833420G17Rik
,Herc6,Il10rb
,Ncoa7,Rpl10
,Dusp10,Cnppd1
,Crebzf,Sdha
,Riox1,Baz1b
,Xpo7,Foxn2
,Gm34006,Ilk
,Luc7l,Yeats4
,Mrps18c,Zfp207
,Polr2d,Eif4a3
,Tnpo1,Acot8
,Spen,Rrad
,Tuba4a,Ost4
,Adprhl2,Tmem183a
,Abtb2,Gm11361
,Isca2,Hsdl1
,Ezh1,Mmadhc
,Akr1b10,Commd1
,Pnpla7,Irf1
,Txnl1,Dennd1c
,Polr1c,Rpl11
,Fam98b,Tmed2
,Rapgef1,Rps6
,Utp23,Cep350
,Abt1,Dyrk1a
,Ctdspl2,Sfxn3
,Ttc27,Rbm10
,Paf1,Ahcyl2
,Tada1,Pou2f2
,Umps,Arhgap45
,Cebpzos,Magohb
,Orc2,Psmb4
,Srf,Rpl14
,Nop2,Pfdn5
,Lamtor3,Gadd45gip1
,Wdr83,Exosc3
,Copg1,Chd1l
,Pea15a,Psd4
,Smc2,Napg
,Eif2b5,Irf2bp2
,Cfl2,Herc6
,Cyhr1,Ncoa7
,Reep3,Hspb11
,Ube2w,Dusp10
,Kmt2b,Srebf2
,Stam2,Crebzf
,Grina,Rab1a
,Cpsf2,Riox1
,Ufsp2,Znrf2
,Tnfaip3,Bdp1
,Commd9,Xpo7
,Tec,Gtf2h5
,Rbm33,Apobec3
,Med27,Gm34006
,Rida,Luc7l
,Hps3,Polr2j
,Tax1bp3,Sdhaf4
,Rbbp4,Smchd1
,Exosc10,Prpf40a
,Tssc4,Chd8
,Ap3d1,Polr2d
,Polr1a,Tnpo1
,Gclm,Spen
,Suclg2,Adprhl2
,Furin,Abtb2
,Tubb3,Sept11
,Cars2,Skp1a
,Galnt12,Isca2
,Ezh2,Ezh1
,Oxsr1,Akr1b10
,Acss2,Pnpla7
,Vps45,Rrs1
,Spryd7,Sec11c
,Mir142hg,Rps29
,Cd320,Fam98b
,Ptpn11,Rapgef1
,Sin3a,Utp23
