,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.5291383,-0.33186018466949463,False,,,,,,,,,,,,,,,,0.279411256313324
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,1.0936674,0.192102313041687,True,0.013758671287898443,0.11119033614685106,0.19241273061891917,13.376068194446592,3.7623035627603523,0.04194553196430206,0.01814482919871807,0.24681293959046388,0.0,0.0,4.292927241675898e-09,0.11427326779886147,0.05633980275838282,0.7773108621679423,2.3995144907965216,0.21003776788711548
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6065853,-0.820172905921936,False,,,,,,,,,,,,,,,,-0.8025336265563965
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.38754946,-0.11087179183959961,False,,,,,,,,,,,,,,,,0.18552809953689575
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,0.80376565,0.023615479469299316,True,0.15041051993022528,0.11575958938614807,0.12220518726333461,29.01812721351799,1.8116085529327393,0.30309876799583435,0.2147134691476822,0.23742502855118316,0.0,0.0,0.2502552655649022,1.1262869412481766,0.7264452258060718,0.8684847446510509,6.1195309382962195,0.06719118356704712
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.6411347,-8.559408187866211,False,,,,,,,,,,,,,,,,-4.833399772644043
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.39657825,-0.7830324172973633,False,,,,,,,,,,,,,,,,-0.11724162101745605
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.73124355,-0.4455897808074951,False,,,,,,,,,,,,,,,,-0.26225435733795166
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0069205146,-5.913564682006836,False,,,,,,,,,,,,,,,,0.005231261253356934
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,7.160506,-4.167196750640869,False,,,,,,,,,,,,,,,,-4.135112762451172
